Date,SMB %,HML %,WML %,VIX %,Rm %,Rf %,Rm-Rf %,MSCI World (Rgm %),Rgm-Rf %,Info Edge Returns %
01-Jan-15,0.63413625,1.56874586,0.24164135,-0.63,0.34910135,0.03193602,0.31716533,0,-0.03193602,0.506120527
02-Jan-15,0.22900027,0.28198932,0.50480185,-8.19,0.90545699,0.03193602,0.87352097,-0.29,-0.32193602,0.052699379
05-Jan-15,0.7007663,-0.32316742,0.60944428,2.59,-0.10374631,0.03193602,-0.13568233,-1.96,-1.99193602,-1.234856909
06-Jan-15,0.37734664,-1.69832284,-0.26816278,23.09,-2.77810575,0.03193602,-2.81004177,-1.01,-1.04193602,-1.114008059
07-Jan-15,0.30651487,-0.61112729,1.03597202,4.13,-0.03386977,0.03193602,-0.06580579,0.47,0.43806398,1.00071908
08-Jan-15,0.34399631,0.87512873,0.71748036,-9.19,1.56628189,0.03223145,1.53405044,1.92,1.88776855,0.421239988
09-Jan-15,0.05769475,-0.90336073,0.50193121,-3.14,0.40350438,0.03223145,0.37127293,-0.61,-0.64223145,2.144629564
12-Jan-15,0.00230487,0.88566834,0.58610935,0.97,0.35670682,0.03223145,0.32447537,-0.42,-0.45223145,-1.197293077
13-Jan-15,0.70583632,-1.28236234,0.22141546,2.31,-0.16179954,0.03223145,-0.19403099,0.09,0.05776855,0.550286852
14-Jan-15,0.118058,-0.82901021,0.4438268,4.64,-0.06149385,0.03223145,-0.0937253,-0.76,-0.79223145,-1.426408943
15-Jan-15,-1.94205793,1.9702175,-0.04729455,-6.31,1.67468502,0.03223145,1.64245357,-0.18,-0.21223145,-0.431161774
16-Jan-15,0.14149047,-0.70934685,0.13319692,6.9,0.38875284,0.03223145,0.35652139,0.76,0.72776855,-0.729623917
19-Jan-15,0.418017,0.21573988,-0.4958368,2.17,0.50273826,0.03223145,0.47050681,0.4,0.36776855,-3.310427248
20-Jan-15,-0.32960271,-0.51862343,-0.15392688,-2.14,0.8788738,0.03223145,0.84664235,0.2,0.16776855,-0.166862369
21-Jan-15,-0.53649817,-0.52008529,-0.1850088,2.55,0.26308449,0.03223145,0.23085304,0.54,0.50776855,-0.848087161
