Date,Reliance,Muthoot Finance,Info Edge,Godrej Consumer Products,Biocon
22-Jan-20,1533.1,758.4,2529.4,726.05,292.75
21-Jan-20,1533.95,769.05,2583.2,731.7,294.45
20-Jan-20,1532,773.8,2589.1,748.05,292.05
17-Jan-20,1580.65,780,2597.95,743.75,290.45
16-Jan-20,1537.7,788.75,2577.7,747.15,287.8
15-Jan-20,1524,760.05,2517.9,761.5,281.6
14-Jan-20,1529.05,764.75,2546,750.55,282.15
13-Jan-20,1543.45,750,2537.95,742.7,283.9
10-Jan-20,1547.7,748.05,2550.15,738.1,281.05
09-Jan-20,1547.95,741.85,2558.7,724.2,282.3
08-Jan-20,1513.95,746.3,2553.65,711.9,283.1
07-Jan-20,1525.05,750.55,2538.6,708.15,284.2
06-Jan-20,1501.5,756.45,2519.1,697.2,288.3
03-Jan-20,1537.25,770.95,2565.05,687.7,301.05
02-Jan-20,1535.35,767.85,2531.85,683.9,296.2
01-Jan-20,1509.7,760.95,2563.45,691.35,294.4
31-Dec-19,1514.1,761.35,2530.8,684.8,293.9
30-Dec-19,1544.2,765.8,2543.45,688.8,291.85
27-Dec-19,1542.15,758.4,2567.2,689.25,292.3
26-Dec-19,1515.95,750,2532.05,683.9,289.55
24-Dec-19,1545.95,744.3,2564.45,691.5,288.75
23-Dec-19,1571,743.9,2594.85,698.55,285.7
20-Dec-19,1599.4,731.8,2644.95,706.45,289.3
19-Dec-19,1605.15,728.45,2593.55,684.75,295.1
18-Dec-19,1575.7,715.3,2629,680.45,294
17-Dec-19,1562.15,717.2,2606.1,677.75,290.8
16-Dec-19,1566.55,720.15,2638.1,674.65,295.55
13-Dec-19,1582.45,717.1,2628.4,674.25,292.55
12-Dec-19,1567.5,712.45,2524.5,666.35,293
11-Dec-19,1562.6,697.65,2568.25,670.85,290.4
10-Dec-19,1562.2,691.8,2498.05,646.45,289.5
09-Dec-19,1572.55,686.75,2484.25,658.1,289.5
06-Dec-19,1554.95,694.4,2445.7,664.6,289.05
05-Dec-19,1550.3,694.6,2449.55,672.55,286.85
04-Dec-19,1552.55,671.4,2446.55,696.3,287.05
03-Dec-19,1578.85,667.4,2549.75,714.95,285.9
02-Dec-19,1586.3,677.3,2511.05,728.65,285.95
29-Nov-19,1550.9,678.35,2633.45,724.9,281.65
28-Nov-19,1579.95,689.4,2542.55,722.05,283.55
27-Nov-19,1569.75,693.1,2540.2,720.65,276.55
26-Nov-19,1558.85,681.8,2579.35,702.8,264.3
25-Nov-19,1560.7,685.2,2622,715.15,258.65
22-Nov-19,1546.4,685.15,2603.4,712,255.75
21-Nov-19,1537.25,687,2573.8,725.5,254.2
20-Nov-19,1547.05,696.35,2591.15,712.4,262.75
19-Nov-19,1509.8,706.8,2640.6,702.95,258.75
18-Nov-19,1458.5,713.95,2728.4,714.9,260.5
15-Nov-19,1469.3,701.3,2644.55,710.8,257.3
14-Nov-19,1463.4,711.65,2609.95,714.9,254.55
13-Nov-19,1472,649.65,2600.25,729.45,256.9
11-Nov-19,1427.8,668.65,2564.45,732.9,263.4
08-Nov-19,1445.35,675.25,2513,735.3,264.9
07-Nov-19,1458.8,684.95,2494,752.45,263.85
06-Nov-19,1432.1,690.45,2523.15,741.6,260.75
05-Nov-19,1447.6,704.5,2487.75,721.9,255.85
04-Nov-19,1457.25,706.2,2527.75,721.35,263.7
01-Nov-19,1457,708.9,2614.85,737.9,246.2
31-Oct-19,1464.2,707.4,2570.8,740.75,246.35
30-Oct-19,1478.7,706.4,2450.3,733.85,248.45
29-Oct-19,1467.1,707.4,2412.35,719.05,244.05
27-Oct-19,1434.1,665.2,2306.7,706.75,242.85
25-Oct-19,1430.7,662.75,2266.8,702.2,241.55
24-Oct-19,1436.25,669.75,2309.75,713.7,244.95
23-Oct-19,1392.85,683.45,2349.2,714.65,258.25
22-Oct-19,1414.25,686.7,2400.65,699.9,256.95
18-Oct-19,1415.3,675.95,2301.3,717.4,259.55
17-Oct-19,1396.15,654.4,2284.45,714.7,258.15
16-Oct-19,1372.7,643.4,2259.2,706.05,259.9
15-Oct-19,1363.3,653.85,2314.65,689.5,260.2
14-Oct-19,1357.65,657.5,2265.7,691.3,253.2
11-Oct-19,1352.4,663.5,2259,691.1,247.5
10-Oct-19,1362.4,667,2281.3,679.8,240.2
09-Oct-19,1325.75,685.45,2395.55,672.45,233.55
07-Oct-19,1309.8,671.55,2333.15,670.15,228.85
04-Oct-19,1307.45,665.45,2269,668.2,231.2
03-Oct-19,1311,665.55,2120.55,660.15,232.15
01-Oct-19,1305.05,672.9,2059.4,679.5,222.15
30-Sep-19,1332.6,676.55,2023.1,686.2,223
27-Sep-19,1308.75,687.85,2050.8,691.75,218.05
26-Sep-19,1296.6,682.1,2065.75,679.8,216.3
25-Sep-19,1279.8,669.5,2055.7,671.55,218.35
24-Sep-19,1278.55,690.1,2080.6,663.45,224.45
23-Sep-19,1238.65,644.85,2091.5,660.85,225.4
20-Sep-19,1254.4,629.5,2075.05,684,228
19-Sep-19,1178.7,584.75,1926.6,655.65,227.3
18-Sep-19,1205.7,593,1981.7,649.05,227.8
17-Sep-19,1197.2,593,1923.95,645.95,228.25
16-Sep-19,1210.8,599.25,1941.65,637.8,230.7
13-Sep-19,1225.55,598.25,1897.75,623.05,232.55
12-Sep-19,1210.35,603.7,1864.55,617.6,232.3
11-Sep-19,1234.1,604.25,1960.1,609.8,234.8
09-Sep-19,1222.1,607.15,2070.1,607.35,233.35
06-Sep-19,1222.5,585.3,2062.15,599.7,236.45
05-Sep-19,1198.3,590.85,2175.1,597.2,229.5
04-Sep-19,1201.55,588.7,2118.7,583.45,231.2
03-Sep-19,1205.9,606.35,2034.95,599.9,225.65
30-Aug-19,1248.35,606.9,2026.9,608.7,235.25
29-Aug-19,1242.2,616.05,2000.95,600.25,227.8
28-Aug-19,1263.05,622.65,2005.95,600,220.9
27-Aug-19,1275.1,635.7,2003.85,603.7,228.9
26-Aug-19,1265.9,624,1906.35,608.85,221.95
23-Aug-19,1275.95,611.15,1939.1,600.5,223.95
22-Aug-19,1246.5,598.45,2049.85,607.95,221.6
21-Aug-19,1270.8,611.2,2138.75,613.4,223.3
20-Aug-19,1276,620.5,2159.25,631.25,218.25
19-Aug-19,1292.1,629.4,2179.45,626.4,216.2
16-Aug-19,1277.4,635.15,2188.8,622.7,227.8
14-Aug-19,1288.3,614.35,2171.9,629.45,232.4
13-Aug-19,1275,599.85,2172.6,649.2,224.1
09-Aug-19,1162,648.1,2208.25,653.2,228.75
08-Aug-19,1151.95,635.95,2174.8,642.45,231
07-Aug-19,1109,627.15,2155.45,633.95,224.95
06-Aug-19,1128,624.9,2147.65,622.35,225.4
05-Aug-19,1143,612.15,2151.2,613.05,228.2
02-Aug-19,1184.2,621.7,2184.5,612.05,231.3
01-Aug-19,1180.55,610.45,2216.5,603.65,223.6
31-Jul-19,1166,608.5,2246,599.15,226.7
30-Jul-19,1180.55,601.5,2230.55,598.1,234.25
29-Jul-19,1211.15,589.8,2233.85,613.3,237.05
26-Jul-19,1214.1,590.6,2225.15,619.6,241.6
25-Jul-19,1232.3,594.9,2245.1,616.6,238.55
24-Jul-19,1258.8,591.7,2144.15,616.35,238.15
23-Jul-19,1272.85,609.8,2163.65,618.7,241.6
22-Jul-19,1280.5,616.45,2184.95,620.6,246.3
19-Jul-19,1249,604.65,2139,627.75,240.35
18-Jul-19,1261.8,625.65,2216.45,644.05,263.05
17-Jul-19,1281.55,633.15,2241.8,643.65,262.8
16-Jul-19,1293.1,632.1,2256.75,633.05,258.1
15-Jul-19,1275.9,613.1,2231,620.8,252.65
12-Jul-19,1280.6,617.55,2193.75,627.9,253.45
11-Jul-19,1281.3,617.05,2302.65,635.45,252.55
10-Jul-19,1278.35,606.2,2223.85,637.5,246.6
09-Jul-19,1279.45,613.9,2219.95,647.4,244.85
08-Jul-19,1251.9,602,2243.35,652.1,240.4
05-Jul-19,1262.6,625.05,2255.4,671.9,239.75
04-Jul-19,1283,624.85,2291.3,674.4,248.6
03-Jul-19,1282.25,636.85,2262.75,672.75,248.95
02-Jul-19,1278.05,638.15,2283.55,673.9,254.05
01-Jul-19,1268.5,631.2,2242.05,664.65,252.05
28-Jun-19,1252,643.7,2246.45,663.55,250.4
27-Jun-19,1274.85,640.2,2208.15,668.7,248.3
26-Jun-19,1294.55,640.6,2217.15,671.05,252.85
25-Jun-19,1295.8,639.55,2218.9,675.9,246.4
24-Jun-19,1262.65,614.35,2176.6,674.2,249.7
21-Jun-19,1279.2,623.25,2125.75,669.5,249.7
20-Jun-19,1296.9,622.9,2104.55,671.3,253.1
19-Jun-19,1277.5,608.85,2015.3,663.65,251
18-Jun-19,1282.55,622.05,2112.65,672.05,243.1
17-Jun-19,1281.5,621.25,2219.35,657.65,245.8
14-Jun-19,1316.95,633.5,2195.2,663.4,248.9
13-Jun-19,1324.3,642.7,2186.45,680.8,256.4
12-Jun-19,1331.1,637.5,2214.2,681.4,258.15
11-Jun-19,1328.55,643.05,2262.1,685.5,536.75
10-Jun-19,1318.85,640.65,2277.9,691.45,529.9
07-Jun-19,1315.3,616.15,2312,691.3,528.45
06-Jun-19,1327.05,632.95,2294.4,699.75,545.2
04-Jun-19,1351.1,646.3,2251.25,701.6,540.7
03-Jun-19,1358.3,642.3,2317.3,705.1,553.9
31-May-19,1329.75,650.05,2039.5,685.3,541
30-May-19,1330.6,641.4,2161,659.2,544.45
29-May-19,1313.25,628.85,2052.6,666.1,543.15
28-May-19,1325.95,633.9,1965.75,671.45,542.6
27-May-19,1310.7,646.05,1927.25,667.75,550.4
24-May-19,1336.8,642.2,1956.95,658.9,533.35
23-May-19,1335.8,621,1893.1,657,510.7
22-May-19,1340.7,617.4,1917.4,659.35,519.6
21-May-19,1339.75,619.15,1868.05,658.85,518.85
20-May-19,1325.5,617.9,1834.15,676.75,524.7
17-May-19,1265.7,579.45,1817.6,668.1,520.8
16-May-19,1264.05,577.5,1898.15,636.7,527.45
15-May-19,1257.25,571.3,1891.3,640.5,531.45
14-May-19,1259.5,571.05,1894.55,637.5,529.2
13-May-19,1230.85,546.85,1923.4,638.1,525.45
10-May-19,1250.5,573.45,1948.95,644.1,540.6
09-May-19,1255.15,566.65,1907.6,640.55,531.15
08-May-19,1299.45,560.4,1959.2,636.3,546
07-May-19,1344.55,566.8,1956.2,636.55,551.4
06-May-19,1384.85,592,1982.5,635.3,544.55
03-May-19,1407.05,599,1983.6,642.15,551.5
02-May-19,1405.1,590.2,1960.9,652.7,560.9
30-Apr-19,1391.8,594.95,1937.5,651.1,592.9
26-Apr-19,1391.45,591.75,1913.7,653.7,619.8
25-Apr-19,1374.55,580.85,1978.75,650.65,620.1
24-Apr-19,1390,586.95,1998.35,674.45,613.6
23-Apr-19,1363.3,587.7,1924.25,672.15,614
22-Apr-19,1344.8,589.85,1899.95,666.85,607.75
18-Apr-19,1382.9,614.8,1910.55,668.4,615.3
