Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,9425.00,9442.75,9378.45,9388.55,9420.727941176470588235,2584,478,24343161.00,950,36.76,64.30,-36.45
30-December-2019,9475.00,9488.40,9404.00,9433.40,9443.519469026548672566,3390,566,32013531.00,761,22.45,84.40,-41.60
27-December-2019,9345.00,9469.30,9345.00,9446.30,9408.394606103619588360,4227,634,39769284.00,1002,23.70,124.30,101.30
26-December-2019,9314.00,9392.35,9297.55,9351.50,9356.049507119386637458,4565,672,42710366.00,1577,34.55,94.80,37.50
24-December-2019,9298.00,9330.00,9264.40,9297.10,9300.742813141683778234,1948,379,18117847.00,503,25.82,65.60,-0.90
23-December-2019,9281.00,9367.70,9272.80,9296.25,9314.739976275207591933,4215,666,39261629.00,771,18.29,94.90,15.25
20-December-2019,9269.00,9331.75,9262.00,9281.15,9289.177516411378555798,3656,665,33961233.00,913,24.97,69.75,12.15
19-December-2019,9333.25,9353.00,9255.80,9270.05,9299.012686330478908975,6306,943,58639574.00,1548,24.55,97.20,-63.20
18-December-2019,10297.00,10297.00,9292.10,9366.65,9379.287332432713291073,9623,1159,90256882.00,1873,19.46,1004.90,-930.35
17-December-2019,9300.00,9392.75,9270.10,9367.35,9327.617154032408269696,10738,1416,100159953.00,2237,20.83,122.65,67.35
16-December-2019,9210.05,9299.95,9158.40,9286.75,9267.996317340067340067,9504,1094,88083037.00,2132,22.43,141.55,76.70
13-December-2019,9191.00,9266.00,9146.05,9207.10,9222.127693220003953350,5059,761,46654744.00,853,16.86,119.95,16.10
12-December-2019,9179.95,9181.85,9085.00,9168.05,9143.360974004606778545,6078,760,55573348.00,683,11.24,96.85,-11.90
11-December-2019,8965.55,9115.25,8941.75,9078.20,9037.221010491441192711,7244,1064,65465629.00,1192,16.45,173.50,112.65
10-December-2019,8927.40,8988.30,8880.00,8927.40,8934.310996563573883161,3492,570,31198614.00,636,18.21,108.30,0.00
9-December-2019,8899.00,8986.00,8827.85,8927.40,8929.484465617232808616,4828,648,43111551.00,612,12.68,158.15,28.40
6-December-2019,9039.00,9039.00,8829.30,8859.05,8918.359596885020613834,4366,791,38937558.00,831,19.03,209.70,-179.95
5-December-2019,9013.45,9024.35,8935.65,8962.70,8982.324642556770395290,3567,649,32039952.00,663,18.59,88.70,-50.75
4-December-2019,9075.00,9085.40,8955.35,9030.95,9003.039353264185478950,6556,977,59023926.00,1631,24.88,130.05,-44.05
3-December-2019,8950.00,9126.25,8926.20,9077.05,9021.379756892031461031,12587,1124,113552107.00,1695,13.47,200.05,127.05
2-December-2019,9110.00,9110.00,8900.00,8947.55,8956.396812080536912751,9536,1585,85408200.00,1412,14.81,210.00,-162.45
29-November-2019,9215.00,9234.90,9092.75,9106.20,9152.599579453289276058,6658,1037,60938008.00,1768,26.55,142.15,-108.80
28-November-2019,9200.60,9280.00,9185.00,9240.85,9223.131005876253024541,8679,1117,80047554.00,2084,24.01,95.00,40.25
27-November-2019,9105.00,9260.65,9105.00,9234.70,9194.133711824588880187,5108,1077,46963635.00,1245,24.37,155.65,129.70
26-November-2019,9198.95,9215.00,9098.00,9118.40,9174.287700999565406345,9204,1391,84440144.00,3180,34.55,117.00,-80.55
25-November-2019,9035.00,9221.25,9015.55,9174.05,9110.423444418550454439,8582,1233,78185654.00,1342,15.64,205.70,139.05
22-November-2019,9073.60,9075.00,8978.05,9031.65,9023.733333333333333333,4260,822,38441104.00,987,23.17,96.95,-41.95
21-November-2019,9084.00,9115.10,9031.15,9050.60,9076.546077423775265501,5838,915,52988876.00,1009,17.28,83.95,-33.40
20-November-2019,9130.00,9181.00,9064.00,9087.30,9135.702207862143241787,5571,1046,50894997.00,926,16.62,117.00,-42.70
19-November-2019,9082.00,9188.20,9082.00,9155.60,9152.661884451337727801,7737,1263,70814145.00,1409,18.21,106.20,73.60
18-November-2019,9053.05,9130.25,9020.55,9106.40,9082.769168846850472932,4969,897,45132280.00,964,19.40,109.70,53.35
15-November-2019,9085.00,9140.00,9030.00,9057.90,9091.589109459909060663,9017,1428,81978859.00,2179,24.17,110.00,-27.10
14-November-2019,8950.00,9099.00,8902.00,9063.60,9014.338036449147560258,8505,1453,76666945.00,2007,23.60,197.00,113.60
13-November-2019,8888.00,9029.00,8850.00,8982.15,8942.724375743162901307,12615,1776,112812468.00,4038,32.01,179.00,94.15
11-November-2019,8815.00,8926.55,8776.30,8904.90,8860.866964856230031948,7825,1101,69336284.00,2314,29.57,150.25,89.90
8-November-2019,8832.60,8947.00,8753.90,8815.75,8866.316054829053095950,12694,1801,112549016.00,1786,14.07,193.10,-16.85
7-November-2019,8823.70,8860.75,8761.65,8832.60,8817.130103806228373702,7225,932,63703765.00,1495,20.69,99.10,8.90
6-November-2019,8839.90,8874.95,8725.00,8771.75,8783.610054753608760577,10045,1621,88231363.00,1218,12.13,149.95,-68.15
5-November-2019,8800.00,8880.00,8661.50,8843.55,8804.927042658759284812,68122,3600,599809240.00,45444,66.71,218.50,43.55
4-November-2019,8470.00,8750.70,8464.10,8708.15,8626.767437286950441394,45764,3177,394795385.00,28177,61.57,286.60,238.15
1-November-2019,8135.10,8426.65,8133.30,8387.80,8363.256455749286278810,61999,5094,518513537.00,40635,65.54,293.35,252.70
31-October-2019,8082.55,8238.90,8082.55,8137.10,8179.460243760882182240,29291,3015,239584570.00,15197,51.88,156.35,54.55
30-October-2019,8187.00,8197.80,8061.75,8080.15,8118.046505517603783499,7612,1325,61794570.00,1816,23.86,136.05,-106.85
29-October-2019,8039.95,8173.35,8020.75,8149.75,8111.124927159442377515,22309,1950,180951086.00,16778,75.21,152.60,109.80
27-October-2019,8039.95,8057.90,7967.00,8004.40,8017.402953586497890295,2370,392,19001245.00,931,39.28,90.90,-35.55
25-October-2019,8112.00,8160.00,7853.00,7967.45,7998.270274212368728121,13712,2046,109672282.00,1829,13.34,307.00,-144.55
24-October-2019,8128.30,8200.00,8045.00,8087.05,8130.356656849801970143,9847,1651,80059622.00,1116,11.33,155.00,-41.25
23-October-2019,8155.00,8270.00,8022.00,8066.15,8112.795060198300283286,22592,2595,183284266.00,2471,10.94,248.00,-88.85
22-October-2019,8267.00,8389.90,7966.75,8002.65,8295.431484481472910077,38889,3594,322601035.00,23406,60.19,423.15,-264.35
18-October-2019,8362.00,8440.00,8232.75,8263.95,8318.197796182588414489,42018,3008,349514035.00,26566,63.23,207.25,-98.05
17-October-2019,8100.00,8361.90,8100.00,8295.65,8223.776771372479029091,22412,2413,184311285.00,10171,45.38,261.90,195.65
16-October-2019,8066.05,8261.80,8055.65,8129.30,8145.148033009269726430,17692,2365,144103959.00,4550,25.72,206.15,63.25
15-October-2019,8108.95,8131.45,8012.90,8035.10,8065.611515782171349288,11532,1343,93012632.00,6319,54.80,118.55,-73.85
14-October-2019,8181.00,8243.15,8050.05,8073.45,8157.346462544589774078,6728,1075,54882627.00,2236,33.23,193.10,-107.55
11-October-2019,8224.00,8328.70,8106.00,8159.40,8215.983448440104786854,8398,1400,68997829.00,875,10.42,222.70,-64.60
10-October-2019,8300.00,8346.00,8175.00,8201.45,8245.269396208379799267,6277,1012,51755556.00,861,13.72,171.00,-98.55
9-October-2019,8262.00,8345.00,8177.05,8312.55,8240.099425045575655588,42786,3750,352560894.00,30608,71.54,167.95,50.55
7-October-2019,8300.00,8400.00,8193.65,8224.95,8275.357565267560940429,13866,1904,114746108.00,2743,19.78,206.35,-75.05
4-October-2019,8492.00,8517.00,8250.00,8295.70,8403.256618954064926560,10689,1532,89822410.00,1032,9.65,267.00,-196.30
3-October-2019,8459.00,8485.00,8335.80,8445.70,8430.970138111235535647,8037,1365,67759707.00,867,10.79,149.20,-13.30
1-October-2019,8564.00,8605.00,8295.50,8458.25,8452.251906456532791052,15736,2424,133004636.00,1335,8.48,309.50,-105.75
30-September-2019,8550.00,8668.65,8420.00,8509.25,8537.690910750136886293,21916,2909,187112034.00,3572,16.30,248.65,-40.75
