Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1944.00,1946.40,1920.00,1923.25,1934.341323375893359029,24906,1980,48176705.00,8805,35.35,26.40,-20.75
30-December-2019,1955.50,1955.50,1928.50,1936.80,1937.072765219852134847,28269,2051,54759110.00,13904,49.18,27.00,-18.70
27-December-2019,1945.10,1954.25,1933.75,1949.95,1945.605913452124534952,25535,1814,49681047.00,12226,47.88,20.50,4.85
26-December-2019,1947.90,1952.00,1939.20,1945.10,1945.325221695194885543,29094,1726,56597292.00,16249,55.85,12.80,-2.80
24-December-2019,1953.10,1964.50,1940.00,1946.45,1950.083503104384943733,41232,2310,80405843.00,20103,48.76,24.50,-6.65
23-December-2019,1954.00,1962.00,1945.00,1950.05,1952.350511945392491467,26370,1471,51483483.00,8497,32.22,17.00,-3.95
20-December-2019,1954.00,1959.55,1932.00,1947.10,1945.801106057629833335,66181,3205,128775063.00,16907,25.55,27.55,-6.90
19-December-2019,1936.00,1966.00,1931.40,1949.95,1951.370922119554968885,42424,3317,82784960.00,11851,27.93,34.60,13.95
18-December-2019,1965.00,1965.00,1908.05,1929.25,1922.878360188447682014,151554,7329,291419907.00,42949,28.34,56.95,-35.75
17-December-2019,1974.75,1994.80,1950.30,1964.45,1970.679872630331753554,40512,2957,79836183.00,14100,34.80,44.50,-10.30
16-December-2019,2006.00,2010.55,1969.00,1973.90,1981.519439603163962997,59672,3673,118241228.00,25420,42.60,41.55,-32.10
13-December-2019,2013.00,2024.15,2001.10,2005.30,2013.662803157481158695,55994,1818,112753035.00,16509,29.48,23.05,-7.70
12-December-2019,2014.00,2034.45,2002.00,2006.45,2009.119495749047200234,51165,4405,102796599.00,11993,23.44,32.45,-7.55
11-December-2019,2025.00,2025.00,1998.30,2009.60,2012.082381113093229191,62223,2285,125197802.00,11047,17.75,26.70,-15.40
10-December-2019,2010.00,2041.25,2010.00,2025.00,2029.422809574527720163,35678,2958,72405747.00,15954,44.72,31.25,15.00
9-December-2019,2025.50,2029.40,1991.85,2009.85,2009.935429832292584744,159981,2880,321551480.00,13208,8.26,37.55,-15.65
6-December-2019,2052.00,2052.00,2022.25,2025.50,2037.569629066390611687,109157,1568,222414988.00,8524,7.81,29.75,-26.50
5-December-2019,2040.00,2046.60,2028.00,2036.25,2038.418556344123247360,132871,2106,270846712.00,12300,9.26,18.60,-3.75
4-December-2019,2029.00,2052.00,2023.20,2048.20,2035.382179886652697990,129337,2492,263250225.00,109941,85.00,28.80,19.20
3-December-2019,2058.20,2058.20,2021.00,2028.85,2031.694578070202662859,64442,2925,130926462.00,18445,28.62,37.20,-29.35
2-December-2019,2036.10,2062.00,2029.30,2044.20,2044.741611176393785089,45954,2252,93964056.00,12009,26.13,32.70,8.10
29-November-2019,2087.00,2087.00,2030.55,2036.10,2044.875774586279798789,41151,2369,84148683.00,17602,42.77,56.45,-50.90
28-November-2019,2091.00,2096.95,2068.05,2085.55,2082.478589165357522931,39466,2140,82187100.00,17634,44.68,28.90,-5.45
27-November-2019,2060.00,2099.65,2056.50,2092.70,2081.061721614680084643,61907,3838,128832288.00,14017,22.64,43.15,32.70
26-November-2019,2065.00,2080.05,2033.00,2061.20,2053.616800353035848713,38523,2515,79111480.00,17116,44.43,47.05,-3.80
25-November-2019,2027.50,2066.35,2026.00,2061.00,2051.069458595369426975,28463,1659,58379590.00,9860,34.64,40.35,33.50
22-November-2019,2050.00,2053.20,2008.35,2024.20,2022.333921944977607165,78150,2384,158045396.00,27653,35.38,44.85,-25.80
21-November-2019,2026.95,2060.25,2017.55,2049.65,2040.940877386196769456,54480,3322,111190459.00,25599,46.99,42.70,22.70
20-November-2019,2055.00,2055.00,2017.30,2026.20,2026.254092460584670397,86134,3097,174529370.00,39213,45.53,37.70,-28.80
19-November-2019,2055.00,2055.00,2029.50,2036.95,2036.505851685634817193,74423,3233,151562875.00,29276,39.34,25.50,-18.05
18-November-2019,2058.00,2072.55,2038.00,2056.70,2046.037283030391360775,288174,2518,589614748.00,240992,83.63,34.55,-1.30
15-November-2019,2067.00,2098.00,2050.00,2057.25,2074.704462974164002419,46292,2577,96042219.00,19741,42.64,48.00,-9.75
14-November-2019,2094.00,2094.00,2061.40,2069.65,2070.291836131876121878,44011,2001,91115614.00,23344,53.04,32.60,-24.35
13-November-2019,2083.00,2094.00,2073.60,2090.80,2086.605804519034299430,50409,2361,105183712.00,26866,53.30,20.40,7.80
