Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,7416.00,7416.00,7353.60,7367.20,7375.569002587369264968,27441,2616,202392989.00,10681,38.92,62.40,-48.80
30-December-2019,7362.20,7429.55,7345.00,7414.90,7385.229088090932575561,38710,4399,285882218.00,15383,39.74,84.55,52.70
27-December-2019,7251.30,7370.00,7251.30,7349.85,7319.657437546570453743,76497,4162,559931835.00,52947,69.21,118.70,98.55
26-December-2019,7323.90,7338.60,7224.75,7240.75,7283.726633689143452225,23046,3214,167860764.00,6714,29.13,113.85,-83.15
24-December-2019,7403.00,7420.95,7310.00,7327.40,7369.061579423044041134,40939,5439,301682012.00,6321,15.44,110.95,-75.60
23-December-2019,7258.75,7379.00,7256.20,7361.90,7333.888758215150466966,28910,4367,212022724.00,6046,20.91,122.80,103.15
20-December-2019,7247.00,7304.00,7234.30,7258.75,7264.379527087698293923,43433,4698,315513796.00,12805,29.48,69.70,11.75
19-December-2019,7250.00,7309.00,7192.00,7239.35,7264.672081125525306047,54730,5554,397595503.00,21338,38.99,117.00,-10.65
18-December-2019,7235.00,7255.00,7165.05,7241.55,7204.036590606334063856,46542,4388,335290271.00,20175,43.35,89.95,6.55
17-December-2019,7210.00,7274.95,7168.05,7196.85,7210.642355897404467869,32633,4274,235304892.00,8479,25.98,106.90,-13.15
16-December-2019,7226.00,7255.90,7123.55,7135.05,7178.099012972363226170,70920,6261,509070782.00,41861,59.03,132.35,-90.95
13-December-2019,7020.00,7250.00,7020.00,7221.35,7134.609490767964247912,68024,8618,485324676.00,29265,43.02,230.00,201.35
12-December-2019,7030.80,7045.60,6975.00,6997.75,6998.583644958724335003,56692,3861,396763704.00,29412,51.88,70.60,-33.05
11-December-2019,6999.90,7034.20,6958.00,6991.55,6990.955783530160244940,25149,3105,175815547.00,4059,16.14,76.20,-8.35
10-December-2019,7010.00,7051.50,6907.00,6966.00,6966.715615902575612791,44999,6458,313495236.00,7869,17.49,144.50,-44.00
9-December-2019,7000.00,7106.00,6956.05,6997.25,7026.714424842340544424,62635,7291,440118258.00,5442,8.69,149.95,-2.75
6-December-2019,7007.00,7050.00,6862.15,6881.35,6950.709594984102457433,33653,5206,233912230.00,6519,19.37,187.85,-125.65
5-December-2019,7088.00,7126.40,6988.90,7005.60,7051.902110892203771460,35530,4386,250554082.00,8711,24.52,137.50,-82.40
4-December-2019,7101.15,7171.00,7056.10,7075.55,7106.228000239779402949,33364,4129,237092191.00,3648,10.93,114.90,-25.60
3-December-2019,7149.00,7233.00,7066.05,7141.90,7158.093831541592735622,38324,4747,274326788.00,4392,11.46,166.95,-7.10
2-December-2019,7271.00,7298.85,7111.00,7137.45,7174.066408506450439656,46741,5533,335323038.00,6757,14.46,187.85,-133.55
29-November-2019,7259.00,7293.65,7134.55,7249.55,7217.235569238055769344,33782,4872,243812652.00,6175,18.28,159.10,-9.45
28-November-2019,7319.00,7319.00,7221.75,7258.30,7256.859164600419607095,52430,4368,380477126.00,22271,42.48,97.25,-60.70
27-November-2019,7150.00,7300.00,7150.00,7296.70,7253.481585137106618632,67174,7984,487245372.00,26652,39.68,150.00,146.70
26-November-2019,7236.10,7272.85,7088.50,7127.35,7198.726027716858756007,42862,6099,308551795.00,4623,10.79,184.35,-108.75
25-November-2019,7074.00,7256.10,7043.90,7237.40,7181.927035798823787793,40979,5290,294308188.00,10794,26.34,212.20,163.40
22-November-2019,7065.00,7076.95,7001.00,7057.60,7040.594060850033546279,34281,3796,241358605.00,4168,12.16,75.95,-7.40
21-November-2019,7125.25,7203.80,7007.00,7019.25,7112.902798733450921223,47057,5562,334711867.00,9178,19.50,196.80,-106.00
20-November-2019,7100.00,7215.45,7046.85,7144.10,7146.680996554465942221,56595,7023,404466411.00,5306,9.38,168.60,44.10
19-November-2019,7200.00,7200.00,7031.00,7044.00,7079.361574074074074074,51840,8179,366994104.00,16819,32.44,169.00,-156.00
18-November-2019,7137.00,7189.30,7078.60,7099.60,7106.957905887600356824,161424,8936,1147233573.00,24324,15.07,110.70,-37.40
15-November-2019,7290.00,7360.00,7120.05,7147.00,7259.517379856414919209,52791,6781,383237182.00,10648,20.17,239.95,-143.00
14-November-2019,7163.80,7272.70,7163.80,7247.10,7233.716889201218083860,42690,4548,308807374.00,7723,18.09,108.90,83.30
13-November-2019,7105.00,7170.00,7099.00,7155.70,7135.677032596478081678,29359,3414,209496342.00,3633,12.37,71.00,50.70
11-November-2019,7156.00,7230.05,7077.00,7133.25,7131.626910996942404892,48077,5149,342867227.00,15748,32.76,153.05,-22.75
8-November-2019,7285.00,7370.00,7182.05,7201.00,7285.872398650798701711,47139,6236,343448739.00,9719,20.62,187.95,-84.00
7-November-2019,7345.00,7353.10,7243.00,7286.50,7278.781358196733087189,69607,6437,506654134.00,30033,43.15,110.10,-58.50
6-November-2019,7399.00,7411.55,7296.55,7311.55,7340.366148204350025290,47448,4899,348285693.00,14245,30.02,115.00,-87.45
5-November-2019,7434.70,7542.00,7330.00,7385.30,7423.602467506278758547,109098,6555,809900182.00,57465,52.67,212.00,-49.40
4-November-2019,7575.00,7625.00,7410.00,7423.05,7484.307830684946441712,36689,5495,274591770.00,8524,23.23,215.00,-151.95
1-November-2019,7580.00,7647.85,7546.55,7616.25,7604.543856642291285801,52512,7734,399329807.00,6697,12.75,101.30,36.25
31-October-2019,7699.00,7699.00,7512.95,7557.50,7568.042161389621811785,36384,5733,275355646.00,4473,12.29,186.05,-141.50
30-October-2019,7730.00,7744.75,7540.00,7554.20,7627.365240819195251947,51221,6968,390681275.00,7444,14.53,204.75,-175.80
29-October-2019,7421.50,7755.00,7386.50,7718.90,7611.506448392346722466,73119,10679,556545740.00,21379,29.24,368.50,297.40
27-October-2019,7500.00,7500.00,7390.00,7421.50,7446.065149325626204238,8304,1022,61832125.00,2932,35.31,110.00,-78.50
25-October-2019,7400.00,7507.00,7360.60,7469.15,7443.516255225398260083,70808,10410,527060499.00,7265,10.26,146.40,69.15
