Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,504.00,516.00,495.20,508.05,503.486804353203067029,80860,2829,40711943.00,22015,27.23,20.80,4.05
30-December-2019,509.75,510.25,502.60,504.25,505.183036330984942671,28956,1132,14628080.00,11353,39.21,7.65,-5.50
27-December-2019,504.85,513.45,500.55,507.00,507.153801465016418287,79180,2853,40156438.00,13973,17.65,12.90,2.15
26-December-2019,500.00,504.85,496.05,500.90,500.564060082595295235,82087,5810,41089802.00,30846,37.58,8.80,0.90
24-December-2019,506.60,508.50,492.55,498.15,498.308540713687710059,82417,2743,41069095.00,17455,21.18,15.95,-8.45
23-December-2019,508.00,512.15,500.35,503.85,506.818119223942713752,65356,3033,33123605.00,19278,29.50,11.80,-4.15
20-December-2019,523.30,526.55,506.55,514.10,516.326246227419190225,274348,8511,141653073.00,71308,25.99,20.00,-9.20
19-December-2019,500.10,521.85,500.00,518.30,514.536675790586323586,253546,7487,130458716.00,47248,18.63,21.85,18.20
18-December-2019,483.95,504.45,457.45,500.10,482.175767780627424690,384843,11307,185561969.00,52026,13.52,47.00,16.15
17-December-2019,497.00,497.00,478.65,480.00,483.855146406388642413,130732,4858,63255351.00,56783,43.43,18.35,-17.00
16-December-2019,516.00,522.30,486.00,489.45,497.604398177964613168,170798,7311,84989836.00,56453,33.05,36.30,-26.55
13-December-2019,520.00,524.20,512.20,514.60,516.707315101166292725,49473,1889,25563061.00,17299,34.97,12.00,-5.40
12-December-2019,519.60,531.75,512.45,515.65,521.785583245393294910,61595,2111,32139383.00,14324,23.26,19.30,-3.95
11-December-2019,523.00,523.00,508.00,515.15,515.020289434455100721,75803,3073,39040083.00,21069,27.79,15.00,-7.85
10-December-2019,549.00,550.00,516.90,520.90,532.726489938080495356,82688,4422,44050088.00,31221,37.76,33.10,-28.10
9-December-2019,565.00,565.00,540.45,543.00,551.961649814504982905,137470,2343,75878168.00,101280,73.67,24.55,-22.00
6-December-2019,584.00,584.00,551.60,562.35,559.648098555379529358,691185,2429,386820371.00,10244,1.48,32.40,-21.65
5-December-2019,571.90,583.65,570.00,576.95,578.051402767102229054,52040,2165,30081795.00,9878,18.98,13.65,5.05
4-December-2019,575.00,580.00,566.70,569.70,572.719729270401621992,33539,1444,19208447.00,9474,28.25,13.30,-5.30
3-December-2019,571.00,588.50,571.00,578.50,578.938884068031933356,115240,3589,66716917.00,29056,25.21,17.50,7.50
2-December-2019,582.05,582.85,562.75,568.50,569.202713326748241175,49607,1494,28236439.00,12553,25.30,20.10,-13.55
29-November-2019,586.80,596.80,571.00,580.55,583.628066764758753387,150199,4642,87660352.00,27507,18.31,25.80,-6.25
28-November-2019,550.35,591.85,548.75,583.90,572.928776457729177231,203107,6872,116365845.00,73763,36.32,43.10,33.55
27-November-2019,547.00,556.40,544.40,552.55,550.985568274189464706,75043,2225,41347610.00,22544,30.04,12.00,5.55
26-November-2019,540.15,553.90,530.35,545.25,541.493420915875028582,96214,3040,52099248.00,24074,25.02,23.55,5.10
25-November-2019,530.00,553.00,530.00,539.25,544.593713200379867046,157950,3954,86018577.00,41930,26.55,23.00,9.25
22-November-2019,542.00,542.00,523.90,526.10,530.073317215652383192,91411,3066,48454532.00,39060,42.73,18.10,-15.90
21-November-2019,531.55,537.05,520.00,533.90,531.473740469672014921,91681,2642,48726044.00,18893,20.61,17.05,2.35
20-November-2019,539.95,543.10,505.35,525.35,524.583208537280854712,243731,6145,127857190.00,31488,12.92,37.75,-14.60
19-November-2019,557.95,557.95,534.00,536.00,539.281240105711387235,154761,4616,83459704.00,73243,47.33,23.95,-21.95
18-November-2019,563.80,563.95,550.15,558.35,555.765147362651262807,47434,2280,26362164.00,14056,29.63,13.80,-5.45
15-November-2019,564.45,569.20,556.25,559.80,561.228229378267674581,720696,2432,404474940.00,666208,92.44,12.95,-4.65
14-November-2019,567.90,576.85,552.10,557.15,558.323973674755764669,726451,2897,405595009.00,179428,24.70,24.75,-10.75
13-November-2019,554.95,574.50,552.00,564.10,566.302876146390400733,126593,3606,71689980.00,46657,36.86,22.50,9.15
11-November-2019,557.00,564.75,534.60,549.35,549.299893777603846368,89435,3364,49126636.00,21137,23.63,30.15,-7.65
8-November-2019,569.00,574.00,548.80,550.85,557.145443173906373538,84741,3611,47213062.00,33524,39.56,25.20,-18.15
7-November-2019,582.50,588.35,565.55,569.00,574.886963976353342501,55991,3931,32188496.00,28170,50.31,22.80,-13.50
6-November-2019,587.05,594.00,569.90,582.40,577.217477162624841949,70389,3233,40629761.00,23675,33.63,24.10,-4.65
5-November-2019,591.00,592.25,570.00,586.85,586.247631501036218296,40532,1881,23761789.00,16921,41.75,22.25,-4.15
