Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,460.65,462.45,454.50,455.80,459.029666495051770493,174810,2535,80242976.00,23848,13.64,7.95,-4.85
30-December-2019,457.30,464.75,455.30,460.50,460.636920772190255694,293710,4879,135293670.00,39789,13.55,9.45,3.20
27-December-2019,448.90,457.00,448.75,455.30,453.274197981926675905,174622,3683,79151647.00,42277,24.21,8.25,6.40
26-December-2019,455.30,456.75,445.45,447.15,450.602215899605884871,275554,4255,124165243.00,31829,11.55,11.30,-8.15
24-December-2019,455.00,460.35,452.65,457.35,456.569827828342287534,334666,4185,152798398.00,37708,11.27,7.70,2.35
23-December-2019,446.05,459.00,446.05,454.65,452.237582949153166647,325802,4707,147339909.00,16627,5.10,12.95,8.60
20-December-2019,449.90,460.05,445.75,453.50,453.830832237068572523,537431,8044,243902758.00,40883,7.61,14.30,3.60
19-December-2019,436.90,456.40,430.55,448.50,442.828994652775978092,463044,7311,205049309.00,84024,18.15,25.85,11.60
18-December-2019,448.00,448.00,434.15,438.20,436.052817623131417566,1985663,6569,865853946.00,1606489,80.90,13.85,-9.80
17-December-2019,424.05,441.30,417.90,439.95,429.642743351512262055,515982,7254,221687922.00,69199,13.41,23.40,15.90
16-December-2019,432.00,432.00,420.35,421.80,425.257159304045502371,262316,3064,111551757.00,32988,12.58,11.65,-10.20
13-December-2019,440.00,440.10,426.00,427.50,431.087305897303719549,362759,6348,156380800.00,64941,17.90,14.10,-12.50
12-December-2019,445.00,445.00,436.30,438.30,440.662591286141323769,237851,4209,104812038.00,49964,21.01,8.70,-6.70
11-December-2019,446.00,448.65,440.40,442.50,444.550673365639028450,201822,4151,89720106.00,44642,22.12,8.25,-3.50
10-December-2019,446.75,451.10,443.60,447.05,447.541763628846494595,253965,3255,113659944.00,17970,7.08,7.50,0.30
9-December-2019,448.75,451.55,441.85,445.75,446.589183078966870319,292819,3906,130769798.00,30862,10.54,9.70,-3.00
6-December-2019,451.55,452.10,442.65,444.75,447.070900506168154285,405794,5730,181418689.00,55328,13.63,9.45,-6.80
5-December-2019,464.20,464.20,445.05,447.20,451.435904839851760573,543715,10478,245452473.00,62450,11.49,19.15,-17.00
4-December-2019,459.00,464.75,454.65,460.85,460.281444960949116463,638910,8588,294078418.00,112876,17.67,10.10,1.85
3-December-2019,459.10,465.00,445.50,458.95,454.358335415280651176,1068711,15305,485577751.00,124054,11.61,19.50,-0.15
2-December-2019,470.00,485.75,455.15,458.55,470.218334171540028359,2026151,30749,952733348.00,409135,20.19,30.60,-11.45
29-November-2019,440.00,449.55,435.55,442.30,443.569946251711087849,993520,10604,440695613.00,303799,30.58,14.00,2.30
28-November-2019,433.50,443.90,428.65,436.70,435.614315078172171477,778410,10992,339086539.00,51234,6.58,15.25,3.20
27-November-2019,433.95,436.80,426.40,433.50,431.521868729742244173,518320,8112,223666415.00,66186,12.77,10.40,-0.45
26-November-2019,444.35,446.95,430.00,431.70,436.672828276234616079,1057029,11046,461575843.00,390649,36.96,16.95,-12.65
25-November-2019,421.00,455.65,421.00,451.30,442.136073351627358722,1321743,16686,584390260.00,110174,8.34,34.65,30.30
22-November-2019,425.00,429.70,417.00,421.00,422.816686669274936291,756568,11270,319889575.00,72949,9.64,12.70,-4.00
21-November-2019,443.90,443.90,422.45,426.25,428.393004151982463169,783722,10157,335741022.00,122911,15.68,21.45,-17.65
20-November-2019,446.95,452.95,433.45,437.25,443.610693652238002710,2313335,23713,1026220144.00,496701,21.47,19.50,-9.70
19-November-2019,427.00,445.45,421.55,439.25,431.797517839148559242,4249362,28445,1834863964.00,396736,9.34,23.90,12.25
18-November-2019,395.00,420.40,392.20,409.15,409.982323167147015385,2092230,18562,857777316.00,569131,27.20,28.20,14.15
15-November-2019,354.40,398.00,354.40,393.20,384.080362633514933118,2379041,24629,913742930.00,286583,12.05,43.60,38.80
14-November-2019,358.00,368.00,350.50,362.65,359.027912005417046487,801913,7047,287909150.00,243928,30.42,17.50,4.65
13-November-2019,372.50,373.00,366.40,368.50,369.397993555111097934,438487,2606,161976218.00,261641,59.67,6.60,-4.00
11-November-2019,370.00,373.70,368.35,371.70,370.444758202430906042,239746,1942,88812649.00,85010,35.46,5.35,1.70
8-November-2019,371.00,375.70,366.80,369.05,370.487824443057985767,213173,2368,78978001.00,29427,13.80,8.90,-1.95
7-November-2019,375.00,375.65,369.05,371.65,372.086328948856642914,300606,3409,111851383.00,143474,47.73,6.60,-3.35
6-November-2019,384.05,385.00,370.60,371.55,374.950360058012261491,476451,4381,178645474.00,238130,49.98,14.40,-12.50
5-November-2019,378.00,386.00,375.00,384.25,381.695642705650658991,422464,3063,161252668.00,238525,56.46,11.00,6.25
4-November-2019,377.00,381.70,374.30,378.20,378.507413382846017954,221896,2776,83989281.00,33937,15.29,7.40,1.20
1-November-2019,363.10,376.50,363.10,374.05,371.261508896502100871,337717,4388,125381323.00,47179,13.97,13.40,10.95
31-October-2019,367.40,376.80,364.00,374.40,370.835107150632189952,408817,4289,151603696.00,40625,9.94,12.80,7.00
30-October-2019,363.80,371.20,360.85,368.25,367.016099188891559664,357782,4111,131311754.00,33344,9.32,10.35,4.45
29-October-2019,360.00,365.80,353.30,359.95,359.320615500100408562,1140341,13403,409748030.00,187388,16.43,12.50,-0.05
