Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1195.05,1203.45,1184.80,1187.60,1195.807662992495309568,68224,2366,81582782.00,36752,53.87,18.65,-7.45
30-December-2019,1194.00,1197.90,1183.65,1194.40,1190.807123530509423399,42872,1625,51052283.00,6713,15.66,14.25,0.40
27-December-2019,1193.00,1199.05,1185.25,1191.15,1190.685626850281076406,30063,2033,35795582.00,10291,34.23,13.80,-1.85
26-December-2019,1205.10,1213.60,1190.35,1192.55,1199.555193941773145744,78967,2481,94725275.00,27037,34.24,23.25,-12.55
24-December-2019,1210.55,1222.00,1200.65,1204.00,1212.150928699015565613,74459,2909,90255546.00,29561,39.70,21.35,-6.55
23-December-2019,1202.50,1229.70,1201.25,1208.40,1214.622029425752903453,130362,5902,158340557.00,26988,20.70,28.45,5.90
20-December-2019,1163.35,1206.35,1161.65,1201.95,1190.540179401581496666,112931,4343,134448893.00,44085,39.04,44.70,38.60
19-December-2019,1160.00,1162.35,1153.50,1159.70,1157.514442145197447835,46392,2245,53699410.00,30609,65.98,8.85,-0.30
18-December-2019,1159.00,1167.10,1150.55,1158.85,1160.565094704290684190,51740,1584,60047638.00,26912,52.01,16.55,-0.15
17-December-2019,1170.00,1170.00,1152.50,1158.25,1160.995626331725916788,26751,1373,31057794.00,9336,34.90,17.50,-11.75
16-December-2019,1188.00,1191.90,1163.25,1166.45,1178.400260648500812232,108959,1862,128397314.00,75176,68.99,28.65,-21.55
13-December-2019,1190.00,1203.50,1182.25,1186.20,1192.805755212963198130,39373,1593,46964341.00,8034,20.40,21.25,-3.80
12-December-2019,1192.40,1192.40,1177.00,1187.75,1185.353651354534746760,33960,1172,40254610.00,7501,22.09,15.40,-4.65
11-December-2019,1185.00,1188.75,1176.05,1179.50,1183.911300394945596525,88873,3356,105217749.00,37878,42.62,12.70,-5.50
10-December-2019,1178.00,1191.75,1172.60,1179.30,1185.574544911966577141,100530,3255,119185809.00,45321,45.08,19.15,1.30
9-December-2019,1166.00,1185.50,1166.00,1177.80,1178.058657034261530581,37097,1785,43702442.00,10937,29.48,19.50,11.80
6-December-2019,1194.80,1194.80,1168.35,1172.25,1178.653294539934536139,63241,2346,74539213.00,36640,57.94,26.45,-22.55
5-December-2019,1182.00,1204.60,1175.60,1183.60,1189.147623432740667280,127053,4811,151084773.00,30899,24.32,29.00,1.60
