Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,781.00,781.00,761.00,762.60,766.619359779445550620,97935,2966,75078867.00,20740,21.18,20.00,-18.40
30-December-2019,785.00,785.00,779.85,782.25,782.496931469485168769,17598,749,13770381.00,7722,43.88,5.15,-2.75
27-December-2019,771.60,781.35,769.30,780.55,777.774220079410096426,35260,1470,27424319.00,15061,42.71,12.05,8.95
26-December-2019,772.60,778.85,768.80,770.80,774.362969660438014868,29862,980,23124027.00,4688,15.70,10.05,-1.80
24-December-2019,775.20,776.90,768.00,772.60,771.509732451525627536,26612,863,20531417.00,5616,21.10,8.90,-2.60
23-December-2019,771.30,787.00,771.30,775.85,779.427551353113791979,30670,1086,23905043.00,12891,42.03,15.70,4.55
20-December-2019,785.00,786.45,778.30,783.90,782.582906317230588695,25565,1052,20006732.00,8801,34.43,8.15,-1.10
19-December-2019,788.55,788.55,778.20,782.85,780.360185447625217637,246970,1210,192725555.00,212534,86.06,10.35,-5.70
18-December-2019,780.00,793.90,779.95,786.75,787.267401849011235023,120605,3159,94948385.00,31966,26.50,13.95,6.75
17-December-2019,779.95,782.00,773.00,777.20,777.439887598722487682,80782,2898,62803149.00,24741,30.63,9.00,-2.75
16-December-2019,761.50,783.75,761.20,772.95,777.257631608948919929,184201,3581,143171633.00,40397,21.93,22.55,11.45
13-December-2019,758.00,763.50,748.50,761.40,756.181014962482795364,45046,1250,34062930.00,9342,20.74,15.00,3.40
12-December-2019,760.50,765.95,753.00,755.95,760.642239236352789102,30171,1336,22949337.00,11568,38.34,12.95,-4.55
11-December-2019,743.45,759.95,743.45,758.05,755.736997216613000054,36646,1176,27694738.00,12730,34.74,16.50,14.60
10-December-2019,748.00,748.00,737.60,745.25,741.969142826898139571,37787,1238,28036788.00,6230,16.49,10.40,-2.75
9-December-2019,758.65,758.65,746.90,750.55,751.814283848213702566,30622,1164,23022057.00,10547,34.44,11.75,-8.10
6-December-2019,752.50,771.20,752.50,758.00,763.632547405189620758,32064,1330,24485114.00,7719,24.07,18.70,5.50
5-December-2019,753.45,766.65,753.20,764.70,763.193096254767104534,30679,1106,23414001.00,9042,29.47,13.45,11.25
4-December-2019,747.00,761.10,746.25,758.65,753.834822242479489516,49365,1409,37213056.00,19944,40.40,14.85,11.65
3-December-2019,748.90,755.95,743.25,746.25,750.257708049113233287,58640,1289,43995112.00,19065,32.51,12.70,-2.65
2-December-2019,755.00,758.60,732.50,748.00,734.339963527851458885,603200,3116,442953866.00,529652,87.81,26.10,-7.00
29-November-2019,765.00,772.00,758.80,761.50,763.989544739379789879,19703,654,15052886.00,6089,30.90,13.20,-3.50
28-November-2019,769.00,772.00,763.20,765.90,767.523000802353570473,22434,867,17218611.00,7534,33.58,8.80,-3.10
27-November-2019,768.75,769.00,757.75,767.25,764.532162264627827625,31652,1250,24198972.00,13488,42.61,11.25,-1.50
26-November-2019,762.80,767.60,756.50,763.50,763.513824098304699055,35156,2519,26842092.00,15136,43.05,11.10,0.70
25-November-2019,753.60,765.50,752.20,763.65,761.549205709826036605,39721,1874,30249496.00,14653,36.89,13.30,10.05
22-November-2019,769.45,769.45,742.85,754.40,750.132909628142944751,53811,1967,40365402.00,10815,20.10,26.60,-15.05
21-November-2019,772.20,780.10,762.65,764.70,770.422351984625619040,40587,1293,31269132.00,10555,26.01,17.45,-7.50
20-November-2019,766.00,772.95,756.60,771.55,763.363088769234569120,323896,1476,247250251.00,301731,93.16,16.35,5.55
19-November-2019,754.00,765.30,749.95,763.25,763.104593735343844652,944569,1481,720804943.00,914711,96.84,15.35,9.25
18-November-2019,753.00,757.70,747.65,751.45,752.152280161631710602,25985,1044,19544677.00,5849,22.51,10.05,-1.55
15-November-2019,760.00,763.00,749.70,752.05,754.311840120663650075,21216,574,16003480.00,6213,29.28,13.30,-7.95
14-November-2019,756.65,763.40,748.40,759.00,756.071849841903437759,44593,1492,33715512.00,19756,44.30,15.00,2.35
13-November-2019,768.70,773.85,746.65,756.65,750.765379760932511693,134690,961,101120589.00,113477,84.25,27.20,-12.05
11-November-2019,776.85,776.85,768.25,770.15,770.994025774515661005,23434,692,18067474.00,7875,33.60,8.60,-6.70
8-November-2019,773.00,777.60,770.00,771.10,772.625776625409715767,40882,1534,31586487.00,15990,39.11,7.60,-1.90
7-November-2019,773.00,773.80,765.45,770.10,770.419149275131432212,50216,1358,38687368.00,18549,36.94,8.35,-2.90
6-November-2019,778.00,783.50,768.10,771.85,776.340286183711479304,309801,4896,240510997.00,33203,10.72,15.40,-6.15
5-November-2019,770.35,775.55,765.00,773.15,771.352802439850898000,73775,1974,56906553.00,16109,21.84,10.55,2.80
4-November-2019,760.60,777.35,753.70,769.40,766.957927766838981694,143729,3939,110234096.00,43490,30.26,23.65,8.80
1-November-2019,745.00,763.40,741.65,760.60,753.882766583614754881,115189,4212,86839002.00,35953,31.21,21.75,15.60
31-October-2019,756.00,758.80,737.00,738.85,743.648748822951936369,99826,4022,74235480.00,42869,42.94,21.80,-17.15
