Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1302.00,1310.20,1291.30,1298.95,1300.120391618482628693,99791,4841,129740314.00,47596,47.70,18.90,-3.05
30-December-2019,1303.80,1307.00,1297.00,1302.00,1302.084627926292798474,65014,3741,84653730.00,20916,32.17,10.00,-1.80
27-December-2019,1283.35,1301.75,1280.45,1299.65,1294.886830742172967000,88699,5337,114855167.00,32108,36.20,21.30,16.30
26-December-2019,1301.50,1307.10,1277.00,1279.25,1287.380017476490913026,124739,6993,160586496.00,70584,56.59,30.10,-22.25
24-December-2019,1315.00,1319.15,1297.80,1301.65,1308.381574852163087457,89964,3619,117707240.00,36119,40.15,21.35,-13.35
23-December-2019,1312.00,1321.80,1306.30,1311.25,1314.053534725873524210,83684,3324,109965256.00,25995,31.06,15.50,-0.75
20-December-2019,1312.00,1328.00,1308.00,1312.25,1319.717733491707359992,113655,4842,149992519.00,40478,35.61,20.00,0.25
19-December-2019,1317.00,1320.55,1307.05,1312.40,1314.219675857030763819,73918,2967,97144490.00,18723,25.33,13.50,-4.60
18-December-2019,1324.95,1325.85,1315.00,1319.15,1318.997506134642056972,74984,2967,98903709.00,25764,34.36,10.85,-5.80
17-December-2019,1310.70,1324.90,1303.90,1317.70,1315.807096537379175333,163460,6199,215081828.00,38863,23.78,21.00,7.00
16-December-2019,1313.00,1317.90,1300.45,1303.40,1309.259944517402419787,128689,7916,168487353.00,46608,36.22,17.45,-9.60
13-December-2019,1289.00,1308.00,1285.65,1305.20,1298.360284624200310446,137866,6455,178999739.00,44543,32.31,22.35,16.20
12-December-2019,1271.50,1282.60,1268.55,1279.20,1275.767292282543101801,130911,4437,167011972.00,59643,45.56,14.05,7.70
11-December-2019,1285.90,1288.00,1255.60,1263.60,1265.696830005525280868,184606,8162,233655229.00,73459,39.79,32.40,-22.30
10-December-2019,1279.45,1284.80,1268.00,1279.10,1276.563244870377196215,97668,5671,124679379.00,32388,33.16,16.80,-0.35
9-December-2019,1296.45,1299.00,1272.55,1276.90,1285.493810088239167654,121488,6496,156172072.00,52673,43.36,26.45,-19.55
6-December-2019,1310.00,1310.00,1283.40,1290.30,1292.751089697624016049,124117,6992,160452387.00,52182,42.04,26.60,-19.70
5-December-2019,1290.70,1312.90,1285.95,1301.65,1298.953165768352247591,221526,12054,287751899.00,89004,40.18,26.95,10.95
4-December-2019,1311.00,1312.90,1282.55,1285.20,1288.574545409556683461,646626,15693,833225804.00,242054,37.43,30.35,-25.80
