Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1688.30,1690.10,1670.50,1684.50,1674.219525479494689571,179929,4317,301240645.00,143281,79.63,19.60,-3.80
30-December-2019,1724.00,1724.00,1685.00,1688.20,1694.529642504815145393,42574,2259,72142905.00,10203,23.97,39.00,-35.80
27-December-2019,1697.20,1700.60,1680.55,1685.05,1686.992144292196212104,88598,2231,149464130.00,60206,67.95,20.05,-12.15
26-December-2019,1713.95,1715.00,1690.10,1694.05,1701.749633610161211529,20470,1540,34834815.00,5285,25.82,24.90,-19.90
24-December-2019,1703.00,1716.90,1700.10,1711.70,1709.820926666163863539,39777,1917,68011547.00,8820,22.17,16.80,8.70
23-December-2019,1696.05,1711.00,1696.00,1705.00,1704.306744525547445255,34250,2209,58372506.00,11668,34.07,15.00,8.95
20-December-2019,1728.50,1728.50,1687.50,1693.05,1704.445501438002864361,85883,4768,146382893.00,25357,29.52,41.00,-35.45
19-December-2019,1725.00,1734.35,1716.15,1729.30,1725.529614429751228656,39474,2560,68113556.00,6162,15.61,18.20,4.30
18-December-2019,1714.25,1726.40,1706.75,1724.15,1715.556888417972199096,158556,2767,272011838.00,111181,70.12,19.65,9.90
17-December-2019,1715.00,1720.35,1709.00,1713.05,1713.846371689984024785,41314,1904,70805849.00,8904,21.55,11.35,-1.95
16-December-2019,1698.50,1729.50,1695.00,1704.35,1714.041433340145786497,73395,3966,125802071.00,14838,20.22,34.50,5.85
13-December-2019,1716.00,1716.55,1688.70,1691.95,1698.091025120380576666,120659,4506,204889965.00,60079,49.79,27.85,-24.05
12-December-2019,1689.00,1720.00,1682.80,1715.70,1701.085935258366591021,76674,3383,130429063.00,19820,25.85,37.20,26.70
11-December-2019,1660.00,1690.55,1659.05,1686.05,1675.533301257551712497,257723,3508,431823469.00,181762,70.53,31.50,26.05
10-December-2019,1669.00,1669.00,1651.40,1659.10,1659.255401079096424653,134001,2158,222341883.00,17862,13.33,17.60,-9.90
9-December-2019,1677.00,1679.40,1657.00,1658.85,1666.332893428199831688,52284,2862,87122549.00,20166,38.57,22.40,-18.15
6-December-2019,1650.00,1679.00,1644.35,1674.30,1669.327549386011745862,119872,4321,200105632.00,36677,30.60,34.65,24.30
5-December-2019,1655.05,1659.90,1640.50,1649.95,1650.879906064937716969,97940,6605,161687178.00,36708,37.48,19.40,-5.10
4-December-2019,1649.70,1659.50,1633.00,1651.75,1647.144375744076193402,130195,6123,214449962.00,87707,67.37,26.50,2.05
3-December-2019,1635.00,1650.00,1632.00,1646.45,1640.780288092694433888,139469,3907,228837986.00,31398,22.51,18.00,11.45
2-December-2019,1614.40,1636.10,1600.25,1633.00,1629.170831994177661024,376481,7083,613351864.00,313073,83.16,35.85,18.60
29-November-2019,1600.05,1621.50,1592.90,1614.40,1606.741545289741826592,31994,1597,51406089.00,8027,25.09,28.60,14.35
28-November-2019,1612.15,1626.00,1607.55,1615.40,1615.140429591810422629,38781,2063,62636761.00,9085,23.43,18.45,3.25
27-November-2019,1607.00,1624.00,1602.15,1618.55,1618.420103947804931991,45215,2068,73176865.00,9433,20.86,21.85,11.55
26-November-2019,1608.00,1610.45,1592.35,1603.95,1602.940801863415601149,40356,1798,64688279.00,7902,19.58,18.10,-4.05
25-November-2019,1568.50,1606.40,1568.50,1604.85,1593.775722222222222222,54000,2119,86063889.00,11159,20.66,37.90,36.35
22-November-2019,1595.00,1595.00,1565.25,1568.50,1572.982019449617214980,48330,3466,76022221.00,18059,37.37,29.75,-26.50
21-November-2019,1604.90,1605.00,1587.05,1595.35,1595.122087884420683855,186677,3094,297772606.00,26611,14.26,17.95,-9.55
20-November-2019,1623.30,1623.30,1595.55,1599.10,1609.774149757931788421,83241,3108,133999210.00,12873,15.46,27.75,-24.20
19-November-2019,1631.00,1631.00,1614.85,1623.30,1621.804007750838886525,63477,1297,102947253.00,9630,15.17,16.15,-7.70
18-November-2019,1626.00,1635.00,1617.40,1627.35,1628.617360618855364132,64894,2094,105687495.00,9528,14.68,17.60,1.35
15-November-2019,1614.90,1629.00,1602.95,1623.00,1618.007999157983370171,95010,3044,153726940.00,19964,21.01,26.05,8.10
14-November-2019,1606.00,1610.25,1584.85,1597.50,1593.255858292865756281,61366,2275,97771739.00,16849,27.46,25.40,-8.50
13-November-2019,1617.00,1627.45,1601.60,1605.45,1616.066240132416603004,62832,2649,101540674.00,18455,29.37,25.85,-11.55
11-November-2019,1597.00,1620.00,1592.85,1616.90,1612.869108039874027224,76842,2813,123936088.00,17319,22.54,27.15,19.90
8-November-2019,1581.00,1606.95,1573.00,1600.20,1596.456842175154372219,60244,2500,96176946.00,15174,25.19,33.95,19.20
7-November-2019,1577.00,1586.45,1559.75,1584.25,1576.426418811300192807,47716,1894,75220763.00,11763,24.65,26.70,7.25
6-November-2019,1560.00,1587.55,1541.60,1571.45,1564.203229715094521708,93259,2921,145876029.00,14505,15.55,45.95,11.45
5-November-2019,1570.05,1570.80,1550.40,1553.85,1557.808529819694868238,57680,2468,89854396.00,15717,27.25,20.40,-16.20
4-November-2019,1580.00,1596.00,1564.80,1569.80,1580.647710695365085864,39073,1759,61760648.00,18633,47.69,31.20,-10.20
1-November-2019,1573.00,1585.00,1564.50,1580.20,1576.805959175098911102,57122,2484,90070310.00,17356,30.38,20.50,7.20
31-October-2019,1579.00,1605.55,1566.00,1573.15,1587.576943222292059501,76368,3270,121240076.00,24627,32.25,39.55,-5.85
30-October-2019,1576.15,1588.00,1576.15,1578.80,1581.538708844718747799,42613,1702,67394109.00,13286,31.18,11.85,2.65
29-October-2019,1598.80,1598.80,1568.80,1575.05,1581.300055049124345708,107177,3018,169478996.00,18655,17.41,30.00,-23.75
27-October-2019,1591.50,1600.60,1590.00,1593.25,1594.682122282103698197,10762,810,17161969.00,5571,51.77,10.60,1.75
25-October-2019,1618.00,1618.00,1569.00,1587.90,1587.766896261981890347,90449,3803,143611928.00,28560,31.58,49.00,-30.10
24-October-2019,1616.00,1629.50,1598.00,1613.30,1617.516692337312283403,51940,2240,84013817.00,12929,24.89,31.50,-2.70
23-October-2019,1634.90,1638.20,1603.60,1612.65,1619.289738526552766887,104829,5481,169748524.00,18361,17.52,34.60,-22.25
22-October-2019,1620.00,1643.35,1592.40,1628.90,1612.583777725628555475,247154,11563,398556531.00,38485,15.57,50.95,8.90
18-October-2019,1603.95,1618.95,1591.05,1615.45,1606.883803795708978797,118713,3566,190757997.00,64194,54.07,27.90,11.50
17-October-2019,1613.90,1613.90,1587.00,1603.95,1600.140147356255417509,69220,2573,110761701.00,8739,12.62,26.90,-9.95
16-October-2019,1617.00,1623.80,1592.55,1606.05,1613.831525929402299621,119324,4149,192568833.00,65937,55.26,31.25,-10.95
15-October-2019,1586.00,1629.65,1577.80,1614.80,1612.643899044847871465,158090,3384,254942874.00,24772,15.67,51.85,28.80
14-October-2019,1592.20,1609.00,1576.10,1583.75,1589.901144471406323566,110444,4210,175595042.00,48906,44.28,32.90,-8.45
11-October-2019,1592.00,1624.90,1575.75,1588.10,1594.056926010173509124,135843,4237,216541475.00,53569,39.43,49.15,-3.90
10-October-2019,1600.00,1606.55,1566.65,1585.85,1585.917581486433050257,53107,2627,84223325.00,8984,16.92,39.90,-14.15
9-October-2019,1555.00,1626.80,1549.55,1608.30,1599.323388020527991485,110873,4228,177321782.00,18711,16.88,77.25,53.30
7-October-2019,1564.00,1593.30,1550.20,1556.15,1570.646588406354908375,93534,5369,146908858.00,30322,32.42,43.10,-7.85
4-October-2019,1620.90,1634.20,1557.90,1562.35,1609.754978272390037095,471750,5912,759401911.00,38426,8.15,76.30,-58.55
3-October-2019,1648.00,1648.00,1607.45,1616.00,1625.792393337489979513,112270,4444,182527712.00,60544,53.93,40.55,-32.00
1-October-2019,1639.00,1656.20,1622.80,1647.75,1643.979250298361722903,73736,3200,121220454.00,8701,11.80,33.40,8.75
30-September-2019,1640.00,1661.55,1614.40,1644.35,1635.966595354278342668,124803,5378,204173539.00,30839,24.71,47.15,4.35
27-September-2019,1623.90,1650.00,1606.10,1644.20,1630.800894751406696799,86728,3478,141436100.00,12037,13.88,43.90,20.30
26-September-2019,1601.00,1682.40,1601.00,1629.35,1633.306485578975971429,206088,6111,336604867.00,95756,46.46,81.40,28.35
25-September-2019,1615.00,1617.00,1580.25,1601.25,1603.508843749038537140,585046,4655,938126435.00,524214,89.60,36.75,-13.75
24-September-2019,1637.00,1640.80,1590.00,1617.90,1610.494529933538050962,233818,7168,376562610.00,31236,13.36,50.80,-19.10
23-September-2019,1578.00,1660.00,1530.00,1643.00,1609.062998222936871241,337073,12223,542371692.00,76521,22.70,130.00,65.00
20-September-2019,1450.25,1598.00,1450.25,1538.50,1523.059542270258476260,384987,12880,586358124.00,118700,30.83,147.75,88.25
19-September-2019,1456.00,1462.65,1445.40,1453.40,1454.521558822648740904,66794,2293,97153313.00,29412,44.03,17.25,-2.60
18-September-2019,1446.00,1478.35,1446.00,1462.90,1468.333630306067524175,53877,2072,79109411.00,13763,25.55,32.35,16.90
17-September-2019,1472.00,1480.45,1444.20,1449.10,1462.617056698602167425,31835,1484,46562414.00,7000,21.99,36.25,-22.90
16-September-2019,1478.70,1491.75,1465.10,1472.60,1481.186879234009042082,769513,4003,1139792559.00,708225,92.04,26.65,-6.10
13-September-2019,1464.90,1485.95,1448.45,1483.55,1473.692046739540143234,50407,2183,74284395.00,9784,19.41,37.50,18.65
12-September-2019,1467.10,1483.60,1452.20,1457.50,1470.198903767741360486,44881,1997,65983997.00,12224,27.24,31.40,-9.60
11-September-2019,1471.00,1478.50,1459.55,1474.65,1471.504712269272529858,46050,2180,67762792.00,8319,18.07,18.95,3.65
9-September-2019,1435.10,1475.00,1424.00,1471.10,1458.597457795431976166,50350,2301,73440382.00,12414,24.66,51.00,36.00
6-September-2019,1413.25,1444.35,1411.25,1441.60,1435.254854758465735836,43617,1796,62601511.00,8077,18.52,33.10,28.35
5-September-2019,1429.00,1441.00,1405.65,1409.45,1414.906716799672600777,117288,3508,165951579.00,36829,31.40,35.35,-19.55
4-September-2019,1414.00,1437.80,1399.00,1426.95,1423.515513971713848333,87534,2906,124606007.00,22933,26.20,38.80,12.95
3-September-2019,1431.50,1431.50,1405.10,1414.35,1414.651365626137102909,90691,3607,128296147.00,24081,26.55,26.40,-17.15
30-August-2019,1448.70,1458.10,1422.00,1431.70,1426.624881823352882333,1019660,9327,1454672327.00,705536,69.19,36.10,-17.00
29-August-2019,1474.60,1479.00,1447.00,1450.30,1460.867591259976449038,53501,2172,78157877.00,13280,24.82,32.00,-24.30
28-August-2019,1503.00,1503.05,1473.60,1483.60,1484.593016571519188074,100896,4167,149789497.00,49911,49.47,29.45,-19.40
27-August-2019,1514.75,1521.90,1495.00,1502.25,1510.911826153418359229,672501,5809,1016089714.00,605996,90.11,26.90,-12.50
26-August-2019,1498.20,1520.00,1455.35,1513.30,1495.705772623298135440,118473,3649,177200750.00,28269,23.86,64.65,15.10
23-August-2019,1477.50,1488.45,1446.45,1472.50,1466.169405302406549201,170036,5870,249301581.00,56831,33.42,42.00,-5.00
22-August-2019,1506.00,1509.15,1472.00,1477.30,1485.775443838987519775,182048,3033,270482448.00,105152,57.76,37.15,-28.70
21-August-2019,1497.05,1517.85,1497.05,1505.80,1507.972853665580263212,72717,3038,109655262.00,23115,31.79,20.80,8.75
20-August-2019,1497.80,1510.50,1483.20,1506.10,1497.454626493136031378,67308,4048,100790676.00,28914,42.96,27.30,8.30
19-August-2019,1500.60,1519.40,1491.95,1496.25,1508.186146397729514790,65889,3802,99372877.00,20819,31.60,27.45,-4.35
16-August-2019,1486.55,1506.45,1478.50,1499.50,1492.994496645997387808,78861,2868,117739039.00,25659,32.54,27.95,12.95
14-August-2019,1513.00,1513.30,1480.55,1491.90,1493.238561425424898911,152095,3900,227114119.00,91611,60.23,32.75,-21.10
13-August-2019,1534.90,1534.90,1506.00,1511.80,1519.456006232236414067,116812,3336,177490695.00,28958,24.79,28.90,-23.10
