Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,4050.45,4071.85,4029.60,4046.85,4040.890605072977185772,14114,1194,57033130.00,1711,12.12,42.25,-3.60
30-December-2019,4072.00,4090.00,4045.00,4052.35,4057.215500197706603400,5058,749,20521396.00,1242,24.56,45.00,-19.65
27-December-2019,4062.00,4093.00,4044.30,4056.75,4059.325518146862984150,10663,887,43284588.00,6151,57.69,48.70,-5.25
26-December-2019,4097.00,4123.05,4050.00,4061.10,4087.704517704517704517,7371,765,30130470.00,1502,20.38,73.05,-35.90
24-December-2019,4118.45,4123.90,4073.95,4097.60,4096.486657543619568936,5846,962,23948061.00,1473,25.20,49.95,-20.85
23-December-2019,4123.50,4167.75,4069.70,4083.60,4106.180789060748711051,8922,1311,36635345.00,2312,25.91,98.05,-39.90
20-December-2019,4040.00,4146.90,4030.00,4114.25,4093.397327249022164276,15340,2004,62792715.00,5652,36.84,116.90,74.25
19-December-2019,4067.60,4081.95,4028.00,4038.80,4055.230413371138636024,6701,775,27174099.00,1412,21.07,53.95,-28.80
18-December-2019,4111.05,4115.00,4051.15,4067.60,4089.093825840154662498,24311,1003,99409960.00,1817,7.47,63.85,-43.45
17-December-2019,4120.00,4145.00,4057.50,4119.65,4113.818162969106365332,9646,1504,39681890.00,2320,24.05,87.50,-0.35
16-December-2019,4080.00,4084.40,4035.60,4057.00,4051.173542034839686947,19805,904,80233492.00,1093,5.52,48.80,-23.00
13-December-2019,4017.35,4090.40,4000.00,4083.90,4055.211938958707360861,22280,1104,90350122.00,3192,14.33,90.40,66.55
12-December-2019,4019.90,4028.00,3984.30,3991.00,4000.215706465774212779,18451,880,73807980.00,2035,11.03,43.70,-28.90
11-December-2019,4060.00,4065.00,3970.00,4003.45,4027.825115107630553697,25411,2098,102351064.00,6980,27.47,95.00,-56.55
10-December-2019,4153.30,4160.45,4033.50,4039.40,4085.616231474947071277,7085,1168,28946591.00,2128,30.04,126.95,-113.90
9-December-2019,4168.30,4190.00,4120.70,4150.35,4151.285660348863550555,52972,1141,219901904.00,33352,62.96,69.30,-17.95
6-December-2019,4174.30,4194.70,4125.50,4156.35,4163.961699581089168162,5013,719,20873940.00,1227,24.48,69.20,-17.95
5-December-2019,4279.00,4279.00,4149.00,4160.30,4196.203557559814606037,7983,1085,33498293.00,1577,19.75,130.00,-118.70
4-December-2019,4211.30,4230.30,4166.10,4195.90,4208.390057842233213177,23858,1179,100403770.00,2065,8.66,64.20,-15.40
3-December-2019,4280.00,4290.35,4174.90,4211.30,4248.185926527492475994,20933,1105,88927276.00,2066,9.87,115.45,-68.70
2-December-2019,4272.00,4320.00,4256.85,4277.05,4299.941416523079713430,22054,1451,94830908.00,1821,8.26,63.15,5.05
29-November-2019,4300.00,4338.10,4242.80,4255.75,4296.148980130121329347,22748,1912,97728797.00,5278,23.20,95.30,-44.25
28-November-2019,4225.00,4300.00,4209.00,4292.20,4262.643831702264447460,13999,1843,59672751.00,3694,26.39,91.00,67.20
27-November-2019,4125.20,4248.75,4125.20,4234.45,4222.026542095763881516,28257,2217,119301804.00,5517,19.52,123.55,109.25
26-November-2019,4118.45,4150.50,4090.95,4113.90,4128.652334538594560603,25444,2248,105049430.00,18762,73.74,59.55,-4.55
