Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1401.00,1406.50,1385.10,1387.05,1393.222011937691075848,6869,542,9570042.00,2444,35.58,21.40,-13.95
30-December-2019,1399.00,1409.00,1396.00,1406.75,1403.193065846497972878,14306,651,20074080.00,4907,34.30,13.00,7.75
27-December-2019,1392.15,1405.40,1391.00,1398.05,1397.854144158049081648,12958,819,18113394.00,4834,37.31,14.40,5.90
26-December-2019,1379.40,1395.60,1379.30,1389.25,1390.496148555708390646,14540,841,20217814.00,2950,20.29,16.30,9.85
24-December-2019,1375.30,1386.70,1365.15,1376.50,1377.057161138957022501,9377,533,12912665.00,3416,36.43,21.55,1.20
23-December-2019,1378.00,1385.85,1363.00,1377.35,1378.089134018004310891,7887,801,10868989.00,2344,29.72,22.85,-0.65
20-December-2019,1387.00,1387.00,1373.10,1377.50,1375.771199886334035852,42229,841,58097442.00,3766,8.92,13.90,-9.50
19-December-2019,1372.00,1382.10,1367.75,1377.25,1374.249674995102665930,56153,1367,77168242.00,38187,68.01,14.35,5.25
18-December-2019,1331.20,1373.00,1330.10,1365.10,1357.777023704140847841,40668,1674,55218076.00,9773,24.03,42.90,33.90
17-December-2019,1319.75,1331.15,1309.00,1327.60,1318.535264298184724763,47541,1025,62684485.00,6209,13.06,22.15,7.85
16-December-2019,1330.00,1335.00,1313.55,1315.70,1320.387020272854774958,39215,896,51778977.00,2643,6.74,21.45,-14.30
13-December-2019,1335.00,1337.00,1318.45,1324.00,1326.435386708122813835,10292,464,13651673.00,4348,42.25,18.55,-11.00
12-December-2019,1331.00,1340.00,1325.00,1330.40,1333.957826796226682743,70495,1031,94037357.00,33767,47.90,15.00,-0.60
11-December-2019,1323.00,1334.95,1321.05,1330.80,1329.067114444763871102,38263,649,50854095.00,2343,6.12,13.90,7.80
10-December-2019,1327.00,1331.00,1317.05,1318.95,1319.886870452612680714,42332,700,55873451.00,3864,9.13,13.95,-8.05
9-December-2019,1328.90,1335.00,1314.75,1327.80,1327.936181514645621490,13178,792,17499543.00,3911,29.68,20.25,-1.10
6-December-2019,1310.10,1337.90,1308.55,1316.40,1325.670569713667224244,30489,1403,40418370.00,3947,12.95,29.35,6.30
5-December-2019,1317.00,1324.85,1307.10,1310.50,1314.938283707993251561,43862,2599,57675823.00,29188,66.54,17.75,-6.50
4-December-2019,1334.70,1334.70,1313.50,1319.60,1318.738375799938602498,42347,609,55844614.00,2029,4.79,21.20,-15.10
3-December-2019,1339.95,1339.95,1315.05,1321.40,1323.724031901604689151,20814,1416,27551992.00,4186,20.11,24.90,-18.55
