Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1205.00,1205.00,1140.00,1176.35,1164.770240213523131672,4496,1437,5236807.00,2219,49.35,65.00,-28.65
30-December-2019,1156.30,1171.95,1152.50,1168.55,1160.475958188153310104,1435,251,1665283.00,968,67.46,19.45,12.25
27-December-2019,1162.00,1169.95,1138.50,1159.80,1151.588871715610510046,1941,486,2235234.00,579,29.83,31.45,-2.20
26-December-2019,1142.15,1162.45,1135.00,1150.50,1147.100702576112412177,854,344,979624.00,351,41.10,27.45,8.35
24-December-2019,1129.00,1155.00,1122.70,1139.60,1132.095924453280318091,2012,397,2277777.00,752,37.38,32.30,10.60
23-December-2019,1127.30,1145.90,1127.30,1136.70,1134.524557956777996070,1018,450,1154946.00,635,62.38,18.60,9.40
20-December-2019,1150.15,1155.50,1127.00,1132.95,1141.894909688013136288,1218,349,1390828.00,406,33.33,28.50,-17.20
19-December-2019,1133.50,1146.50,1127.00,1141.40,1137.055258467023172905,561,198,637888.00,412,73.44,19.50,7.90
18-December-2019,1149.00,1150.05,1125.00,1126.80,1133.050283860502838605,2466,573,2794102.00,1530,62.04,25.05,-22.20
17-December-2019,1140.00,1153.35,1131.30,1144.95,1141.719924812030075187,1064,260,1214790.00,374,35.15,22.05,4.95
16-December-2019,1157.65,1161.35,1132.45,1137.85,1143.078244274809160305,1572,285,1796919.00,944,60.05,28.90,-19.80
13-December-2019,1175.00,1175.40,1154.00,1167.90,1165.460743801652892561,968,163,1128166.00,526,54.34,21.40,-7.10
12-December-2019,1184.15,1184.15,1151.70,1165.55,1166.781477627471383975,1922,338,2242554.00,903,46.98,32.45,-18.60
11-December-2019,1163.70,1187.50,1163.10,1179.35,1181.403400868306801736,2764,586,3265399.00,1317,47.65,24.40,15.65
10-December-2019,1150.10,1164.35,1138.35,1153.25,1153.022033898305084745,1180,183,1360566.00,727,61.61,26.00,3.15
9-December-2019,1145.00,1165.40,1136.05,1156.85,1153.315994798439531859,1538,503,1773800.00,855,55.59,29.35,11.85
6-December-2019,1193.45,1193.45,1147.05,1151.60,1166.722967934377330350,2682,328,3129151.00,1749,65.21,46.40,-41.85
5-December-2019,1174.95,1201.20,1146.25,1194.85,1186.077660008153281695,4906,1397,5818897.00,2208,45.01,54.95,19.90
4-December-2019,1130.00,1175.90,1129.00,1169.65,1159.652447089947089947,6048,934,7013578.00,2934,48.51,46.90,39.65
3-December-2019,1110.00,1135.00,1110.00,1132.45,1126.719850808122668876,2413,608,2718775.00,1662,68.88,25.00,22.45
2-December-2019,1117.05,1134.80,1103.30,1108.40,1126.435357787131689717,1663,482,1873262.00,985,59.23,31.50,-8.65
29-November-2019,1100.00,1146.90,1100.00,1132.20,1128.700567437800087298,2291,683,2585853.00,618,26.98,46.90,32.20
28-November-2019,1095.00,1164.00,1059.00,1136.35,1118.566959921798631476,6138,1299,6865764.00,3730,60.77,105.00,41.35
27-November-2019,1079.10,1095.00,1064.90,1090.85,1084.690173410404624277,865,187,938257.00,511,59.08,30.10,11.75
26-November-2019,1091.85,1105.25,1070.00,1084.70,1089.079906904577191621,1289,380,1403824.00,663,51.44,35.25,-7.15
25-November-2019,1089.85,1100.50,1085.50,1098.35,1095.245238095238095238,840,269,920006.00,488,58.10,15.00,8.50
22-November-2019,1064.90,1087.05,1046.00,1083.10,1071.992993630573248407,1570,416,1683029.00,1019,64.90,41.05,18.20
21-November-2019,1082.60,1083.15,1053.80,1063.60,1068.892652881654201495,2273,478,2429593.00,1426,62.74,29.35,-19.00
20-November-2019,1079.80,1085.00,1072.10,1083.35,1079.375545851528384279,458,112,494354.00,252,55.02,12.90,3.55
19-November-2019,1074.00,1089.40,1053.50,1070.25,1069.552923387096774193,1984,356,2121993.00,927,46.72,35.90,-3.75
18-November-2019,1087.30,1091.15,1069.00,1071.75,1078.603396603396603396,1001,238,1079682.00,563,56.24,22.15,-15.55
15-November-2019,1083.15,1096.45,1083.15,1088.25,1089.941015089163237311,729,182,794567.00,381,52.26,13.30,5.10
14-November-2019,1109.00,1109.00,1066.75,1086.35,1081.682079081632653061,3136,567,3392155.00,833,26.56,42.25,-22.65
13-November-2019,1104.00,1111.75,1075.00,1083.25,1087.718309859154929577,1846,406,2007928.00,920,49.84,36.75,-20.75
11-November-2019,1081.50,1124.10,1081.50,1103.85,1111.895170348184200673,2671,415,2969872.00,1457,54.55,42.60,22.35
8-November-2019,1090.00,1116.50,1090.00,1102.85,1102.176971252793945161,225935,1424,249020354.00,221029,97.83,26.50,12.85
7-November-2019,1062.00,1107.45,1054.05,1090.50,1084.045502967584842489,6571,1090,7123263.00,1851,28.17,53.40,28.50
6-November-2019,1060.50,1071.60,1045.00,1050.00,1061.044492440604751619,2315,496,2456318.00,1619,69.94,26.60,-10.50
5-November-2019,1090.00,1098.00,1055.00,1059.85,1073.788855028297779712,4594,638,4932986.00,2444,53.20,43.00,-30.15
4-November-2019,1110.05,1130.00,1080.55,1088.95,1099.051080190406444525,5462,1093,6003017.00,3467,63.47,49.45,-21.10
1-November-2019,1150.00,1150.00,1112.45,1116.65,1124.009057971014492753,2208,291,2481812.00,1036,46.92,37.55,-33.35
31-October-2019,1163.00,1163.00,1112.40,1118.75,1124.736902927580893682,2596,450,2919817.00,1419,54.66,50.60,-44.25
30-October-2019,1131.05,1140.00,1108.10,1113.70,1121.904470079307858687,2774,451,3112163.00,1746,62.94,31.90,-17.35
29-October-2019,1138.00,1146.60,1122.00,1124.15,1128.220080552359033371,3476,366,3921693.00,2461,70.80,24.60,-13.85
27-October-2019,1140.00,1143.50,1134.75,1139.00,1138.283443708609271523,755,72,859404.00,516,68.34,8.75,-1.00
25-October-2019,1175.00,1179.85,1120.05,1124.35,1143.104717655468191565,8394,1012,9595221.00,5655,67.37,59.80,-50.65
24-October-2019,1140.00,1145.65,1130.00,1133.00,1137.619867149758454106,3312,387,3767797.00,1530,46.20,15.65,-7.00
23-October-2019,1170.50,1170.50,1131.70,1134.45,1142.577524893314366998,2109,407,2409696.00,1143,54.20,38.80,-36.05
22-October-2019,1166.50,1205.00,1136.70,1141.15,1163.498354978354978354,23100,718,26876812.00,20925,90.58,68.30,-25.35
18-October-2019,1197.00,1197.00,1158.10,1164.35,1163.151848591549295774,2272,249,2642681.00,1286,56.60,38.90,-32.65
17-October-2019,1169.00,1176.00,1165.30,1169.50,1171.798076923076923076,520,82,609335.00,274,52.69,10.70,0.50
16-October-2019,1177.15,1177.15,1142.45,1160.35,1160.198275862068965517,1044,117,1211247.00,756,72.41,34.70,-16.80
15-October-2019,1168.10,1180.05,1151.70,1170.95,1166.623188405797101449,1449,276,1690437.00,812,56.04,28.35,2.85
14-October-2019,1184.35,1189.00,1160.05,1164.70,1171.846400000000000000,625,146,732404.00,291,46.56,28.95,-19.65
11-October-2019,1164.00,1185.00,1160.00,1174.65,1175.286558345642540620,677,191,795669.00,244,36.04,25.00,10.65
10-October-2019,1190.50,1193.45,1152.75,1164.60,1165.739130434782608695,598,124,697112.00,233,38.96,40.70,-25.90
9-October-2019,1198.95,1198.95,1178.90,1191.10,1188.401136363636363636,880,109,1045793.00,271,30.80,20.05,-7.85
7-October-2019,1173.45,1197.00,1162.85,1190.95,1190.561538461538461538,1690,270,2012049.00,594,35.15,34.15,17.50
4-October-2019,1160.00,1177.45,1150.25,1173.50,1170.218628719275549805,1546,273,1809158.00,990,64.04,27.20,13.50
3-October-2019,1141.10,1184.00,1131.80,1154.55,1164.288505747126436781,3480,461,4051724.00,1844,52.99,52.20,13.45
1-October-2019,1159.75,1159.75,1112.20,1145.50,1134.228269381362568519,2554,685,2896819.00,1209,47.34,47.55,-14.25
30-September-2019,1165.00,1197.55,1132.00,1147.85,1163.652617079889807162,3630,441,4224059.00,1034,28.48,65.55,-17.15
27-September-2019,1160.35,1173.55,1136.00,1162.15,1155.299088838268792710,8780,692,10143526.00,5240,59.68,37.55,1.80
26-September-2019,1186.70,1197.80,1152.00,1157.00,1169.843387815750371471,3365,412,3936523.00,1712,50.88,45.80,-29.70
25-September-2019,1171.50,1202.55,1149.90,1181.50,1181.148359008707300736,2986,485,3526909.00,719,24.08,52.65,10.00
24-September-2019,1219.65,1236.80,1165.55,1173.95,1179.538612180951759253,15319,1824,18069352.00,12878,84.07,71.25,-45.70
23-September-2019,1229.00,1256.30,1160.00,1229.50,1208.016984402079722703,14425,1989,17425645.00,3374,23.39,96.30,0.50
20-September-2019,1159.45,1265.20,960.00,1213.70,973.958389996277416279,5823912,43345,5672247955.00,3628459,62.30,305.20,54.25
19-September-2019,1163.40,1163.40,1143.65,1153.15,1150.907929226736566186,3052,256,3512571.00,2275,74.54,19.75,-10.25
18-September-2019,1125.00,1168.40,1125.00,1162.65,1154.097236796082546344,2859,470,3299564.00,1355,47.39,43.40,37.65
17-September-2019,1147.45,1160.00,1105.55,1129.00,1124.407182835820895522,2144,378,2410729.00,562,26.21,54.45,-18.45
16-September-2019,1230.00,1255.00,1102.20,1120.25,1163.409108016560030109,18599,2343,21638246.00,3644,19.59,152.80,-109.75
13-September-2019,1332.00,1364.40,1323.60,1347.10,1345.950340798442064264,1027,271,1382291.00,306,29.80,40.80,15.10
12-September-2019,1299.00,1367.75,1299.00,1338.15,1344.162440911044262999,2327,694,3127866.00,1360,58.44,68.75,39.15
11-September-2019,1300.00,1300.25,1285.00,1289.95,1285.204675167480604191,118969,171,152899515.00,118656,99.74,15.25,-10.05
9-September-2019,1303.00,1322.00,1286.10,1292.50,1299.900892913685010448,15791,507,20526735.00,15276,96.74,35.90,-10.50
6-September-2019,1310.15,1319.00,1294.65,1304.75,1314.266474635278514588,96512,170,126842486.00,96318,99.80,24.35,-5.40
5-September-2019,1304.05,1320.05,1303.55,1314.90,1314.659393939393939393,825,173,1084594.00,689,83.52,16.50,10.85
4-September-2019,1301.70,1314.90,1280.95,1308.20,1297.268170426065162907,399,134,517610.00,141,35.34,33.95,6.50
3-September-2019,1307.10,1328.65,1287.95,1301.05,1312.974920341247815808,19458,192,25547866.00,18863,96.94,40.70,-6.05
30-August-2019,1309.00,1324.00,1287.00,1320.65,1310.328817733990147783,812,185,1063987.00,459,56.53,37.00,11.65
29-August-2019,1313.70,1315.00,1275.85,1287.65,1299.618724559023066485,737,189,957819.00,240,32.56,39.15,-26.05
28-August-2019,1289.60,1309.00,1289.60,1303.40,1298.302114803625377643,993,379,1289214.00,392,39.48,19.40,13.80
27-August-2019,1262.00,1301.10,1262.00,1285.25,1265.496394577444476492,13868,431,17549904.00,12892,92.96,39.10,23.25
26-August-2019,1263.85,1263.85,1229.25,1243.30,1247.359659781287970838,823,212,1026577.00,423,51.40,34.60,-20.55
23-August-2019,1239.00,1247.40,1230.35,1236.65,1237.275449101796407185,835,192,1033125.00,356,42.63,17.05,-2.35
22-August-2019,1244.40,1250.65,1233.45,1239.85,1241.591006423982869379,467,95,579823.00,126,26.98,17.20,-4.55
21-August-2019,1248.30,1262.00,1229.30,1246.90,1243.548396094839609483,3585,284,4458121.00,3078,85.86,32.70,-1.40
20-August-2019,1233.00,1268.00,1212.00,1249.80,1244.618504435994930291,1578,380,1964008.00,607,38.47,56.00,16.80
19-August-2019,1210.00,1230.00,1207.10,1223.40,1214.845272206303724928,349,84,423981.00,143,40.97,22.90,13.40
16-August-2019,1210.00,1217.65,1191.15,1209.50,1209.308962264150943396,848,214,1025494.00,362,42.69,26.50,-0.50
14-August-2019,1207.35,1211.65,1200.00,1204.40,1204.932584269662921348,979,274,1179629.00,784,80.08,11.65,-2.95
13-August-2019,1224.00,1224.00,1201.00,1204.05,1214.150496562261268143,1309,451,1589323.00,956,73.03,23.00,-19.95
9-August-2019,1222.15,1227.30,1212.00,1223.40,1219.803402646502835538,529,192,645276.00,325,61.44,15.30,1.25
8-August-2019,1215.00,1233.95,1196.00,1219.65,1207.802325581395348837,602,163,727097.00,316,52.49,37.95,4.65
7-August-2019,1226.20,1226.20,1201.10,1209.35,1210.551724137931034482,667,245,807438.00,357,53.52,25.10,-16.85
6-August-2019,1206.00,1236.40,1203.00,1229.05,1205.682021395497365479,12526,480,15102373.00,11976,95.61,33.40,23.05
5-August-2019,1231.60,1234.95,1200.00,1213.90,1216.082446808510638297,1128,276,1371741.00,711,63.03,34.95,-17.70
2-August-2019,1226.00,1235.05,1210.45,1219.20,1220.347398030942334739,2844,412,3470668.00,1935,68.04,24.60,-6.80
1-August-2019,1242.40,1249.05,1218.00,1233.50,1230.114854517611026033,653,237,803265.00,350,53.60,31.05,-8.90
31-July-2019,1222.85,1249.15,1217.05,1246.05,1229.824538258575197889,1516,221,1864414.00,1120,73.88,32.10,23.20
30-July-2019,1260.00,1271.00,1240.00,1243.10,1247.513830678960603520,1193,226,1488284.00,865,72.51,31.00,-16.90
29-July-2019,1214.00,1269.40,1214.00,1245.15,1252.896515311510031678,2841,545,3559479.00,1054,37.10,55.40,31.15
26-July-2019,1202.00,1221.30,1188.35,1214.70,1206.471279373368146214,2298,334,2772471.00,583,25.37,32.95,12.70
25-July-2019,1183.35,1239.00,1183.35,1209.80,1208.413953488372093023,215,67,259809.00,107,49.77,55.65,26.45
24-July-2019,1259.00,1259.00,1181.95,1189.25,1208.024514811031664964,979,185,1182656.00,454,46.37,77.05,-69.75
23-July-2019,1230.00,1237.25,1214.60,1229.90,1226.912350597609561752,502,120,615910.00,263,52.39,22.65,-0.10
22-July-2019,1260.00,1260.00,1227.50,1237.05,1240.031055900621118012,1127,190,1397515.00,678,60.16,32.50,-22.95
19-July-2019,1297.00,1297.00,1265.00,1277.75,1276.677093844601412714,991,201,1265187.00,644,64.98,32.00,-19.25
18-July-2019,1343.00,1343.00,1292.65,1297.40,1307.132855567805953693,1814,156,2371139.00,875,48.24,50.35,-45.60
17-July-2019,1315.60,1317.00,1290.00,1292.65,1303.584553928095872170,751,78,978992.00,583,77.63,27.00,-22.95
16-July-2019,1285.35,1307.40,1285.35,1306.10,1301.605405405405405405,555,113,722391.00,342,61.62,22.05,20.75
15-July-2019,1279.00,1287.00,1260.00,1281.30,1276.062091503267973856,612,136,780950.00,402,65.69,27.00,2.30
12-July-2019,1303.95,1305.00,1272.00,1278.00,1285.330163043478260869,736,151,946003.00,503,68.34,33.00,-25.95
11-July-2019,1310.00,1318.50,1301.10,1314.00,1313.784615384615384615,390,121,512376.00,229,58.72,17.40,4.00
10-July-2019,1295.00,1333.75,1295.00,1320.25,1321.817773788150807899,1114,212,1472505.00,741,66.52,38.75,25.25
9-July-2019,1287.05,1315.95,1277.50,1294.05,1299.920716112531969309,1955,433,2541345.00,1269,64.91,38.45,7.00
8-July-2019,1313.20,1313.20,1281.70,1293.45,1298.100110011001100110,909,144,1179973.00,407,44.77,31.50,-19.75
5-July-2019,1335.35,1361.00,1305.00,1309.25,1324.920082436455232425,21835,368,28929630.00,20279,92.87,56.00,-26.10
4-July-2019,1321.75,1330.05,1317.00,1322.65,1322.939130434782608695,345,62,456414.00,198,57.39,13.05,0.90
3-July-2019,1349.00,1349.00,1321.00,1325.70,1348.068116849527646946,36731,185,49515890.00,36159,98.44,28.00,-23.30
2-July-2019,1344.85,1349.95,1331.80,1344.65,1341.769436997319034852,373,59,500480.00,235,63.00,18.15,-0.20
1-July-2019,1345.50,1346.55,1330.00,1330.95,1337.109937077050931971,25269,177,33787431.00,24989,98.89,16.55,-14.55
28-June-2019,1327.20,1335.00,1317.85,1324.25,1323.575723830734966592,898,210,1188571.00,562,62.58,17.15,-2.95
27-June-2019,1333.25,1350.60,1314.15,1322.25,1327.891440501043841336,958,213,1272120.00,458,47.81,36.45,-11.00
26-June-2019,1349.95,1350.00,1316.40,1325.85,1344.521912350597609561,502,124,674950.00,180,35.86,33.60,-24.10
25-June-2019,1323.90,1339.00,1305.00,1334.45,1308.975869480265728800,10236,466,13398677.00,9344,91.29,34.00,10.55
24-June-2019,1309.75,1333.55,1309.00,1326.25,1318.241244367143647719,25298,570,33348867.00,24194,95.64,24.55,16.50
21-June-2019,1290.75,1318.00,1267.40,1298.40,1275.617755413783808069,11129,707,14196350.00,10448,93.88,50.60,7.65
20-June-2019,1280.00,1300.00,1259.35,1274.20,1281.525052928722653493,1417,192,1815921.00,587,41.43,40.65,-5.80
19-June-2019,1334.60,1334.65,1270.05,1278.10,1297.898767605633802816,1136,179,1474413.00,622,54.75,64.60,-56.50
