Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,544.10,544.10,538.10,538.75,540.280862870840449055,516462,5536,279034535.00,306577,59.36,6.00,-5.35
30-December-2019,549.40,552.40,542.80,543.95,546.950154790499065919,374700,4828,204942223.00,143878,38.40,9.60,-5.45
27-December-2019,540.00,550.50,538.30,549.40,545.696293287672503816,970051,8813,529353235.00,699208,72.08,12.20,9.40
26-December-2019,541.50,542.30,537.70,539.00,539.867425741268333860,303264,4202,163722355.00,158106,52.13,4.60,-2.50
24-December-2019,541.70,543.70,539.50,541.05,541.464253734111151732,188733,3703,102192173.00,45907,24.32,4.20,-0.65
23-December-2019,546.00,549.00,537.75,541.45,542.258582957616649840,318946,4977,172951206.00,111944,35.10,11.25,-4.55
20-December-2019,541.80,549.50,540.00,545.85,544.796897919703616508,438351,7293,238812265.00,93663,21.37,9.50,4.05
19-December-2019,540.00,541.05,533.70,540.00,537.990982360253552092,389348,6825,209465713.00,171305,44.00,7.35,0.00
18-December-2019,542.80,543.00,535.95,541.60,539.396299820531659901,249069,4936,134346897.00,70255,28.21,7.05,-1.20
17-December-2019,539.60,543.15,538.90,541.15,540.727406952316778310,201832,4104,109136094.00,55829,27.66,4.25,1.55
16-December-2019,539.80,541.25,536.80,538.90,539.024093455835349268,398905,7632,215019406.00,179322,44.95,4.45,-0.90
13-December-2019,536.50,542.60,535.75,537.40,539.296759454748216238,554166,7592,298859928.00,189421,34.18,6.85,0.90
12-December-2019,535.00,536.95,529.75,535.05,533.495273388638879703,556424,7774,296849574.00,229590,41.26,7.20,0.05
11-December-2019,529.80,535.15,527.25,533.60,532.248882278709212186,554700,7405,295238455.00,176401,31.80,7.90,3.80
10-December-2019,526.90,530.00,524.80,529.15,527.970783449483510119,367771,7910,194172343.00,102111,27.76,5.20,2.25
9-December-2019,524.90,529.25,522.40,526.60,526.728727794622774498,352561,8509,185704007.00,115765,32.84,6.85,1.70
6-December-2019,530.40,533.60,521.65,524.75,527.273118258620563688,410617,7901,216507306.00,76158,18.55,11.95,-5.65
5-December-2019,533.00,537.30,526.20,527.90,531.794284837558973572,1042840,15709,554576352.00,158217,15.17,11.10,-5.10
4-December-2019,510.00,531.35,509.55,529.35,522.593449461793369636,1307862,16955,683480114.00,388537,29.71,21.80,19.35
3-December-2019,508.00,511.25,504.80,509.00,508.008352601217433029,470991,5415,239267362.00,199812,42.42,6.45,1.00
2-December-2019,514.00,514.00,507.40,510.85,510.487682099605478380,378433,9623,193185385.00,103978,27.48,6.60,-3.15
29-November-2019,516.90,516.90,510.40,511.95,512.628962140239587831,442343,6580,226757833.00,179816,40.65,6.50,-4.95
28-November-2019,508.60,520.00,508.15,519.20,515.791747303578762537,1945449,15139,1003446539.00,1269645,65.26,11.85,10.60
27-November-2019,514.50,516.05,504.35,505.65,507.949963876876112948,982750,12549,499187827.00,301976,30.73,11.70,-8.85
26-November-2019,501.80,517.50,500.95,511.10,507.832346032300767122,1550861,22911,787577380.00,492639,31.77,16.55,9.30
25-November-2019,492.95,500.00,491.70,498.05,496.480848532152906083,366421,5934,181921009.00,96420,26.31,8.30,5.10
22-November-2019,501.70,501.70,492.05,496.75,494.290235290934139950,849969,5509,420131377.00,547496,64.41,9.65,-4.95
21-November-2019,497.00,503.70,491.25,498.25,498.885111343403964182,498413,7051,248650825.00,126801,25.44,12.45,1.25
20-November-2019,496.50,497.95,492.60,494.90,495.094113305037829857,363073,8941,179755305.00,85136,23.45,5.35,-1.60
19-November-2019,498.90,502.00,489.80,493.15,496.315813902358588511,573097,11791,284437104.00,179348,31.29,12.20,-5.75
18-November-2019,499.30,504.50,496.60,498.25,499.825530093507177663,394836,4738,197349113.00,95993,24.31,7.90,-1.05
15-November-2019,499.00,509.60,496.75,499.30,503.956213834523232747,1093930,11401,551292821.00,219946,20.11,12.85,0.30
14-November-2019,490.30,499.90,483.55,498.75,493.043433793614557127,1107801,10730,546194009.00,621555,56.11,16.35,8.45
13-November-2019,496.80,497.45,483.35,485.80,491.346964007909105066,635723,10621,312360566.00,272470,42.86,14.10,-11.00
11-November-2019,487.90,499.35,484.60,496.95,492.695026798002364639,536234,10259,264199825.00,228512,42.61,14.75,9.05
8-November-2019,480.00,495.90,480.00,489.45,489.850707315349578244,1245272,17423,609997370.00,233519,18.75,15.90,9.45
7-November-2019,483.00,483.00,475.70,478.70,478.552623941632442319,592658,5823,283618041.00,197662,33.35,7.30,-4.30
6-November-2019,468.25,483.90,464.70,480.60,476.242911362357340417,749862,8859,357116462.00,213844,28.52,19.20,12.35
5-November-2019,472.35,474.00,466.80,468.25,469.913084283512050688,736265,4687,345980557.00,334665,45.45,7.20,-4.10
4-November-2019,462.60,472.15,462.60,470.35,469.265412530499186344,484849,5828,227522866.00,137664,28.39,9.55,7.75
1-November-2019,466.90,467.30,460.40,462.10,462.657176463079384907,1754792,8467,811867112.00,1338927,76.30,6.90,-4.80
31-October-2019,474.50,476.95,461.30,462.85,469.868644427342148879,5397586,12209,2536156417.00,1152067,21.34,15.65,-11.65
30-October-2019,479.00,480.00,470.05,471.05,472.436237551084547684,929097,11551,438939091.00,227297,24.46,9.95,-7.95
29-October-2019,470.00,481.95,467.00,477.55,475.659271450858034321,1923000,18144,914692779.00,1098084,57.10,14.95,7.55
27-October-2019,472.00,473.00,465.00,469.40,469.221437739192642276,427741,6064,200705247.00,98869,23.11,8.00,-2.60
25-October-2019,457.60,470.70,454.65,469.10,463.093190677746763770,1506846,16363,697810122.00,190077,12.61,16.05,11.50
24-October-2019,456.50,458.80,451.05,454.65,454.595121443050235267,1257503,15479,571654729.00,602598,47.92,7.75,-1.85
23-October-2019,453.40,459.75,448.20,455.65,455.731873261672526502,1012827,18599,461577546.00,266955,26.36,11.55,2.25
22-October-2019,439.00,458.75,437.90,451.15,451.092138653280249264,1155400,19529,521191857.00,294462,25.49,20.85,12.15
18-October-2019,438.40,443.55,435.35,437.75,439.140185357207269229,515653,6463,226443954.00,181863,35.27,8.20,-0.65
17-October-2019,435.30,443.25,433.75,440.55,438.473484002711886425,492646,9924,216012208.00,153060,31.07,9.50,5.25
16-October-2019,434.10,439.60,431.00,435.30,435.444117291441826722,446614,5423,194475439.00,94832,21.23,8.60,1.20
15-October-2019,430.00,435.30,428.00,431.70,431.914050802490215135,380690,4532,164425360.00,82518,21.68,7.30,1.70
14-October-2019,430.00,436.35,426.10,428.60,431.152404635386577741,699316,8865,301511775.00,303652,43.42,10.25,-1.40
11-October-2019,429.40,433.30,422.15,428.40,428.411158704678085915,623567,7178,267143061.00,92299,14.80,11.15,-1.00
10-October-2019,431.70,431.70,420.30,423.70,424.302816437692275274,759328,9774,322185009.00,248258,32.69,11.40,-8.00
9-October-2019,418.00,438.40,417.40,436.60,427.546711334483222444,1345637,11371,575322674.00,481839,35.81,21.00,18.60
7-October-2019,416.75,423.60,411.60,416.30,418.638950806075371935,906677,14051,379570308.00,365389,40.30,12.00,-0.45
4-October-2019,429.90,430.00,412.30,413.75,422.557480414899295242,882431,8996,372877820.00,281563,31.91,17.70,-16.15
3-October-2019,422.50,434.05,422.50,427.30,429.623032898445908622,878005,8024,377211171.00,329044,37.48,11.55,4.80
1-October-2019,436.90,443.10,416.50,424.55,431.019355745113051368,1551684,19550,668805838.00,494006,31.84,26.60,-12.35
30-September-2019,445.75,445.75,431.15,433.40,434.645931215190359454,3021074,16165,1313097522.00,2201662,72.88,14.60,-12.35
27-September-2019,449.80,451.75,443.75,449.15,447.592512832783560363,702108,9498,314258284.00,125769,17.91,8.00,-0.65
26-September-2019,437.25,458.45,436.50,452.05,447.533421035754118285,1917849,15319,858301524.00,816238,42.56,21.95,14.80
25-September-2019,440.00,440.20,429.70,434.45,434.470420884968340511,1068558,14472,464256844.00,406184,38.01,10.50,-5.55
24-September-2019,443.00,448.55,433.35,440.85,439.956351414993363873,934280,12850,411042420.00,234650,25.12,15.20,-2.15
23-September-2019,432.00,450.00,420.95,445.20,441.639424352593264658,3738608,37926,1651116685.00,1193367,31.92,29.05,13.20
20-September-2019,388.30,423.90,386.65,417.35,410.712953299753928701,2814225,28985,1155838661.00,508916,18.08,37.25,29.05
19-September-2019,396.00,396.10,384.60,386.55,388.789201265939781807,1255036,13618,487944444.00,538555,42.91,11.50,-9.45
18-September-2019,404.90,404.90,396.70,399.15,401.830864444391448685,1635351,10804,657134506.00,1067845,65.30,8.20,-5.75
17-September-2019,406.85,411.85,398.35,400.60,406.327443985885160348,571597,6593,232255548.00,159654,27.93,13.50,-6.25
16-September-2019,409.60,415.75,406.90,411.95,412.450266738069026818,636767,8018,262634719.00,182967,28.73,8.85,2.35
13-September-2019,407.80,414.80,400.80,413.25,407.443795290620090876,947216,8565,385937282.00,184409,19.47,14.00,5.45
12-September-2019,398.00,407.05,398.00,402.75,404.392043435010889764,838402,8148,339043098.00,175558,20.94,9.05,4.75
11-September-2019,395.95,399.10,393.35,394.35,395.839161637845636754,429027,4194,169825688.00,108887,25.38,5.75,-1.60
9-September-2019,392.05,400.30,389.50,394.45,395.568261093472928634,1506832,9437,596054914.00,650068,43.14,10.80,2.40
