Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,4255.00,4266.00,4221.80,4235.10,4245.270443101711983887,19860,1950,84311071.00,4516,22.74,44.20,-19.90
30-December-2019,4280.00,4280.00,4227.90,4237.85,4257.082216685745067672,29702,2546,126443856.00,8769,29.52,52.10,-42.15
27-December-2019,4190.80,4259.90,4190.80,4252.70,4235.656615813129075140,394925,3304,1672766689.00,9302,2.36,69.10,61.90
26-December-2019,4169.00,4199.90,4134.30,4189.15,4167.928131416837782340,29707,2248,123816641.00,7126,23.99,65.60,20.15
24-December-2019,4160.00,4180.00,4125.05,4138.35,4156.659238796807857581,16290,1945,67711979.00,5111,31.38,54.95,-21.65
23-December-2019,4145.00,4185.15,4134.80,4158.90,4165.675671040219535202,23322,2085,97151888.00,4622,19.82,50.35,13.90
20-December-2019,4130.00,4145.20,4086.20,4134.80,4124.380690080641607544,22693,2031,93594571.00,3656,16.11,59.00,4.80
19-December-2019,4119.95,4143.15,4084.50,4091.10,4114.653932865731462925,23952,1923,98554191.00,3985,16.64,58.65,-28.85
18-December-2019,4174.95,4174.95,4103.90,4119.40,4123.974754328497894244,42740,2302,176258681.00,5860,13.71,71.05,-55.55
17-December-2019,4044.00,4155.70,4044.00,4135.20,4090.973040289029997810,36536,3148,149467791.00,12860,35.20,111.70,91.20
16-December-2019,4075.00,4083.75,4032.00,4038.65,4049.020288982540638169,16610,1451,67254227.00,4066,24.48,51.75,-36.35
13-December-2019,4066.00,4089.75,4045.00,4070.65,4069.620675193960998112,19076,1898,77632084.00,4799,25.16,44.75,4.65
12-December-2019,4054.00,4064.85,4011.00,4056.15,4045.106514703813141972,28428,2299,114994288.00,4300,15.13,53.85,2.15
11-December-2019,4004.00,4054.00,3988.25,4034.95,4029.898485374031679963,51894,3583,209127552.00,8456,16.29,65.75,30.95
10-December-2019,3998.00,3998.00,3947.50,3987.35,3973.518162090763279554,21198,1585,84230638.00,4530,21.37,50.50,-10.65
9-December-2019,3994.00,3994.00,3881.10,3945.45,3935.596821914165087596,30081,2986,118386688.00,4449,14.79,112.90,-48.55
6-December-2019,4011.00,4025.00,3926.95,3950.45,3973.640636984550202710,27379,2538,108794307.00,5572,20.35,98.05,-60.55
5-December-2019,3995.00,4031.00,3970.00,3987.40,3997.114278204491691247,34241,3062,136865190.00,12898,37.67,61.00,-7.60
4-December-2019,3960.00,4002.20,3934.45,3990.65,3970.213313588604470770,56724,8611,225206380.00,21910,38.63,67.75,30.65
3-December-2019,3950.00,3993.55,3897.50,3967.35,3959.035789927127831424,55714,4632,220573720.00,11262,20.21,96.05,17.35
2-December-2019,4089.00,4089.00,3923.00,3949.40,3974.428097390730842688,145558,6429,578509805.00,90642,62.27,166.00,-139.60
29-November-2019,4112.00,4133.75,4062.50,4073.25,4086.129331262739008055,20606,2093,84198781.00,6587,31.97,71.25,-38.75
28-November-2019,4139.00,4139.00,4067.40,4102.25,4103.724850099933377748,34523,3363,141672893.00,10164,29.44,71.60,-36.75
27-November-2019,4124.00,4124.80,4098.35,4118.40,4113.596069172356582221,15671,1511,64464164.00,3469,22.14,26.45,-5.60
26-November-2019,4151.90,4172.55,4087.15,4099.10,4138.644114632080937736,44874,3271,185717516.00,7236,16.13,85.40,-52.80
25-November-2019,4095.00,4148.75,4065.00,4142.20,4115.792924821519392695,53087,3440,218495099.00,6816,12.84,83.75,47.20
22-November-2019,4132.25,4141.95,4041.70,4078.40,4085.703884225411439058,33237,3428,135796540.00,7354,22.13,100.25,-53.85
21-November-2019,4137.45,4156.40,4114.60,4123.05,4136.324937552039966694,28824,2693,119225430.00,8710,30.22,41.80,-14.40
20-November-2019,4140.00,4181.95,4126.30,4137.45,4152.744897722259629896,43069,2529,178854570.00,6934,16.10,55.65,-2.55
19-November-2019,4153.00,4182.00,4125.10,4137.10,4152.013645224171539961,25137,2962,104369167.00,6955,27.67,56.90,-15.90
18-November-2019,4190.00,4205.50,4143.75,4152.60,4161.914193924441853845,73771,2091,307028572.00,10930,14.82,61.75,-37.40
15-November-2019,4215.00,4246.95,4178.05,4187.85,4215.377868701162862240,32506,2794,137025073.00,6501,20.00,68.90,-27.15
14-November-2019,4125.00,4222.25,4120.60,4211.95,4185.810096001017229321,47187,3969,197515821.00,10640,22.55,101.65,86.95
13-November-2019,4188.00,4188.00,4132.60,4143.70,4151.440032790390989770,28057,3604,116476953.00,7443,26.53,55.40,-44.30
11-November-2019,4185.00,4189.35,4141.80,4168.95,4166.834708924837680202,36348,3119,151456108.00,6370,17.52,47.55,-16.05
8-November-2019,4220.00,4241.10,4149.85,4160.55,4197.072068504677523140,40406,4062,169586894.00,9329,23.09,91.25,-59.45
7-November-2019,4200.05,4238.00,4189.95,4227.25,4220.645646204681900684,42974,3263,181378026.00,10220,23.78,48.05,27.20
6-November-2019,4255.25,4277.50,4175.80,4185.90,4222.317920944143561555,272162,5692,1149154490.00,17667,6.49,101.70,-69.35
5-November-2019,4150.00,4256.30,4136.85,4229.80,4193.889072909648925817,106872,8329,448209313.00,25853,24.19,119.45,79.80
4-November-2019,4086.50,4175.00,4080.40,4115.95,4127.876434378470270492,72941,5864,301091435.00,15979,21.91,94.60,29.45
1-November-2019,4032.90,4111.50,4022.00,4069.75,4074.602288200585353638,63893,5511,260338564.00,12919,20.22,89.50,36.85
31-October-2019,4000.00,4049.90,3998.00,4024.90,4027.923306797920695110,39821,3168,160395934.00,9475,23.79,51.90,24.90
30-October-2019,4061.00,4065.95,3985.00,3991.50,4013.054556490071967397,57665,3969,231412791.00,14462,25.08,80.95,-69.50
29-October-2019,3981.00,4061.20,3965.00,4044.85,4030.700517702480555487,40757,3289,164279261.00,7751,19.02,96.20,63.85
27-October-2019,4043.00,4043.00,3965.00,3981.00,3987.873947051744885679,13296,1238,53022772.00,6861,51.60,78.00,-62.00
