Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1892.00,1899.60,1829.20,1838.20,1852.969023788211679822,36867,4857,68313409.00,13858,37.59,70.40,-53.80
30-December-2019,1929.00,1929.00,1877.00,1883.05,1897.112901664730933023,20664,2374,39201941.00,7855,38.01,52.00,-45.95
27-December-2019,1922.20,1930.00,1908.55,1924.15,1919.732610273709381271,23419,1881,44958218.00,10374,44.30,21.45,1.95
26-December-2019,1909.00,1925.00,1909.00,1920.20,1916.944405048929229896,14102,1596,27032750.00,4871,34.54,16.00,11.20
24-December-2019,1921.85,1928.15,1901.65,1906.35,1913.009107311624710026,11639,1376,22265513.00,4271,36.70,26.50,-15.50
23-December-2019,1922.00,1939.00,1911.30,1921.85,1925.359072350155152702,30615,2536,58944868.00,11910,38.90,27.70,-0.15
20-December-2019,1934.00,1934.00,1902.00,1919.30,1916.628036237909755350,22849,2556,43793034.00,7750,33.92,32.00,-14.70
19-December-2019,1920.00,1960.00,1913.05,1934.55,1940.368665514153006602,48011,4670,93159040.00,16135,33.61,46.95,14.55
18-December-2019,1885.00,1941.50,1864.80,1915.45,1900.559762256831755420,104146,7251,197935697.00,39760,38.18,76.70,30.45
17-December-2019,1779.00,1910.00,1774.75,1882.55,1852.515022497042135534,115793,7558,214508272.00,72453,62.57,135.25,103.55
16-December-2019,1797.95,1797.95,1760.60,1770.80,1774.976398043801828620,18812,2066,33390856.00,6761,35.94,37.35,-27.15
13-December-2019,1785.05,1799.60,1760.00,1780.15,1785.265007997156566554,28135,2463,50228431.00,10456,37.16,39.60,-4.90
12-December-2019,1743.85,1793.90,1738.20,1778.70,1772.659166598976525058,61555,4395,109116035.00,20939,34.02,55.70,34.85
11-December-2019,1734.00,1746.55,1701.00,1726.25,1721.842612200286904843,29278,3068,50412108.00,10599,36.20,45.55,-7.75
10-December-2019,1780.25,1796.85,1733.00,1736.55,1760.149647403608389046,32757,3389,57657222.00,11425,34.88,63.85,-43.70
9-December-2019,1999.00,1999.00,1771.35,1781.95,1796.785114503816793893,36680,3518,65906078.00,14018,38.22,227.65,-217.05
6-December-2019,1827.60,1829.00,1715.00,1802.05,1805.514751269372448810,30133,2490,54405576.00,13982,46.40,114.00,-25.55
5-December-2019,1842.00,1844.00,1820.10,1822.95,1827.248021108179419525,15539,1313,28393607.00,5992,38.56,23.90,-19.05
4-December-2019,1842.00,1850.00,1825.20,1840.05,1837.228216774730418501,28841,1986,52987499.00,16522,57.29,24.80,-1.95
3-December-2019,1845.45,1847.00,1818.90,1834.05,1830.827249910362136966,13945,1448,25530886.00,2493,17.88,28.10,-11.40
2-December-2019,1845.00,1850.00,1813.20,1844.00,1837.203642689580642610,37939,3186,69701669.00,18734,49.38,36.80,-1.00
29-November-2019,1844.00,1861.60,1813.05,1824.45,1832.836934805467928496,38040,3383,69721117.00,13103,34.45,48.55,-19.55
28-November-2019,1850.00,1868.00,1830.60,1843.45,1851.308821074111863463,53905,4095,99794802.00,23338,43.29,37.40,-6.55
27-November-2019,1805.00,1850.00,1793.50,1844.95,1832.313687221334230672,59435,4649,108903564.00,32379,54.48,56.50,39.95
26-November-2019,1844.00,1848.35,1755.60,1781.90,1807.756171299421761718,34069,3648,61588445.00,11212,32.91,92.75,-62.10
25-November-2019,1840.00,1847.00,1818.00,1837.40,1837.408702290076335877,26200,2109,48140108.00,16074,61.35,29.00,-2.60
22-November-2019,1839.95,1840.00,1817.65,1836.80,1830.156390344311377245,21376,2129,39121423.00,9742,45.57,22.35,-3.15
21-November-2019,1823.00,1850.00,1812.95,1819.95,1840.774419773996347950,37787,2374,69557343.00,21776,57.63,37.05,-3.05
20-November-2019,1840.80,1867.00,1816.55,1823.45,1838.612829669147700382,46486,2674,85469756.00,27219,58.55,50.45,-17.35
19-November-2019,1829.00,1864.95,1806.60,1841.05,1843.942475116920494064,83390,5949,153766363.00,40576,48.66,58.35,12.05
18-November-2019,1875.00,1875.00,1807.15,1827.25,1828.511252203972796678,115133,7148,210521986.00,62853,54.59,67.85,-47.75
15-November-2019,1926.00,1934.00,1850.00,1869.05,1880.014688384145535312,75638,5562,142200551.00,37607,49.72,84.00,-56.95
14-November-2019,1952.55,1966.75,1912.50,1919.95,1942.104544058949953945,19542,2083,37952607.00,5228,26.75,54.25,-32.60
13-November-2019,1970.00,1991.35,1954.00,1958.40,1971.646142506142506142,20350,2236,40122999.00,6792,33.38,37.35,-11.60
11-November-2019,1968.80,1982.80,1961.05,1964.90,1970.492863211554800339,11770,1349,23192701.00,3081,26.18,21.75,-3.90
8-November-2019,1985.00,2009.65,1961.25,1967.30,1992.090671161779709887,22543,2317,44907700.00,4737,21.01,48.40,-17.70
7-November-2019,1990.00,1991.20,1977.00,1988.05,1983.533891466612870687,9914,1183,19664755.00,5015,50.58,14.20,-1.95
6-November-2019,1975.00,1995.35,1963.30,1979.00,1981.349162581699346405,19584,1749,38802742.00,8634,44.09,32.05,4.00
5-November-2019,1959.00,1982.00,1937.00,1976.30,1963.214050329538645895,20028,2464,39319251.00,3665,18.30,45.00,17.30
4-November-2019,1974.45,1988.75,1942.25,1956.15,1957.250841955771961858,24645,2931,48236447.00,5757,23.36,46.50,-18.30
1-November-2019,1995.00,1999.05,1960.40,1965.60,1975.952906110283159463,16775,1958,33146610.00,5471,32.61,38.65,-29.40
31-October-2019,1977.00,2010.80,1977.00,1994.25,1996.791628346953254329,38057,2764,75991899.00,14597,38.36,33.80,17.25
30-October-2019,1948.00,1983.60,1940.60,1976.25,1968.739405456766662141,36835,3241,72518516.00,11149,30.27,43.00,28.25
29-October-2019,1920.00,1949.50,1904.95,1940.10,1930.906574202496532593,18025,1583,34804591.00,6390,35.45,44.55,20.10
27-October-2019,1904.00,1924.00,1898.80,1916.35,1911.405907465097496250,8667,999,16566155.00,3943,45.49,25.20,12.35
25-October-2019,1894.00,1900.00,1871.40,1882.30,1885.537866127187967279,11369,1482,21436680.00,3214,28.27,28.60,-11.70
24-October-2019,1905.00,1917.70,1878.30,1892.00,1897.590038066972062713,15499,2320,29410748.00,4100,26.45,39.40,-13.00
23-October-2019,1920.00,1927.15,1873.00,1900.65,1901.727329777219956071,31870,3521,60608050.00,9832,30.85,54.15,-19.35
22-October-2019,1925.00,1943.70,1901.55,1913.80,1925.516085396694700935,17003,1916,32739550.00,4324,25.43,42.15,-11.20
18-October-2019,1918.50,1964.50,1905.05,1924.05,1940.873424093353163253,43705,3251,84825873.00,9997,22.87,59.45,5.55
17-October-2019,1875.00,1931.45,1875.00,1927.80,1919.436039568928660936,67831,2941,130197266.00,12029,17.73,56.45,52.80
16-October-2019,1840.10,1886.30,1840.10,1871.25,1860.145142334813267171,15316,1579,28489983.00,5159,33.68,46.20,31.15
15-October-2019,1830.00,1874.80,1817.80,1837.95,1843.935441841158564708,86728,4511,159920833.00,42551,49.06,57.00,7.95
14-October-2019,1850.00,1863.50,1803.55,1828.15,1830.155996903849421359,52969,3878,96941533.00,9250,17.46,59.95,-21.85
11-October-2019,1837.00,1851.70,1805.20,1843.25,1829.644375954306395973,70732,2651,129414406.00,48515,68.59,46.50,6.25
10-October-2019,1819.95,1838.40,1812.80,1820.90,1826.509552431040034345,18634,1871,34035179.00,5041,27.05,25.60,0.95
9-October-2019,1855.00,1871.80,1803.90,1820.10,1828.602269553959026173,39391,3607,72030472.00,9729,24.70,67.90,-34.90
7-October-2019,1900.00,1910.00,1840.00,1846.55,1867.269342947419590051,24686,2512,46095411.00,6849,27.74,70.00,-53.45
4-October-2019,1890.00,1917.90,1890.00,1894.85,1901.808572424207224997,17218,1821,32745340.00,4014,23.31,27.90,4.85
3-October-2019,1895.00,1939.05,1872.75,1883.25,1900.665021665864227250,41540,3519,78953625.00,6033,14.52,66.30,-11.75
1-October-2019,1882.00,1917.00,1859.50,1894.40,1884.037648945921173235,43640,3418,82219403.00,6155,14.10,57.50,12.40
30-September-2019,1891.05,1905.35,1832.70,1859.75,1874.776062521105697332,41458,3409,77724466.00,8904,21.48,72.65,-31.30
27-September-2019,1875.00,1913.00,1869.00,1891.00,1892.912595196250732278,34140,3065,64624036.00,5519,16.17,44.00,16.00
26-September-2019,1898.00,1920.00,1872.25,1878.70,1895.740085446271013281,43068,3059,81645734.00,10268,23.84,47.75,-19.30
25-September-2019,1865.05,1928.00,1850.00,1904.10,1897.174500256278831368,78040,5298,148055498.00,15289,19.59,78.00,39.05
24-September-2019,1911.00,1922.00,1842.00,1879.95,1876.913203831349028735,55855,4707,104834987.00,10073,18.03,80.00,-31.05
23-September-2019,1784.00,1944.00,1782.50,1916.65,1895.348154472612636280,213164,16226,404019994.00,75200,35.28,161.50,132.65
20-September-2019,1629.00,1770.00,1620.05,1759.10,1716.713854840576727674,155498,11880,266945571.00,69638,44.78,149.95,130.10
19-September-2019,1650.00,1660.10,1606.15,1619.25,1641.224036025893611032,35530,2553,58312690.00,5598,15.76,53.95,-30.75
18-September-2019,1608.00,1650.00,1606.10,1645.65,1632.392985184225303442,69453,4314,113374590.00,20794,29.94,43.90,37.65
17-September-2019,1585.05,1615.95,1581.00,1602.90,1602.211588315912881227,60561,3829,97031536.00,19865,32.80,34.95,17.85
16-September-2019,1566.95,1611.50,1560.85,1597.60,1592.321847926469941510,45478,3376,72415613.00,17795,39.13,50.65,30.65
13-September-2019,1577.95,1577.95,1557.20,1569.10,1567.179477398436009917,10486,916,16433444.00,3350,31.95,20.75,-8.85
12-September-2019,1570.10,1579.90,1552.85,1568.65,1565.849984946884004989,23251,1617,36407578.00,6561,28.22,27.05,-1.45
11-September-2019,1568.00,1587.25,1555.00,1569.20,1571.831069009929785200,24069,1871,37832402.00,4821,20.03,32.25,1.20
9-September-2019,1529.05,1577.95,1529.05,1568.35,1559.669467487289269467,37370,2608,58284848.00,13653,36.53,48.90,39.30
6-September-2019,1529.30,1543.20,1515.15,1529.80,1531.457610856007127681,14591,1526,22345498.00,3125,21.42,28.05,0.50
5-September-2019,1534.95,1541.00,1515.80,1521.70,1526.752847083369555768,11503,1282,17562238.00,3109,27.03,25.20,-13.25
4-September-2019,1507.15,1530.00,1506.90,1524.25,1518.918495110899117576,16772,1585,25475301.00,4970,29.63,23.10,17.10
3-September-2019,1570.00,1570.05,1500.45,1506.50,1529.484388131100911500,30938,2212,47319188.00,9425,30.46,69.60,-63.50
30-August-2019,1556.55,1577.70,1555.05,1569.60,1568.130072003388394747,23610,2550,37023551.00,7976,33.78,22.65,13.05
29-August-2019,1550.00,1574.00,1533.35,1547.25,1555.265194875988007631,22014,1900,34237608.00,4228,19.21,40.65,-2.75
28-August-2019,1524.00,1578.00,1520.95,1554.10,1550.576777539625836839,37791,3945,58597847.00,10399,27.52,57.05,30.10
27-August-2019,1535.00,1574.00,1522.00,1534.95,1549.079376567417905172,59413,4489,92035453.00,21173,35.64,52.00,-0.05
26-August-2019,1487.00,1535.00,1471.80,1531.05,1515.936131196732584550,47989,4018,72748259.00,24318,50.67,63.20,44.05
23-August-2019,1486.00,1486.00,1462.20,1468.30,1472.647945261271535046,24553,1706,36157925.00,6751,27.50,23.80,-17.70
22-August-2019,1481.00,1503.00,1478.00,1485.65,1495.709064271609656666,78495,2108,117405683.00,59527,75.84,25.00,4.65
21-August-2019,1475.00,1499.90,1470.00,1478.95,1484.142143456222878605,27423,2059,40699630.00,4839,17.65,29.90,3.95
20-August-2019,1506.00,1513.80,1461.00,1474.90,1491.608294736842105263,23750,1856,35425697.00,6411,26.99,52.80,-31.10
19-August-2019,1493.00,1534.15,1493.00,1504.15,1515.361413925870946792,64671,3797,97999938.00,21384,33.07,41.15,11.15
16-August-2019,1492.05,1499.90,1472.35,1488.75,1483.715579683420124802,67787,3227,100576628.00,19189,28.31,27.55,-3.30
14-August-2019,1469.65,1494.85,1461.35,1490.45,1473.823668930333508609,89383,2914,131734781.00,55490,62.08,33.50,20.80
13-August-2019,1461.80,1487.00,1453.00,1460.05,1467.864852390335694377,112662,4459,165372590.00,70490,62.57,34.00,-1.75
9-August-2019,1416.80,1459.90,1400.00,1452.85,1406.489675488690292531,7606607,20687,10698614211.00,6234499,81.96,59.90,36.05
8-August-2019,1434.00,1446.20,1409.00,1430.30,1428.762328049481191063,29587,2499,42272791.00,4760,16.09,37.20,-3.70
7-August-2019,1467.00,1479.40,1422.55,1433.40,1455.546744916063873345,51289,4144,74653537.00,16838,32.83,56.85,-33.60
6-August-2019,1482.00,1504.35,1480.00,1489.75,1495.381593714927048260,13365,1023,19985775.00,3639,27.23,24.35,7.75
5-August-2019,1450.00,1508.80,1450.00,1488.65,1489.286032149668513304,22022,1769,32797057.00,5384,24.45,58.80,38.65
2-August-2019,1475.00,1515.00,1472.20,1513.30,1500.978488455471102825,34865,2935,52331615.00,16667,47.80,42.80,38.30
1-August-2019,1475.25,1513.75,1440.00,1479.70,1488.406965541274624356,48783,4100,72608957.00,16254,33.32,73.75,4.45
31-July-2019,1450.00,1490.65,1440.50,1480.70,1469.134782445892308844,53412,4500,78469427.00,30378,56.87,50.15,30.70
30-July-2019,1446.00,1474.90,1428.40,1459.60,1459.332731611797821564,32684,3196,47696831.00,11545,35.32,46.50,13.60
29-July-2019,1427.00,1464.00,1426.00,1449.70,1447.154269642750284243,33422,2778,48366790.00,11965,35.80,38.00,22.70
26-July-2019,1418.95,1444.95,1414.40,1424.25,1429.750695262785764789,21215,1597,30332161.00,6111,28.80,30.55,5.30
25-July-2019,1420.00,1448.70,1401.00,1420.60,1423.858546596598152927,32159,1945,45789867.00,6569,20.43,47.70,0.60
24-July-2019,1405.00,1434.90,1384.00,1422.05,1406.378235659556844067,19316,1963,27165602.00,4837,25.04,50.90,17.05
23-July-2019,1414.00,1418.50,1394.20,1402.60,1407.231958371315709510,26328,1659,37049603.00,7160,27.20,24.30,-11.40
22-July-2019,1401.40,1424.75,1370.05,1416.75,1403.099927979834353619,49986,3256,70135353.00,12426,24.86,54.70,15.35
19-July-2019,1441.00,1450.00,1394.25,1401.40,1412.995007314125802963,31446,2619,44433041.00,7503,23.86,55.75,-39.60
18-July-2019,1460.00,1464.65,1434.50,1441.45,1447.496217178460169114,31458,2404,45535336.00,9423,29.95,30.15,-18.55
17-July-2019,1455.00,1472.00,1445.00,1463.75,1461.325671228957031808,41938,3015,61285076.00,16557,39.48,27.00,8.75
16-July-2019,1428.00,1470.70,1404.20,1464.50,1440.387383763802300303,104421,5781,150406691.00,21244,20.34,66.50,36.50
15-July-2019,1430.00,1447.00,1410.00,1425.70,1429.525859169571332477,130824,8243,187016291.00,21385,16.35,37.00,-4.30
12-July-2019,1377.75,1389.00,1352.85,1359.20,1371.538614344462256917,28694,2086,39354929.00,5280,18.40,36.15,-18.55
11-July-2019,1350.05,1379.70,1350.05,1372.50,1368.354861541183756524,22606,1423,30933030.00,3286,14.54,29.65,22.45
10-July-2019,1375.00,1383.75,1345.50,1350.25,1363.530755228904076656,29117,1921,39701925.00,4800,16.49,38.25,-24.75
9-July-2019,1395.00,1395.00,1336.00,1374.75,1364.770553741990085842,33084,2827,45152069.00,6704,20.26,59.00,-20.25
8-July-2019,1343.95,1410.00,1290.30,1389.00,1339.214248317605444956,78311,5551,104875207.00,20644,26.36,119.70,45.05
5-July-2019,1442.00,1442.95,1348.00,1356.80,1382.731326836323564861,58078,4653,80306270.00,14823,25.52,94.95,-85.20
4-July-2019,1463.00,1474.00,1427.60,1433.45,1446.757252909359121455,18303,1299,26479998.00,5670,30.98,46.40,-29.55
3-July-2019,1440.25,1467.60,1440.25,1459.60,1460.246186997070805696,29701,1535,43370772.00,13113,44.15,27.35,19.35
2-July-2019,1429.00,1449.00,1422.75,1446.10,1441.647725350921697953,41391,2208,59671241.00,12658,30.58,26.25,17.10
1-July-2019,1394.75,1440.00,1389.00,1424.45,1419.858689255086598284,47576,3281,67551197.00,14196,29.84,51.00,29.70
28-June-2019,1390.05,1404.90,1381.80,1397.65,1393.199558336400441663,27170,1844,37853232.00,9761,35.93,23.10,7.60
27-June-2019,1395.00,1419.00,1365.00,1390.95,1396.745186862967157417,45916,3786,64132952.00,8370,18.23,54.00,-4.05
26-June-2019,1321.85,1392.00,1321.85,1386.40,1362.965363228699551569,55750,4244,75985319.00,23886,42.84,70.15,64.55
