Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,2439.05,2439.05,2406.95,2413.45,2425.562036326426195958,46908,2852,113778264.00,32949,70.24,32.10,-25.60
30-December-2019,2444.50,2449.25,2422.00,2437.50,2429.200524424765914204,110216,3523,267736765.00,80595,73.12,27.25,-7.00
27-December-2019,2426.00,2450.00,2420.00,2444.50,2440.987884956988603476,50103,2669,122300816.00,25965,51.82,30.00,18.50
26-December-2019,2416.80,2432.70,2405.00,2414.30,2414.529822134890673395,510443,2898,1232479846.00,34454,6.75,27.70,-2.50
24-December-2019,2422.65,2445.20,2403.05,2411.20,2429.415394600445834747,436036,3406,1059312571.00,52792,12.11,42.15,-11.45
23-December-2019,2408.00,2434.40,2395.00,2422.35,2409.059940760756599459,38488,1948,92719899.00,13274,34.49,39.40,14.35
20-December-2019,2419.90,2425.00,2378.70,2404.75,2396.742829250151085491,64533,3184,154669005.00,9997,15.49,46.30,-15.15
19-December-2019,2438.80,2438.80,2406.00,2412.25,2420.664785123801517244,49959,3139,120933992.00,16005,32.04,32.80,-26.55
18-December-2019,2430.80,2459.00,2416.45,2446.85,2446.452997370552184041,400084,3997,978786701.00,41765,10.44,42.55,16.05
17-December-2019,2365.00,2435.00,2360.00,2430.80,2419.829104242587843613,311178,4868,752997581.00,33076,10.63,75.00,65.80
16-December-2019,2357.00,2384.50,2343.00,2372.40,2370.516565058921595868,61183,3033,145035315.00,28640,46.81,41.50,15.40
13-December-2019,2321.25,2365.00,2318.00,2352.90,2351.809017584582524650,102533,3820,241138034.00,32719,31.91,47.00,31.65
12-December-2019,2322.00,2327.20,2302.95,2318.40,2315.862130895759017043,80736,3103,186973445.00,23721,29.38,24.25,-3.60
11-December-2019,2300.00,2328.60,2292.90,2316.80,2301.364126930135986450,282234,3539,649523203.00,228562,80.98,35.70,16.80
10-December-2019,2319.00,2332.75,2288.15,2294.70,2310.309218553820580381,113098,7553,261291352.00,30280,26.77,44.60,-24.30
9-December-2019,2266.00,2315.00,2261.00,2310.60,2293.131329542377470890,73860,3800,169370680.00,21311,28.85,54.00,44.60
6-December-2019,2330.00,2332.55,2247.00,2264.00,2285.263985005767012687,62424,4066,142655319.00,18956,30.37,85.55,-66.00
5-December-2019,2310.15,2332.75,2300.90,2325.45,2319.606149603338049103,55841,3385,129529127.00,21507,38.51,31.85,15.30
4-December-2019,2320.25,2327.00,2287.00,2321.95,2310.564157800832617458,75665,3096,174828837.00,12959,17.13,40.00,1.70
3-December-2019,2305.00,2325.00,2287.75,2320.40,2303.734324316957268374,110059,3194,253546696.00,37940,34.47,37.25,15.40
2-December-2019,2304.25,2315.00,2265.00,2306.45,2299.957487829565720345,82988,2931,190868872.00,31995,38.55,50.00,2.20
29-November-2019,2314.75,2317.15,2280.45,2295.95,2293.307005233267316343,76243,2606,174848606.00,19420,25.47,36.70,-18.80
28-November-2019,2343.80,2345.90,2295.10,2309.85,2312.645636917842205997,70535,4264,163122460.00,24492,34.72,50.80,-33.95
27-November-2019,2313.20,2352.80,2308.40,2336.30,2329.130809584573940167,141060,7179,328547192.00,40310,28.58,44.40,23.10
26-November-2019,2299.90,2320.00,2284.60,2303.85,2308.447999913603179402,92596,4876,213753051.00,27568,29.77,35.40,3.95
25-November-2019,2247.45,2296.80,2228.00,2293.85,2272.602836332665183520,272394,6257,619043377.00,181611,66.67,68.80,46.40
22-November-2019,2208.00,2240.00,2199.65,2236.35,2222.554912954368771938,84898,2921,188690467.00,29948,35.28,40.35,28.35
21-November-2019,2201.40,2216.45,2186.65,2211.10,2202.630330498248918449,67958,3832,149686352.00,37503,55.19,29.80,9.70
20-November-2019,2222.00,2222.00,2193.20,2199.60,2208.359350134201087860,42101,5361,92974137.00,15227,36.17,28.80,-22.40
19-November-2019,2238.50,2238.55,2203.00,2213.15,2218.498652520979736644,58628,2581,130066139.00,23974,40.89,35.55,-25.35
18-November-2019,2224.00,2239.95,2209.50,2234.50,2225.607347852214094780,48259,2110,107405585.00,15954,33.06,30.45,10.50
15-November-2019,2226.00,2238.10,2208.05,2224.20,2225.447138203815728245,128940,5673,286949154.00,76293,59.17,30.05,-1.80
14-November-2019,2210.20,2232.00,2191.00,2225.10,2212.429359823399558498,65232,2426,144321192.00,26815,41.11,41.00,14.90
13-November-2019,2229.75,2232.00,2196.00,2207.70,2220.162599679704139081,121138,3573,268946057.00,78225,64.58,36.00,-22.05
11-November-2019,2230.45,2239.95,2216.15,2234.95,2228.491085271317829457,90300,2203,201232745.00,57735,63.94,23.80,4.50
8-November-2019,2244.90,2252.15,2211.65,2230.45,2237.313225123235806796,106706,3768,238734745.00,37457,35.10,40.50,-14.45
7-November-2019,2236.00,2264.75,2236.00,2250.90,2252.655056371711650153,117080,5984,263740854.00,38238,32.66,28.75,14.90
6-November-2019,2185.00,2228.10,2162.10,2220.30,2198.394453820270652732,190798,7502,419449265.00,62611,32.82,66.00,35.30
5-November-2019,2199.95,2208.95,2163.00,2181.40,2184.817971040150893547,293717,9184,641718180.00,169713,57.78,45.95,-18.55
4-November-2019,2149.00,2194.90,2122.15,2181.35,2157.032314181627609900,274771,11268,592689926.00,79993,29.11,72.75,32.35
1-November-2019,2131.00,2166.95,2120.10,2128.55,2143.921523803303315562,489932,4282,1050375760.00,427974,87.35,46.85,-2.45
