Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-December-2019,1802.65,1803.00,1781.15,1786.85,1790.570665663783377209,26590,1131,47611274.00,18514,69.63,21.85,-15.80
30-December-2019,1812.95,1816.80,1799.00,1802.40,1805.883593420497680303,14226,1030,25690500.00,4913,34.54,17.80,-10.55
27-December-2019,1810.00,1825.75,1801.00,1812.95,1812.701471132494448556,21616,1307,39183355.00,6139,28.40,24.75,2.95
26-December-2019,1800.85,1818.90,1798.10,1810.10,1808.714661766166683222,20134,1346,36416661.00,5510,27.37,20.80,9.25
24-December-2019,1810.00,1825.90,1798.80,1803.40,1812.493987532676452845,24865,1328,45067663.00,4441,17.86,27.10,-6.60
23-December-2019,1790.00,1814.00,1787.05,1807.45,1801.083551108788172926,26786,1054,48243824.00,12413,46.34,26.95,17.45
20-December-2019,1809.80,1809.80,1796.00,1798.55,1799.554316752429959977,59466,2387,107012297.00,9989,16.80,13.80,-11.25
19-December-2019,1783.00,1807.55,1778.50,1802.00,1797.187314123322979313,60524,2396,108772965.00,26199,43.29,29.05,19.00
18-December-2019,1741.55,1782.00,1734.80,1778.55,1750.533562661523235299,1185201,1999,2074734129.00,1153526,97.33,47.20,37.00
17-December-2019,1740.00,1749.00,1731.65,1745.30,1739.880992804592125474,12369,844,21520588.00,2731,22.08,17.35,5.30
16-December-2019,1758.00,1758.00,1728.05,1731.65,1736.449509321075480646,54822,1277,95195635.00,5033,9.18,29.95,-26.35
13-December-2019,1754.00,1757.55,1737.00,1744.00,1743.028943003437582634,41599,1156,72508261.00,4177,10.04,20.55,-10.00
12-December-2019,1743.00,1753.90,1728.05,1751.00,1742.619616452508555562,46461,1832,80963850.00,7513,16.17,25.85,8.00
11-December-2019,1705.15,1742.00,1705.15,1737.70,1732.005262364041629656,59669,1918,103347022.00,6920,11.60,36.85,32.55
10-December-2019,1730.90,1731.75,1710.00,1713.40,1720.114394602024240909,16006,1515,27532151.00,6041,37.74,21.75,-17.50
9-December-2019,1721.50,1732.30,1711.15,1726.45,1722.599719934854411787,65699,3626,113173079.00,15822,24.08,21.15,4.95
6-December-2019,1714.00,1747.50,1713.00,1717.35,1730.879246475030870401,34823,1883,60274408.00,4513,12.96,34.50,3.35
5-December-2019,1739.95,1739.95,1707.85,1714.85,1723.076686662223209657,27006,1717,46533409.00,5854,21.68,32.10,-25.10
4-December-2019,1728.65,1733.95,1711.10,1720.60,1720.308579169175195665,33220,2352,57148651.00,9872,29.72,22.85,-8.05
3-December-2019,1741.95,1750.00,1724.95,1737.10,1738.468936203357015294,179743,1935,312477622.00,121107,67.38,25.05,-4.85
2-December-2019,1704.00,1743.10,1698.10,1738.30,1724.844725666360784481,46859,2061,80824499.00,8932,19.06,45.00,34.30
29-November-2019,1715.00,1719.20,1678.80,1704.00,1693.561580099744556623,32884,2047,55691079.00,10166,30.91,40.40,-11.00
28-November-2019,1728.50,1728.50,1702.20,1713.45,1713.849728213221111695,22812,1145,39096340.00,4187,18.35,26.30,-15.05
27-November-2019,1710.70,1730.55,1705.65,1715.70,1719.198968962960347445,28321,1651,48689434.00,5432,19.18,24.90,5.00
26-November-2019,1722.90,1728.30,1687.85,1710.60,1711.362890938807169173,36099,2084,61778489.00,9167,25.39,40.45,-12.30
25-November-2019,1685.00,1719.90,1666.00,1708.55,1694.854687303779982418,63704,2764,107969023.00,6637,10.42,53.90,23.55
22-November-2019,1715.00,1715.00,1676.25,1682.40,1691.307455006584402282,82012,3000,138707507.00,14152,17.26,38.75,-32.60
21-November-2019,1723.15,1733.55,1711.05,1719.80,1718.971940442213128847,116324,2236,199957692.00,87411,75.14,22.50,-3.35
20-November-2019,1740.00,1748.40,1716.55,1722.80,1729.503047644847787071,59062,1973,102147909.00,7333,12.42,31.85,-17.20
19-November-2019,1740.10,1746.75,1719.20,1721.00,1731.834386283946552958,191367,1931,331415951.00,11538,6.03,27.55,-19.10
18-November-2019,1766.00,1766.00,1734.85,1738.80,1742.959933145591501247,43677,2049,76127261.00,9275,21.24,31.15,-27.20
15-November-2019,1780.00,1783.75,1757.40,1761.65,1770.886910490856592877,20780,1708,36799030.00,8286,39.87,26.35,-18.35
14-November-2019,1771.00,1799.20,1767.05,1775.10,1777.532671751956355377,81018,2686,144012142.00,12299,15.18,32.15,4.10
13-November-2019,1775.00,1786.50,1756.95,1770.40,1770.569568354762529519,30488,1681,53981125.00,9415,30.88,29.55,-4.60
11-November-2019,1793.00,1793.55,1768.40,1773.80,1775.371317486407889745,31636,2142,56165647.00,10510,33.22,25.15,-19.20
8-November-2019,1825.00,1827.20,1791.75,1794.55,1806.176884932802999772,57071,3049,103080321.00,15913,27.88,35.45,-30.45
7-November-2019,1804.00,1830.50,1798.15,1826.65,1813.580404160084254870,60768,3507,110207654.00,24575,40.44,32.35,22.65
6-November-2019,1784.55,1814.75,1781.65,1798.35,1804.783615914050696659,59570,3030,107510960.00,19194,32.22,33.10,13.80
5-November-2019,1784.90,1797.95,1767.55,1794.60,1782.140645586297760210,30360,1543,54105790.00,9873,32.52,30.40,9.70
4-November-2019,1776.90,1790.00,1766.45,1785.65,1780.608953591113729120,23767,1457,42319733.00,7434,31.28,23.55,8.75
1-November-2019,1801.00,1821.40,1761.90,1765.95,1780.729092859890276737,49397,4073,87962675.00,17531,35.49,59.50,-35.05
31-October-2019,1825.30,1833.65,1804.25,1810.75,1820.206785899674390071,21191,1106,38572002.00,5553,26.20,29.40,-14.55
30-October-2019,1823.00,1827.00,1804.45,1821.30,1816.803652558584409373,33456,1963,60782983.00,13415,40.10,22.55,-1.70
29-October-2019,1793.00,1819.50,1774.00,1814.80,1801.901480736553733051,57674,1879,103922866.00,28340,49.14,45.50,21.80
