Date,Open,High,Low,Close
31-Dec-19,41607.49,41607.49,41184.73,41253.74
30-Dec-19,41686.27,41714.73,41453.38,41558
27-Dec-19,41297.08,41611.27,41264.92,41575.14
26-Dec-19,41543.8,41543.8,41132.89,41163.76
24-Dec-19,41684.51,41702.98,41423.07,41461.26
23-Dec-19,41548.26,41701.62,41474.61,41642.66
20-Dec-19,41746.2,41809.96,41636.11,41681.54
19-Dec-19,41571.82,41719.29,41456.4,41673.92
18-Dec-19,41442.75,41614.77,41358.47,41558.57
17-Dec-19,41052.36,41401.65,41005.18,41352.17
16-Dec-19,41168.85,41185.03,40917.93,40938.72
13-Dec-19,40754.82,41055.8,40736.7,41009.71
12-Dec-19,40561.34,40712.65,40490.69,40581.71
11-Dec-19,40285.2,40466.13,40135.37,40412.57
10-Dec-19,40588.81,40588.81,40208.7,40239.88
09-Dec-19,40527.24,40645.63,40336.56,40487.43
06-Dec-19,40952.13,40952.13,40337.53,40445.15
05-Dec-19,40988.14,41002.41,40720.17,40779.59
04-Dec-19,40606.01,40886.87,40475.83,40850.29
03-Dec-19,40852.61,40885.03,40554.04,40675.45
02-Dec-19,41072.94,41093.99,40707.63,40802.17
29-Nov-19,41138.26,41143.22,40664.18,40793.81
28-Nov-19,41161.54,41163.79,40996.08,41130.17
27-Nov-19,40979.39,41075.76,40848.7,41020.61
26-Nov-19,41022.85,41120.28,40710.2,40821.3
25-Nov-19,40439.66,40931.71,40393.9,40889.23
22-Nov-19,40653.17,40653.17,40276.83,40359.41
21-Nov-19,40737.31,40744.85,40534.12,40575.17
20-Nov-19,40729.8,40816.38,40575.96,40651.64
19-Nov-19,40455.36,40544.13,40290.21,40469.7
18-Nov-19,40431.08,40542.4,40221.97,40284.19
15-Nov-19,40408.2,40650.06,40308.09,40356.69
14-Nov-19,40178.93,40348.61,40026.99,40286.48
13-Nov-19,40346.43,40447.17,40061.23,40116.06
11-Nov-19,40316.5,40417.44,40150.97,40345.08
08-Nov-19,40630.56,40749.33,40263.94,40323.61
07-Nov-19,40625.64,40688.27,40421.07,40653.74
06-Nov-19,40311.85,40606.91,40037.53,40469.78
05-Nov-19,40445.67,40466.55,40053.55,40248.23
04-Nov-19,40293.85,40483.21,40186.29,40301.96
01-Nov-19,40196.07,40283.3,40014.23,40165.03
31-Oct-19,40211.99,40392.22,40054.89,40129.05
30-Oct-19,40055.63,40178.12,39805.11,40051.87
29-Oct-19,39293.49,39917.01,39254.12,39831.84
27-Oct-19,39397.37,39402.23,39180.39,39250.2
25-Oct-19,39201.67,39241.61,38718.27,39058.06
24-Oct-19,39223.01,39327.15,38840.76,39020.39
23-Oct-19,39063.84,39196.67,38866.08,39058.83
22-Oct-19,39233.4,39426.47,38924.85,38963.84
18-Oct-19,39087.83,39361.06,38963.6,39298.38
17-Oct-19,38647.44,39104.69,38557.43,39052.06
16-Oct-19,38637.05,38666.38,38416.67,38598.99
15-Oct-19,38316.49,38635.19,38238.27,38506.09
14-Oct-19,38208.24,38513.69,38066.13,38214.47
11-Oct-19,37994.48,38345.41,37737.85,38127.08
10-Oct-19,38130.23,38130.23,37802.93,37880.4
09-Oct-19,37628.05,38209.84,37415.83,38177.95
07-Oct-19,37853.8,37919.47,37480.53,37531.98
04-Oct-19,38401.49,38403.54,37633.36,37673.31
03-Oct-19,38137.87,38310.93,37957.56,38106.87
01-Oct-19,38813.48,38923.78,37929.89,38305.41
30-Sep-19,38873.12,38873.12,38401.09,38667.33
27-Sep-19,39003.13,39107.37,38782.6,38822.57
26-Sep-19,38700.48,39158.07,38676.11,38989.74
25-Sep-19,39087.2,39087.2,38510.97,38593.52
24-Sep-19,39135.28,39306.37,38913.06,39097.14
23-Sep-19,38844,39441.12,38674.04,39090.03
20-Sep-19,36214.92,38378.02,36085.74,38014.62
19-Sep-19,36613.93,36613.93,35987.8,36093.47
18-Sep-19,36621.38,36712.99,36465.92,36563.88
17-Sep-19,37169.46,37169.56,36419.09,36481.09
16-Sep-19,37204.56,37302.06,37028.94,37123.31
13-Sep-19,37175.86,37413.5,37000.09,37384.99
12-Sep-19,37330.47,37435.15,37048.67,37104.28
11-Sep-19,37251.03,37343.46,37193.57,37270.82
09-Sep-19,36969.48,37244.08,36784.47,37145.45
06-Sep-19,36785.59,37012.98,36727.66,36981.77
05-Sep-19,36821.71,36898.99,36541.88,36644.42
04-Sep-19,36575.24,36776.31,36409.54,36724.74
03-Sep-19,37181.76,37188.38,36466.01,36562.91
30-Aug-19,37222.26,37397.97,36829.81,37332.79
29-Aug-19,37381.8,37381.8,36987.35,37068.93
28-Aug-19,37655.77,37687.82,37249.19,37451.84
27-Aug-19,37658.48,37731.51,37449.69,37641.27
26-Aug-19,37363.95,37544.48,36492.65,37494.12
23-Aug-19,36387.68,36807.34,36102.35,36701.16
22-Aug-19,37087.58,37087.58,36391.35,36472.93
21-Aug-19,37298.73,37406.55,37022.52,37060.37
20-Aug-19,37441.75,37511.55,37219.9,37328.01
19-Aug-19,37485.92,37718.88,37358.49,37402.49
16-Aug-19,37383,37444.45,36974.41,37350.33
14-Aug-19,37233.5,37473.61,37000.77,37311.53
13-Aug-19,37755.16,37755.16,36888.49,36958.16
09-Aug-19,37521.3,37807.55,37406.26,37581.91
08-Aug-19,36808.01,37405.48,36655.41,37327.36
07-Aug-19,37025.27,37104.79,36610.57,36690.5
06-Aug-19,36568.03,37241.77,36536.59,36976.85
05-Aug-19,36842.17,36844.05,36416.79,36699.84
02-Aug-19,36920.11,37375.16,36607.41,37118.22
01-Aug-19,37387.18,37387.18,36694.18,37018.32
31-Jul-19,37257.55,37576.37,37128.26,37481.12
30-Jul-19,37735.54,37950.21,37359.03,37397.24
29-Jul-19,38043.22,38043.22,37519.16,37686.37
26-Jul-19,37831.18,37978.07,37690.47,37882.79
25-Jul-19,37935.02,38169.87,37775.51,37830.98
24-Jul-19,37990.23,38102.84,37708.41,37847.65
23-Jul-19,38138.56,38217.81,37898.9,37982.74
22-Jul-19,38333.52,38333.52,37890.32,38031.13
19-Jul-19,39058.73,39058.73,38271.35,38337.01
18-Jul-19,39204.47,39204.47,38861.25,38897.46
17-Jul-19,39171.1,39284.73,39081.14,39215.64
16-Jul-19,38961.86,39173.89,38845.27,39131.04
15-Jul-19,39009.95,39023.97,38696.6,38896.71
12-Jul-19,38941.1,39021.84,38684.85,38736.23
11-Jul-19,38751.62,38892.5,38631.31,38823.11
10-Jul-19,38701.99,38854.85,38474.66,38557.04
09-Jul-19,38754.47,38814.23,38435.87,38730.82
08-Jul-19,39476.38,39476.38,38605.48,38720.57
05-Jul-19,39990.4,40032.41,39441.38,39513.39
04-Jul-19,39917.65,39979.1,39858.33,39908.06
03-Jul-19,39907.57,39934.99,39732.38,39839.25
02-Jul-19,39811.68,39838.49,39499.19,39816.48
01-Jul-19,39543.73,39764.82,39541.09,39686.5
28-Jun-19,39630.52,39675.25,39361.92,39394.64
27-Jun-19,39633.97,39817.22,39510.44,39586.41
26-Jun-19,39379.13,39674.22,39319.64,39592.08
25-Jun-19,39131.94,39490.64,38946.04,39434.94
24-Jun-19,39160.23,39300.02,39021.7,39122.96
21-Jun-19,39608.25,39617.95,39121.3,39194.49
20-Jun-19,39042.96,39638.64,38933.78,39601.63
19-Jun-19,39176.56,39435.8,38881.05,39112.74
18-Jun-19,39056.98,39167.83,38870.96,39046.34
17-Jun-19,39514.36,39540.42,38911.49,38960.79
14-Jun-19,39797,39799.9,39363.45,39452.07
13-Jun-19,39679.35,39800.81,39461.27,39741.36
12-Jun-19,39974.18,39982.1,39623.53,39756.81
11-Jun-19,39900.45,40066.31,39760.02,39950.46
10-Jun-19,39787.33,39979.48,39619.97,39784.52
07-Jun-19,39581.77,39703.1,39279.47,39615.9
06-Jun-19,40136.43,40159.26,39481.15,39529.72
04-Jun-19,40196,40312.07,40031.05,40083.54
03-Jun-19,39806.86,40308.9,39711.02,40267.62
31-May-19,39998.91,40122.34,39374.24,39714.2
30-May-19,39580.28,39911.92,39500.56,39831.97
29-May-19,39714.27,39767.93,39420.5,39502.05
28-May-19,39765.64,39828.65,39498.65,39749.73
27-May-19,39536.23,39821.94,39353.16,39683.29
24-May-19,39076.28,39476.97,38824.26,39434.72
23-May-19,39591.77,40124.96,38651.61,38811.39
22-May-19,39086.21,39249.08,38903.87,39110.21
21-May-19,39449.45,39571.73,38884.85,38969.8
20-May-19,38701.18,39412.56,38570.04,39352.67
17-May-19,37494.42,38001.13,37415.36,37930.77
16-May-19,37179.13,37518.94,37052.3,37393.48
15-May-19,37539.05,37559.67,37047.87,37114.88
14-May-19,37146.58,37572.7,36956.1,37318.53
13-May-19,37491.3,37583.57,36999.84,37090.82
10-May-19,37632.36,37721.98,37370.39,37462.99
09-May-19,37747.91,37780.46,37405.4,37558.91
08-May-19,38244.18,38248.57,37743.07,37789.13
07-May-19,38815.46,38835.54,38236.18,38276.63
06-May-19,38719.33,38719.33,38509.79,38600.34
03-May-19,39009.55,39172.76,38920.17,38963.26
02-May-19,39036.51,39189.95,38882.99,38981.43
30-Apr-19,39056.92,39105.88,38753.46,39031.55
26-Apr-19,38865.83,39103.16,38765.33,39067.33
25-Apr-19,39101.78,39262.22,38663.98,38730.86
24-Apr-19,38672.63,39095.35,38571,39054.68
23-Apr-19,38771.27,38832.61,38518.26,38564.88
22-Apr-19,39158.22,39158.22,38585.65,38645.18
18-Apr-19,39420.04,39487.45,39083.16,39140.28
16-Apr-19,39040.3,39364.34,39038.81,39275.64
15-Apr-19,38805.54,38976.58,38780.08,38905.84
12-Apr-19,38692.06,38818.87,38554.79,38767.11
11-Apr-19,38621.58,38649.98,38460.25,38607.01
10-Apr-19,38898.6,38950.45,38542.28,38585.35
09-Apr-19,38730.93,38978.99,38598.72,38939.22
08-Apr-19,38993.6,39041.25,38520.96,38700.53
05-Apr-19,38839.52,38958.6,38701.04,38862.23
04-Apr-19,38935.75,38939.35,38581.04,38684.72
03-Apr-19,39167.05,39270.14,38826.56,38877.12
02-Apr-19,38988.57,39121.69,38846.96,39056.65
01-Apr-19,38858.88,39115.57,38808.74,38871.87
29-Mar-19,38675,38748.54,38546.68,38672.91
28-Mar-19,38208.3,38593.65,38148.44,38545.72
27-Mar-19,38372.03,38475.93,38001.34,38132.88
26-Mar-19,37886.29,38297.7,37800.08,38233.41
25-Mar-19,38016.76,38016.76,37667.4,37808.91
22-Mar-19,38452.47,38564.71,38089.36,38164.61
20-Mar-19,38433.86,38489.81,38316.21,38386.75
19-Mar-19,38218.59,38396.06,38078.23,38363.47
18-Mar-19,38132.96,38369.59,37952.1,38095.07
15-Mar-19,37760.23,38254.77,37760.23,38024.32
14-Mar-19,37840.64,37907.78,37693.69,37754.89
13-Mar-19,37608.29,37797.29,37478.87,37752.17
12-Mar-19,37249.65,37586.63,37230.85,37535.66
11-Mar-19,36741.57,37106.19,36726.39,37054.1
08-Mar-19,36753.59,36753.59,36592.93,36671.43
07-Mar-19,36744.02,36830.25,36590.88,36725.42
06-Mar-19,36544.86,36666.47,36456.82,36636.1
05-Mar-19,36141.07,36457.44,35926.94,36442.54
01-Mar-19,36018.49,36140.67,35952.41,36063.81
28-Feb-19,36025.72,36085.85,35829.15,35867.44
27-Feb-19,36138.83,36371.11,35735.33,35905.43
26-Feb-19,35975.75,36172.52,35714.16,35973.71
25-Feb-19,35983.8,36242.18,35901.06,36213.38
22-Feb-19,35906.01,35941.69,35795.79,35871.48
21-Feb-19,35837,35983.07,35707.29,35898.35
20-Feb-19,35564.93,35797.11,35469.49,35756.26
19-Feb-19,35543.24,35776.04,35287.16,35352.61
18-Feb-19,35831.18,35912.44,35470.76,35498.44
15-Feb-19,35985.68,36022.57,35510.97,35808.95
14-Feb-19,36065.08,36109.1,35799.42,35876.22
13-Feb-19,36279.63,36375.8,35962.68,36034.11
12-Feb-19,36405.72,36465.4,36113.91,36153.62
11-Feb-19,36585.5,36588.41,36300.48,36395.03
08-Feb-19,36873.59,36885.58,36480.62,36546.48
07-Feb-19,37026.56,37172.18,36898.8,36971.09
06-Feb-19,36714.54,37005.25,36680.88,36975.23
05-Feb-19,36573.04,36727.83,36495.83,36616.81
04-Feb-19,36456.22,36622.77,36225.48,36582.74
01-Feb-19,36311.74,36778.14,36221.32,36469.43
31-Jan-19,35805.51,36278.13,35740.07,36256.69
30-Jan-19,35819.67,35850.41,35490.97,35591.25
29-Jan-19,35716.72,35734.14,35375.51,35592.5
28-Jan-19,36099.62,36124.26,35565.15,35656.7
25-Jan-19,36245.77,36474.48,35953.15,36025.54
24-Jan-19,36146.55,36258.28,35996.68,36195.1
23-Jan-19,36494.12,36521.47,36037.9,36108.47
22-Jan-19,36649.92,36650.47,36282.93,36444.64
21-Jan-19,36467.12,36701.03,36351.77,36578.96
18-Jan-19,36417.58,36469.98,36218.33,36386.61
17-Jan-19,36413.6,36468.42,36170.8,36374.08
16-Jan-19,36370.74,36462.03,36278.61,36321.29
15-Jan-19,35950.08,36349.31,35950.08,36318.33
14-Jan-19,36113.27,36124.94,35691.75,35853.56
11-Jan-19,36191.87,36214.26,35840.6,36009.84
10-Jan-19,36258,36269.31,36070.76,36106.5
09-Jan-19,36181.37,36250.54,35863.29,36212.91
08-Jan-19,35964.62,36037.35,35753.95,35980.93
07-Jan-19,35971.18,36076.95,35809.23,35850.16
04-Jan-19,35590.79,35744.2,35382.08,35695.1
03-Jan-19,35934.5,35999.66,35475.57,35513.71
02-Jan-19,36198.13,36236.7,35734.01,35891.52
01-Jan-19,36161.8,36284.04,35888.62,36254.57
