Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-January-2020,294.00,297.00,291.50,292.75,294.290384898741016027,61081,1113,17975551.00,13237,21.67,5.50,-1.25
21-January-2020,290.15,295.90,290.15,294.45,294.142399791775117126,76840,1179,22601902.00,22269,28.98,5.75,4.30
20-January-2020,293.80,294.50,288.45,292.05,292.117104201430507571,127647,3514,37287872.00,34607,27.11,6.05,-1.75
17-January-2020,288.10,291.85,286.20,290.45,288.672657912112097424,109048,2871,31479176.00,28223,25.88,5.65,2.35
16-January-2020,282.20,288.35,281.30,287.80,285.358349583254240797,115898,2785,33072462.00,41037,35.41,7.05,5.60
15-January-2020,283.00,284.20,279.75,281.60,281.595695551232979858,159370,1940,44877906.00,64563,40.51,4.45,-1.40
14-January-2020,284.95,285.50,280.55,282.15,282.418826956176353766,151060,2926,42662188.00,24711,16.36,4.95,-2.80
13-January-2020,284.80,285.35,281.40,283.90,283.351187420635992759,148052,1959,41950710.00,19362,13.08,3.95,-0.90
10-January-2020,284.15,285.30,280.00,281.05,282.786945040749254355,105278,2220,29771244.00,30195,28.68,5.30,-3.10
9-January-2020,288.00,289.40,281.65,282.30,284.286038663563262216,175721,5444,49955027.00,76405,43.48,7.75,-5.70
8-January-2020,283.50,286.00,279.35,283.10,283.700752987296002532,164279,3624,46606076.00,47710,29.04,6.65,-0.40
7-January-2020,294.70,294.70,275.05,284.20,283.602176113252945582,471299,9013,133661422.00,107485,22.81,19.65,-10.50
6-January-2020,302.00,302.00,285.25,288.30,291.142921971159384370,286471,3143,83404004.00,62799,21.92,16.75,-13.70
3-January-2020,295.00,304.00,293.80,301.05,300.815105879395932387,238715,2673,71809078.00,51862,21.73,10.20,6.05
2-January-2020,294.40,298.40,294.30,296.20,296.511372723234118169,90040,1125,26697884.00,19947,22.15,4.10,1.80
1-January-2020,293.00,295.10,291.60,294.40,293.575244417349680507,44289,547,13002154.00,12678,28.63,3.50,1.40
31-December-2019,291.60,296.70,290.45,293.90,294.113435404199091963,130171,1811,38285040.00,67369,51.75,6.25,2.30
30-December-2019,294.00,294.45,290.60,291.85,292.591733461382188896,54146,885,15842672.00,10454,19.31,3.85,-2.15
27-December-2019,290.00,292.95,288.00,292.30,290.800471534567644407,72105,1207,20968168.00,14165,19.64,4.95,2.30
26-December-2019,289.50,291.30,287.00,289.55,289.518864052535202374,63348,757,18340441.00,9803,15.47,4.30,0.05
24-December-2019,286.50,289.65,282.70,288.75,287.248828789661866890,133409,1379,38321579.00,36548,27.40,6.95,2.25
23-December-2019,291.00,291.30,285.00,285.70,287.641436841218761912,112803,1179,32446817.00,13495,11.96,6.30,-5.30
20-December-2019,294.05,294.90,288.05,289.30,291.739505711079782489,69514,1320,20279980.00,20045,28.84,6.85,-4.75
19-December-2019,294.00,295.80,291.60,295.10,294.062518660695244188,93780,1159,27577183.00,26427,28.18,4.20,1.10
18-December-2019,289.20,294.85,289.00,294.00,292.081440892677834006,150379,1646,43922915.00,27957,18.59,5.85,4.80
17-December-2019,295.50,295.95,288.50,290.80,290.864560872580543471,79305,1771,23067014.00,20340,25.65,7.45,-4.70
16-December-2019,291.70,298.55,291.45,295.55,295.907974463522799265,123118,1718,36431598.00,24169,19.63,7.10,3.85
13-December-2019,294.55,295.00,290.55,292.55,293.163041838858556302,198906,1687,58311888.00,25001,12.57,4.45,-2.00
12-December-2019,291.00,294.20,287.20,293.00,290.087167487982952137,330364,2829,95834357.00,59825,18.11,7.00,2.00
11-December-2019,291.00,291.45,283.85,290.40,287.755098176365793429,517538,2856,148924198.00,83959,16.22,7.60,-0.60
10-December-2019,289.65,290.00,286.50,289.50,288.485077642440685793,103938,1346,29984562.00,37256,35.84,3.50,-0.15
9-December-2019,290.00,291.85,288.00,289.50,289.780946651273963024,123002,1531,35643636.00,31652,25.73,3.85,-0.50
6-December-2019,289.20,293.35,286.15,289.05,289.049038093309949337,409967,4457,118500567.00,127289,31.05,7.20,-0.15
5-December-2019,285.95,289.25,284.00,286.85,286.722665652374633795,344411,3587,98750440.00,218398,63.41,5.25,0.90
4-December-2019,285.40,289.00,281.35,287.05,286.332545544951864033,333846,3327,95590975.00,152294,45.62,7.65,1.65
3-December-2019,299.70,299.70,283.05,285.90,289.620213205981541772,788158,8993,228266488.00,236263,29.98,16.65,-13.80
2-December-2019,282.00,291.90,281.95,285.95,287.392186960070913816,399358,6254,114772369.00,79822,19.99,9.95,3.95
29-November-2019,283.70,288.25,280.75,281.65,284.036649794298822477,225813,4598,64139168.00,64457,28.54,7.50,-2.05
28-November-2019,275.55,284.70,274.10,283.55,280.558636943464520829,468007,6921,131303406.00,104240,22.27,10.60,8.00
27-November-2019,270.00,279.10,268.85,276.55,275.765971553506874832,633470,10398,174689470.00,105493,16.65,10.25,6.55
26-November-2019,258.10,270.80,257.95,264.30,265.663911954920496508,302754,4709,80430812.00,63894,21.10,12.85,6.20
25-November-2019,258.00,260.35,255.10,258.65,257.964071086326845510,147764,1507,38117803.00,39213,26.54,5.25,0.65
22-November-2019,255.00,258.10,252.70,255.75,255.969885069836659315,278865,2106,71381042.00,37034,13.28,5.40,0.75
21-November-2019,265.00,265.00,253.55,254.20,257.572943767548491795,155284,2366,39996957.00,46051,29.66,11.45,-10.80
20-November-2019,260.00,265.10,255.80,262.75,261.711553584347771381,190746,2065,49920432.00,50017,26.22,9.30,2.75
19-November-2019,261.15,262.45,257.40,258.75,259.306487962866225877,67001,1018,17373794.00,21036,31.40,5.05,-2.40
