Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-January-2020,730.00,733.65,721.80,726.05,726.947204793397772878,17691,1307,12860423.00,6333,35.80,11.85,-3.95
21-January-2020,750.00,750.00,729.60,731.70,736.001700281425891181,17056,922,12553245.00,6299,36.93,20.40,-18.30
20-January-2020,745.00,753.50,739.55,748.05,748.995590768170857733,14515,994,10871671.00,4327,29.81,13.95,3.05
17-January-2020,748.00,752.00,741.05,743.75,745.892627690330870542,12452,1126,9287855.00,3359,26.98,10.95,-4.25
16-January-2020,763.00,771.75,741.25,747.15,753.952036814985254561,30857,1518,23264698.00,13119,42.52,30.50,-15.85
15-January-2020,754.00,764.95,750.00,761.50,757.140737087517934002,22304,1402,16887267.00,9256,41.50,14.95,7.50
14-January-2020,744.00,754.50,737.25,750.55,746.991677187076261280,21387,971,15975911.00,11745,54.92,17.25,6.55
13-January-2020,743.00,749.00,735.00,742.70,742.402691188694929343,19248,756,14289767.00,7197,37.39,14.00,-0.30
10-January-2020,725.90,741.50,721.55,738.10,734.512242552815345178,22626,1620,16619074.00,9766,43.16,19.95,12.20
9-January-2020,715.50,725.90,713.50,724.20,719.484266292206548796,15667,1417,11272160.00,7394,47.19,12.40,8.70
8-January-2020,711.40,713.30,701.40,711.90,709.419933277731442869,11990,809,8505945.00,5349,44.61,11.90,0.50
7-January-2020,698.10,715.70,698.10,708.15,708.756535827380514029,40737,1412,28872615.00,7733,18.98,17.60,10.05
6-January-2020,689.00,702.65,678.50,697.20,693.823357263706616672,43738,2253,30346446.00,11621,26.57,24.15,8.20
3-January-2020,681.95,690.90,681.95,687.70,686.860645222597044709,21047,1072,14456356.00,4240,20.15,8.95,5.75
2-January-2020,691.35,693.70,679.75,683.90,684.009502044743805629,16628,727,11373710.00,6004,36.11,13.95,-7.45
1-January-2020,689.00,693.55,684.00,691.35,688.857736468015308911,9145,432,6299604.00,2227,24.35,9.55,2.35
31-December-2019,690.00,692.90,682.20,684.80,687.196189755235932374,7926,597,5446717.00,3675,46.37,10.70,-5.20
30-December-2019,689.25,702.00,684.00,688.80,690.792898165009104916,14278,875,9863141.00,4112,28.80,18.00,-0.45
27-December-2019,687.50,691.30,678.60,689.25,684.243160892892627674,15097,621,10330019.00,2935,19.44,12.70,1.75
26-December-2019,698.95,698.95,680.40,683.90,684.262248879895938719,13838,618,9468821.00,2571,18.58,18.55,-15.05
24-December-2019,701.00,701.00,686.05,691.50,690.746546546546546546,13320,611,9200744.00,3678,27.61,14.95,-9.50
23-December-2019,712.00,712.00,691.70,698.55,698.472967177964703941,30315,1085,21174208.00,7392,24.38,20.30,-13.45
20-December-2019,684.00,711.60,683.20,706.45,697.973371609582260938,20204,979,14101854.00,7389,36.57,28.40,22.45
19-December-2019,680.45,689.95,680.00,684.75,685.573634204275534441,12630,602,8658795.00,3902,30.89,9.95,4.30
18-December-2019,682.50,683.60,675.40,680.45,679.674927582877373672,12428,843,8447000.00,3376,27.16,8.20,-2.05
17-December-2019,675.00,686.85,669.00,677.75,681.658202802967848309,18195,960,12402771.00,5924,32.56,17.85,2.75
16-December-2019,675.60,681.60,670.00,674.65,675.609228140131016804,10533,523,7116192.00,4188,39.76,11.60,-0.95
13-December-2019,677.00,677.20,668.30,674.25,673.071124361158432708,11740,457,7901855.00,4559,38.83,8.90,-2.75
12-December-2019,671.00,677.05,659.35,666.35,668.151812387970523800,20084,672,13419161.00,4995,24.87,17.70,-4.65
11-December-2019,652.40,675.00,652.40,670.85,668.536035864898750047,52642,1648,35193074.00,8588,16.31,22.60,18.45
10-December-2019,669.95,669.95,645.50,646.45,652.393564282065919538,33283,1336,21713615.00,13873,41.68,24.45,-23.50
9-December-2019,669.20,669.20,656.00,658.10,659.453223485036478237,20149,741,13287323.00,7485,37.15,13.20,-11.10
6-December-2019,673.40,683.95,662.95,664.60,672.670804911323328785,29320,956,19722708.00,5596,19.09,21.00,-8.80
5-December-2019,696.00,696.00,669.05,672.55,680.559927343040459379,34133,1517,23229552.00,10948,32.07,26.95,-23.45
4-December-2019,712.00,715.00,688.70,696.30,699.188174031812878809,35143,1548,24571570.00,9297,26.45,26.30,-15.70
3-December-2019,731.35,733.80,713.30,714.95,717.983251466775822076,29316,1443,21048397.00,10317,35.19,20.50,-16.40
2-December-2019,733.50,733.50,710.50,728.65,725.053312945973496432,19620,848,14225546.00,4721,24.06,23.00,-4.85
29-November-2019,722.05,726.75,714.00,724.90,720.828553259141494435,15725,765,11335029.00,6116,38.89,12.75,2.85
28-November-2019,718.20,724.50,713.85,722.05,718.968496591316828130,13935,735,10018826.00,5972,42.86,10.65,3.85
27-November-2019,705.00,724.00,705.00,720.65,716.292153783516547432,17193,1341,12315211.00,6075,35.33,19.00,15.65
26-November-2019,719.00,726.60,699.65,702.80,711.201891845689213060,17549,976,12480882.00,5769,32.87,26.95,-16.20
25-November-2019,726.00,726.00,703.30,715.15,710.089042730962043447,16756,795,11898252.00,4593,27.41,22.70,-10.85
22-November-2019,725.50,727.00,709.35,712.00,713.701621034669975955,12893,681,9201755.00,3184,24.70,17.65,-13.50
21-November-2019,715.00,729.30,707.00,725.50,721.553899563057401089,33414,1358,24110002.00,7493,22.42,22.30,10.50
20-November-2019,700.00,716.20,693.00,712.40,707.488892415106315455,25208,843,17834380.00,6826,27.08,23.20,12.40
19-November-2019,719.35,719.35,700.15,702.95,708.209773152288803967,12299,811,8710272.00,5854,47.60,19.20,-16.40
18-November-2019,711.20,719.80,705.60,714.90,713.016671376094942074,17695,762,12616830.00,5248,29.66,14.20,3.70
15-November-2019,712.00,717.50,709.30,710.80,710.481992590800880956,78551,863,55809071.00,4161,5.30,8.20,-1.20
14-November-2019,726.00,726.00,712.15,714.90,715.421464954047170855,72248,1798,51687770.00,53255,73.71,13.85,-11.10
13-November-2019,732.80,742.40,721.80,729.45,730.378325358851674641,20900,1258,15264907.00,5472,26.18,20.60,-3.35
11-November-2019,750.00,768.00,722.00,732.90,730.109308640256213882,14363,932,10486560.00,3988,27.77,46.00,-17.10
8-November-2019,752.45,752.45,733.30,735.30,739.221833955898301000,16598,658,12269604.00,7656,46.13,19.15,-17.15
7-November-2019,763.80,765.00,742.25,752.45,751.690698507462686567,41875,1240,31477048.00,12657,30.23,22.75,-11.35
6-November-2019,724.00,758.00,721.50,741.60,742.891596019887529893,153463,3589,114006373.00,16022,10.44,36.50,17.60
5-November-2019,720.00,724.75,709.40,721.90,716.393699837064751674,16571,667,11871360.00,5561,33.56,15.35,1.90
4-November-2019,740.00,740.75,719.20,721.35,728.613176930596285434,25575,1053,18634282.00,6050,23.66,21.55,-18.65
1-November-2019,744.00,763.00,735.35,737.90,746.449834696363319993,28735,1513,21449236.00,8259,28.74,27.65,-6.10
31-October-2019,737.00,743.75,729.60,740.75,738.011199788350456369,22679,663,16737356.00,9596,42.31,14.15,3.75
30-October-2019,720.00,741.00,720.00,733.85,729.102688959751788330,23206,861,16919557.00,8525,36.74,21.00,13.85
29-October-2019,705.00,723.30,698.70,719.05,711.624748490945674044,17892,958,12732390.00,6553,36.63,24.60,14.05
