Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-January-2020,2560.00,2570.55,2505.20,2529.40,2532.888454011741682974,7154,1413,18120284.00,1341,18.74,65.35,-30.60
21-January-2020,2601.00,2676.10,2535.00,2583.20,2615.014554852751139223,14703,2139,38448559.00,3033,20.63,141.10,-17.80
20-January-2020,2601.00,2619.10,2580.00,2589.10,2594.600458365164247517,1309,334,3396332.00,443,33.84,39.10,-11.90
17-January-2020,2577.80,2610.00,2558.00,2597.95,2590.399400299850074962,3335,873,8638982.00,845,25.34,52.00,20.15
16-January-2020,2533.10,2612.00,2473.00,2577.70,2546.741105329770777668,7111,1554,18109876.00,1383,19.45,139.00,44.60
15-January-2020,2547.90,2554.50,2494.25,2517.90,2532.344305940733691637,2389587,6823,6051257033.00,17492,0.73,60.25,-30.00
14-January-2020,2523.95,2550.90,2511.00,2546.00,2533.853476283300844704,3078,870,7799201.00,712,23.13,39.90,22.05
13-January-2020,2579.95,2579.95,2479.90,2537.95,2537.963226840278366377,1002851,1009,2545198960.00,1280,0.13,100.05,-42.00
10-January-2020,2559.00,2559.00,2525.00,2550.15,2539.659826361483820047,1267,359,3217749.00,364,28.73,34.00,-8.85
9-January-2020,2560.25,2568.65,2539.35,2558.70,2557.162387676508344030,1558,422,3984059.00,532,34.15,29.30,-1.55
8-January-2020,2540.00,2559.50,2525.45,2553.65,2548.096972176759410801,2444,480,6227549.00,444,18.17,34.05,13.65
7-January-2020,2526.70,2577.60,2526.70,2538.60,2556.071809456096693921,2813,1237,7190230.00,611,21.72,50.90,11.90
6-January-2020,2567.00,2567.00,2510.00,2519.10,2525.670322973796465569,1641,473,4144625.00,935,56.98,57.00,-47.90
3-January-2020,2510.00,2580.00,2510.00,2565.05,2571.764800546876112622,140434,806,361163218.00,138513,98.63,70.00,55.05
2-January-2020,2549.00,2560.00,2522.20,2531.85,2532.192696371152962792,4354,1138,11025167.00,1514,34.77,37.80,-17.15
1-January-2020,2539.35,2591.10,2531.00,2563.45,2561.633917651854871585,2453,423,6283688.00,719,29.31,60.10,24.10
31-December-2019,2544.05,2569.60,2522.00,2530.80,2547.147670737222976028,4422,1608,11263487.00,2547,57.60,47.60,-13.25
30-December-2019,2567.50,2568.60,2527.25,2543.45,2550.365023767825869402,3997,829,10193809.00,2108,52.74,41.35,-24.05
27-December-2019,2532.50,2583.45,2532.50,2567.20,2564.106350653296870252,3291,754,8438474.00,930,28.26,50.95,34.70
26-December-2019,2576.15,2579.50,2511.15,2532.05,2538.171587255188541362,3421,932,8683085.00,1444,42.21,68.35,-44.10
24-December-2019,2601.70,2601.70,2554.00,2564.45,2572.285820895522388059,2680,705,6893726.00,999,37.28,47.70,-37.25
23-December-2019,2645.00,2645.00,2577.70,2594.85,2607.190085254183770129,3167,729,8256971.00,1690,53.36,67.30,-50.15
20-December-2019,2599.00,2671.80,2565.05,2644.95,2615.228632784538296349,6985,1541,18267372.00,2220,31.78,106.75,45.95
19-December-2019,2628.00,2628.00,2557.25,2593.55,2583.524953789279112754,3246,807,8386122.00,687,21.16,70.75,-34.45
18-December-2019,2625.15,2641.50,2587.80,2629.00,2621.292537313432835820,3350,859,8781330.00,703,20.98,53.70,3.85
17-December-2019,2564.00,2675.05,2563.90,2606.10,2629.539767308792675948,5243,1710,13786677.00,2406,45.89,111.15,42.10
16-December-2019,2645.00,2667.80,2604.55,2638.10,2635.838244018192604310,5057,1140,13329434.00,2147,42.46,63.25,-6.90
13-December-2019,2540.50,2685.75,2530.00,2628.40,2597.250083056478405315,12040,2708,31270891.00,5329,44.26,155.75,87.90
12-December-2019,2575.00,2580.05,2508.00,2524.50,2545.957950065703022339,5327,1060,13562318.00,1097,20.59,72.05,-50.50
11-December-2019,2503.50,2620.00,2489.90,2568.25,2530.516638025308545539,6401,1397,16197837.00,2209,34.51,130.10,64.75
