Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-January-2020,775.55,775.55,755.70,758.40,760.387286954657519562,18658,1353,14187306.00,7760,41.59,19.85,-17.15
21-January-2020,775.55,775.55,761.65,769.05,768.900547623704283199,10226,721,7862777.00,1840,17.99,13.90,-6.50
20-January-2020,784.50,786.65,769.65,773.80,778.176281299232393658,29833,826,23215333.00,10700,35.87,17.00,-10.70
17-January-2020,799.90,799.90,775.45,780.00,784.122377183063198894,7959,598,6240830.00,1406,17.67,24.45,-19.90
16-January-2020,762.55,796.50,762.55,788.75,784.228714471307709369,31559,1081,24749474.00,4406,13.96,33.95,26.20
15-January-2020,774.00,774.00,758.40,760.05,763.009193529617130222,17186,967,13113076.00,3734,21.73,15.60,-13.95
14-January-2020,751.00,767.20,751.00,764.75,761.340118599612270498,17538,756,13352383.00,4843,27.61,16.20,13.75
13-January-2020,747.75,760.35,747.75,750.00,752.689861787968363026,12517,388,9421419.00,1355,10.83,12.60,2.25
10-January-2020,745.10,751.70,740.60,748.05,747.060753768844221105,19900,633,14866509.00,1699,8.54,11.10,2.95
9-January-2020,751.40,754.10,740.00,741.85,744.957513363690358344,25255,722,18813902.00,7857,31.11,14.10,-9.55
8-January-2020,750.00,753.75,741.00,746.30,745.650238129600230913,13858,709,10333221.00,1201,8.67,12.75,-3.70
7-January-2020,774.00,774.00,745.00,750.55,752.534823263029896431,23849,833,17947203.00,3479,14.59,29.00,-23.45
6-January-2020,798.00,798.00,754.70,756.45,768.615547683204884207,106138,3164,81579317.00,18414,17.35,43.30,-41.55
3-January-2020,767.85,772.80,764.00,770.95,767.263565365025466893,14725,566,11297956.00,3376,22.93,8.80,3.10
2-January-2020,763.10,772.05,762.50,767.85,767.271926089918256130,23488,1057,18021683.00,4064,17.30,9.55,4.75
1-January-2020,764.10,765.55,758.10,760.95,761.497453027139874739,11975,348,9118932.00,1821,15.21,7.45,-3.15
31-December-2019,765.55,771.00,760.20,761.35,765.079361798867440995,24193,796,18509565.00,5687,23.51,10.80,-4.20
30-December-2019,759.00,767.70,756.00,765.80,762.977454902978246917,73231,1778,55873602.00,25619,34.98,11.70,6.80
27-December-2019,751.25,761.95,749.60,758.40,758.459189591265538717,39659,994,30079733.00,9523,24.01,12.35,7.15
26-December-2019,745.00,752.50,742.00,750.00,748.771420739348370927,25536,885,19120627.00,5370,21.03,10.50,5.00
24-December-2019,747.30,748.15,740.40,744.30,744.606032906764168190,18598,457,13848183.00,4313,23.19,7.75,-3.00
23-December-2019,732.40,749.35,727.80,743.90,744.051032748028829874,41346,1071,30763534.00,4575,11.07,21.55,11.50
20-December-2019,731.00,735.65,724.00,731.80,729.780395852968897266,26525,762,19357425.00,5245,19.77,11.65,0.80
19-December-2019,716.55,740.85,712.10,728.45,730.603308937468710515,83894,2203,61293234.00,15162,18.07,28.75,11.90
18-December-2019,718.00,719.40,708.80,715.30,713.330294695481335952,12725,452,9077128.00,3249,25.53,10.60,-2.70
17-December-2019,723.45,723.45,715.00,717.20,718.512828105132983818,57413,2405,41251977.00,14478,25.22,8.45,-6.25
16-December-2019,716.50,723.40,710.00,720.15,718.985313524328466221,46982,1492,33779368.00,12092,25.74,13.40,3.65
13-December-2019,718.35,719.75,710.35,717.10,715.578469066759874169,34332,1028,24567240.00,6267,18.25,9.40,-1.25
12-December-2019,703.95,714.80,699.35,712.45,709.347467644651895856,65986,1649,46807002.00,12375,18.75,15.45,8.50
11-December-2019,695.00,699.00,686.75,697.65,695.020228836374513909,26744,1522,18587621.00,4851,18.14,12.25,2.65
10-December-2019,690.95,703.00,687.70,691.80,696.029823019957323961,39835,2456,27726348.00,12703,31.89,15.30,0.85
9-December-2019,692.05,692.05,679.95,686.75,684.830708081848962166,47551,1055,32564385.00,7627,16.04,12.10,-5.30
6-December-2019,695.50,703.00,690.55,694.40,695.682389039531896674,42042,1712,29247879.00,8270,19.67,12.45,-1.10
5-December-2019,675.05,697.00,672.75,694.60,690.010297237064683296,74486,2087,51396107.00,8433,11.32,24.25,19.55
4-December-2019,667.40,675.65,663.65,671.40,669.259419039401783146,24339,876,16289105.00,1920,7.89,12.00,4.00
3-December-2019,680.40,686.35,661.35,667.40,669.642637291430422809,37038,1027,24802224.00,5357,14.46,25.00,-13.00
2-December-2019,679.25,684.45,662.95,677.30,672.386405547907846549,38501,1229,25887549.00,4292,11.15,21.50,-1.95
29-November-2019,691.00,695.25,675.80,678.35,682.841003437039682185,22403,1194,15297687.00,4364,19.48,19.45,-12.65
28-November-2019,695.10,700.10,686.95,689.40,692.907264848330359418,19615,825,13591376.00,6217,31.70,13.15,-5.70
27-November-2019,680.00,697.40,680.00,693.10,691.811948588139883512,40691,1158,28150520.00,6182,15.19,17.40,13.10
26-November-2019,680.20,704.00,677.20,681.80,692.493204817261854980,47828,1359,33120565.00,5484,11.47,26.80,1.60
25-November-2019,684.00,693.85,679.70,685.20,684.428299766617685193,57845,1571,39590755.00,18687,32.31,14.15,1.20
22-November-2019,694.90,694.90,682.45,685.15,686.080363660495056075,15069,600,10338545.00,3274,21.73,12.45,-9.75
21-November-2019,696.00,704.05,685.50,687.00,695.309537792917131614,34054,1392,23678071.00,5533,16.25,18.55,-9.00
20-November-2019,702.55,705.25,690.85,696.35,697.586612697698823176,53364,3420,37226012.00,9680,18.14,14.40,-6.20
19-November-2019,720.90,727.20,698.80,706.80,716.511108447214896507,75078,1757,53794221.00,18511,24.66,28.40,-14.10
18-November-2019,704.00,737.40,702.10,713.95,723.142893075637343199,246492,4906,178248938.00,37174,15.08,35.30,9.95
15-November-2019,711.35,713.20,700.00,701.30,705.888998786134963808,44486,1178,31402178.00,8815,19.82,13.20,-10.05
14-November-2019,664.90,716.60,664.90,711.65,703.783192833440536384,234757,6980,165218031.00,28529,12.15,51.70,46.75
13-November-2019,668.65,668.85,647.00,649.65,654.743347358067865143,18301,711,11982458.00,4308,23.54,21.85,-19.00
11-November-2019,670.30,679.90,668.00,668.65,672.466564453355348508,8479,451,5701844.00,1911,22.54,11.90,-1.65
8-November-2019,683.35,686.50,673.20,675.25,679.107464114832535885,20900,548,14193346.00,2426,11.61,13.30,-8.10
7-November-2019,700.00,700.00,683.50,684.95,689.788725429595747311,8089,299,5579701.00,2095,25.90,16.50,-15.05
6-November-2019,718.00,718.00,679.10,690.45,686.951118408656563753,37151,709,25520921.00,13534,36.43,38.90,-27.55
5-November-2019,706.40,709.45,700.00,704.50,704.081154864328259430,12088,459,8510933.00,3697,30.58,9.45,-1.90
4-November-2019,711.20,714.00,705.00,706.20,708.530714215734299990,10207,283,7231973.00,2506,24.55,9.00,-5.00
1-November-2019,710.85,717.00,706.55,708.90,711.101503420957868203,22216,600,15797831.00,2800,12.60,10.45,-1.95
31-October-2019,710.00,718.30,699.60,707.40,709.560304820166649087,37924,1171,26909365.00,8494,22.40,18.70,-2.60
30-October-2019,704.95,713.25,697.50,706.40,705.615753729973516532,38137,1342,26910068.00,8159,21.39,15.75,1.45
29-October-2019,666.15,713.85,662.20,707.40,700.186538732891209256,63783,2129,44659998.00,13788,21.62,51.65,41.25
27-October-2019,669.80,669.80,664.15,665.20,666.353093296200517207,5027,117,3349757.00,2309,45.93,5.65,-4.60
25-October-2019,669.65,674.30,660.00,662.75,664.159132163540496153,11569,393,7683657.00,3159,27.31,14.30,-6.90
24-October-2019,687.15,687.15,667.00,669.75,671.512431269423858474,25098,901,16853619.00,3320,13.23,20.15,-17.40
