Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-January-2020,316.60,317.40,313.70,316.10,315.373870722362045002,851872,8767,268658170.00,122164,14.34,3.70,-0.50
21-January-2020,313.95,316.80,312.10,313.65,314.041155592092016335,2880532,11973,904605598.00,1861061,64.61,4.70,-0.30
20-January-2020,320.70,321.45,313.45,313.95,316.181114796484542398,977739,12264,309142607.00,268423,27.45,8.00,-6.75
17-January-2020,314.30,323.50,310.65,318.00,317.909292256190547891,1713459,17774,544724538.00,364811,21.29,12.85,3.70
16-January-2020,325.50,326.80,322.35,323.25,324.536675526706023894,893525,11071,289981633.00,172706,19.33,4.45,-2.25
15-January-2020,329.40,329.65,322.40,324.20,324.303333631050280035,918098,11855,297742242.00,228588,24.90,7.25,-5.20
14-January-2020,330.60,331.75,326.50,327.90,328.561420975131992148,742279,9566,243884243.00,158433,21.34,5.25,-2.70
13-January-2020,333.95,335.25,328.85,330.60,331.890577940020359945,948922,12818,314938271.00,200996,21.18,6.40,-3.35
10-January-2020,330.00,337.75,328.25,332.25,333.603757898123851872,1463797,17365,488328180.00,209410,14.31,9.50,2.25
9-January-2020,325.30,331.30,325.00,330.25,328.839517289514273650,1392636,15280,457953750.00,269562,19.36,6.30,4.95
8-January-2020,312.70,321.40,311.00,319.85,316.179363876492619931,1603305,16221,506931955.00,182159,11.36,10.40,7.15
7-January-2020,324.00,327.00,315.55,318.25,320.270732190186375886,1798194,21754,575908909.00,344318,19.15,11.45,-5.75
6-January-2020,332.00,332.00,317.90,318.95,322.001645912884031692,1422311,20595,457986483.00,328475,23.09,14.10,-13.05
3-January-2020,338.00,338.00,332.10,333.75,335.043413130376050900,761014,9260,254972728.00,156994,20.63,5.90,-4.25
2-January-2020,334.85,339.85,333.40,339.30,336.944388767331390932,882070,8735,297208537.00,158612,17.98,6.45,4.45
1-January-2020,334.50,335.85,332.25,334.35,334.081570987173495352,616224,7187,205869082.00,71995,11.68,3.60,-0.15
31-December-2019,334.90,336.30,332.60,333.70,334.371166204814905403,744106,8996,248807591.00,91588,12.31,3.70,-1.20
30-December-2019,337.80,337.90,332.45,334.25,334.448131357960433677,860732,9693,287870209.00,158859,18.46,5.45,-3.55
27-December-2019,333.60,338.30,333.05,337.25,336.781188230575429849,1249101,15495,420673719.00,189991,15.21,5.25,3.65
26-December-2019,333.00,333.20,328.05,329.85,330.193827300750569933,660165,9691,217982408.00,111858,16.94,5.15,-3.15
24-December-2019,332.70,334.20,329.25,331.30,331.335923318664153981,750326,8877,248609958.00,111807,14.90,4.95,-1.40
23-December-2019,336.70,338.70,330.40,332.35,334.715506884952526139,965584,12413,323195938.00,148063,15.33,8.30,-4.35
20-December-2019,328.00,339.55,328.00,337.85,336.153440525587828492,1665792,24570,559961712.00,290184,17.42,11.55,9.85
19-December-2019,327.00,329.55,324.65,328.15,327.179356643478147553,920858,12070,301285728.00,164030,17.81,4.90,1.15
18-December-2019,333.30,335.50,325.90,326.90,328.943720841803530426,1025655,12739,337382772.00,163521,15.94,9.60,-6.40
17-December-2019,333.50,335.65,330.75,332.85,333.631034796274889272,1000883,15919,333925631.00,218032,21.78,4.90,-0.65
16-December-2019,336.40,337.30,330.90,331.80,333.441579184252767196,1506398,19129,502295728.00,307564,20.42,6.40,-4.60
13-December-2019,325.00,333.55,324.85,332.70,329.802538575620838723,1901460,20117,627106335.00,392546,20.64,8.70,7.70
12-December-2019,315.00,322.80,313.80,321.80,318.021031611941211441,1340601,16062,426339313.00,153933,11.48,9.00,6.80
11-December-2019,311.75,315.60,308.10,312.70,312.229381361476043535,2236411,21145,698273223.00,233351,10.43,7.50,0.95
10-December-2019,317.75,322.50,312.30,313.45,317.410325847927091662,2023582,24230,642305822.00,258749,12.79,10.20,-4.30
9-December-2019,320.00,327.50,314.80,316.75,320.900899057873485868,2600500,25641,834502788.00,447518,17.21,12.70,-3.25
6-December-2019,338.50,338.50,318.00,319.80,325.257896030542887374,1895826,27312,616632376.00,436090,23.00,20.50,-18.70
5-December-2019,343.00,344.35,335.05,336.25,338.939521188443200042,1570054,22835,532153351.00,297594,18.95,9.30,-6.75
4-December-2019,335.25,342.95,331.90,341.90,337.630045591406940074,1135521,15338,383386007.00,140880,12.41,11.05,6.65
