Trade Date,ISIN,Last Trade Price (in Rs.),Last Trade Value (Rs. in lacs),Total Trade Value (Rs. in lacs),Last Trade Yield (YTM) (Annualized) (%),Weighted Average Price  (Rs.),Weighted Average Yield (YTM) (%)
09-Dec-2019,INE752E07MI5 ,100.6480,2000.00,2000.00,5.1520,100.6480,5.1520
09-Dec-2019,INE001A07SC5 ,99.8665,2500.00,22000.00,7.0500,99.8667,7.0511
09-Dec-2019,INE721A08DE4 ,98.1300,100.00,270.00,11.2634,97.9463,11.3213
09-Dec-2019,INE002A08500 ,100.5523,400.00,11000.00,6.9400,100.5523,6.9400
09-Dec-2019,INE020B07GG9 ,104.3975,523.84,523.84,5.8150,104.3975,5.8150
09-Dec-2019,INE540P07079 ,100.4700,1500.00,3000.00,9.1100,100.4555,9.1150
09-Dec-2019,INE031A08707 ,105.5544,2500.00,15500.00,7.6600,105.5544,7.6600
09-Dec-2019,INE062A08223 ,100.1500,930.00,2900.00,8.4500,100.1278,8.4544
09-Dec-2019,INE115A07OC2 ,101.0589,9000.00,18000.00,6.7000,101.0589,6.7000
09-Dec-2019,INE657N07530 ,99.6649,5000.00,5000.00,10.1700,99.6649,10.1700
09-Dec-2019,INE020B08BQ7 ,104.9376,500.00,1000.00,8.0600,104.9045,8.0650
09-Dec-2019,INE002A08518 ,100.6034,5000.00,5000.00,6.3000,100.6034,6.3000
09-Dec-2019,INE906B07HH5 ,99.7718,500.00,6000.00,7.7200,99.8419,7.7096
09-Dec-2019,INE134E08GX5 ,100.6069,1500.00,1500.00,5.1500,100.6069,5.1500
09-Dec-2019,INE756I08207 ,100.0000,40.00,130.00,8.6906,101.0311,8.7065
09-Dec-2019,INE036D08015 ,105.4000,15.00,30.00,10.2777,105.5000,10.2488
09-Dec-2019,INE134E08KG2 ,100.6012,2500.00,3000.00,7.0900,100.6012,7.0900
09-Dec-2019,INE848E07377 ,106.3995,500.00,500.00,7.5000,106.3995,7.5000
09-Dec-2019,INE848E07AR7 ,99.6669,1500.00,1500.00,7.5400,99.6669,7.5400
09-Dec-2019,INE608A08033 ,106.4200,50.00,50.00,8.4994,106.4200,8.4994
09-Dec-2019,INE906B07HI3 ,100.0000,2500.00,10750.00,7.8635,100.0073,7.8626
09-Dec-2019,INE733E07KJ7 ,104.6044,2500.00,14000.00,7.5700,104.6044,7.5700
09-Dec-2019,INE306N07LO1 ,100.4000,100.00,690.00,8.4300,100.3888,8.4291
09-Dec-2019,INE001A07RT1 ,104.0000,1000.00,2000.00,7.9100,103.9835,7.9125
09-Dec-2019,INE261F08BQ8 ,99.8390,200.00,5500.00,6.7500,99.8390,6.7500
09-Dec-2019,INE053F07BB3 ,104.6875,500.00,500.00,6.9300,104.6875,6.9300
09-Dec-2019,INE053F07BU3 ,99.1264,1000.00,11000.00,7.6100,99.0660,7.6191
09-Dec-2019,INE860H08DU1 ,101.7963,50.00,50.00,8.5600,101.7963,8.5600
09-Dec-2019,INE001A07RW5 ,101.6000,10000.00,10000.00,7.1417,101.6000,7.1417
09-Dec-2019,INE261F08AT4 ,104.5592,6000.00,6000.00,6.8200,104.5592,6.8200
09-Dec-2019,INE115A07OG3 ,101.3000,17500.00,32500.00,7.2925,101.4551,7.2303
09-Dec-2019,INE565A09264 ,107.9500,10.00,110.00,9.2100,107.5417,9.3464
09-Dec-2019,INE031A08756 ,100.3002,7000.00,7000.00,6.8600,100.3002,6.8600
09-Dec-2019,INE053F07579 ,109.5961,90.00,180.00,5.8300,109.2592,5.8800
09-Dec-2019,INE916DA7QF9 ,101.3809,5000.00,5000.00,7.5500,101.3809,7.5500
09-Dec-2019,INE001A07RZ8 ,100.1399,5000.00,5000.00,7.2000,100.1399,7.2000
09-Dec-2019,INE002A08575 ,102.9712,2500.00,32500.00,6.8000,102.9712,6.8000
09-Dec-2019,INE261F08AK3 ,100.3522,20000.00,26000.00,5.6000,100.3556,5.5885
09-Dec-2019,INE850K08022 ,100.0000,12000.00,12000.00,12.0000,100.0000,12.0000
09-Dec-2019,INE597R08024 ,100.0000,8100.00,8100.00,12.0000,100.0000,12.0000
09-Dec-2019,INE020B08BJ2 ,107.7644,1000.00,2000.00,7.7400,107.7216,7.7466
09-Dec-2019,INE261F08BA2 ,106.0363,500.00,1000.00,7.6300,106.0363,7.6300
09-Dec-2019,INE053F07BE7 ,103.8487,500.00,1000.00,7.6300,103.8487,7.6300
09-Dec-2019,INE296A07QU7 ,102.1505,10000.00,10000.00,7.5200,102.1505,7.5200
09-Dec-2019,INE001A07RN4 ,101.8786,5000.00,5000.00,6.7000,101.8786,6.7000
09-Dec-2019,INE261F08907 ,100.7318,1500.00,22000.00,5.9900,100.7255,5.9986
09-Dec-2019,INE031A08582 ,100.5337,1000.00,1000.00,5.4000,100.5337,5.4000
09-Dec-2019,INE071G08AB3 ,100.0000,1000.00,4500.00,7.9899,100.0000,7.9900
09-Dec-2019,INE001A07NW4 ,101.8786,5000.00,5000.00,6.7000,101.8786,6.7000
09-Dec-2019,INE020B08AJ4 ,100.5008,6500.00,6500.00,6.1000,100.5008,6.1000
09-Dec-2019,INE071G08AA5 ,100.0000,2500.00,17500.00,7.6908,100.0000,7.6908
09-Dec-2019,INE031A08699 ,105.8740,500.00,500.00,7.6500,105.8740,7.6500
09-Dec-2019,INE539K07130 ,103.6573,1500.00,1500.00,8.1200,103.6573,8.1200
09-Dec-2019,INE134E08JW1 ,102.4049,5000.00,8500.00,6.9700,102.4056,6.9700
09-Dec-2019,INE020B08BO2 ,104.7093,500.00,1500.00,7.7200,104.7093,7.7200
09-Dec-2019,INE614B08047 ,108.3000,1.00,29.00,0.0000,106.6448,7.0110
09-Dec-2019,INE535H08744 ,100.0200,1000.00,4000.00,9.2341,100.0100,9.2341
09-Dec-2019,INE115A07OM1 ,100.2844,2500.00,5000.00,7.7000,100.2549,7.7075
09-Dec-2019,INE134E08KC1 ,105.0350,500.00,850.00,8.0500,105.2341,8.0294
09-Dec-2019,INE115A07NZ5 ,102.4563,10000.00,43500.00,7.2700,102.4563,7.2700
09-Dec-2019,INE134E08JB5 ,100.4403,2500.00,2500.00,7.0500,100.4403,7.0500
09-Dec-2019,INE540P07327 ,96.3989,30.00,50.00,11.6000,96.4647,11.5800
09-Dec-2019,INE053F07BX7 ,99.5486,70.00,5000.00,7.6100,99.5995,7.6026
09-Dec-2019,INE062A08215 ,101.4600,20.00,1030.00,8.3341,101.3695,8.3601
09-Dec-2019,INE261F08758 ,100.2977,2500.00,10000.00,5.2000,100.2917,5.2250
09-Dec-2019,INE683A08044 ,105.9500,20.00,20.00,10.3263,105.9500,10.3263
09-Dec-2019,INE020B08BP9 ,104.7500,1000.00,3000.00,8.2000,104.4618,8.2458
09-Dec-2019,INE906B07CB9 ,113.7978,46.29,46.29,5.8700,113.7978,5.8700
09-Dec-2019,INE906B07EP5 ,114.5200,9.95,9.95,5.6088,114.5200,5.6088
09-Dec-2019,INE906B07EJ8 ,113.9000,2.00,12.00,5.6247,113.2027,5.7041
09-Dec-2019,INE001A07RK0 ,106.8251,500.00,2500.00,7.9000,106.8785,7.8920
09-Dec-2019,INE095A08082 ,100.8000,10.00,160.00,10.6807,100.5590,10.4158
09-Dec-2019,INE528G08394 ,74.2416,20.00,20.00,22.0000,74.2416,22.0000
09-Dec-2019,INE556F08JJ9 ,101.0171,7500.00,7500.00,6.2000,101.0171,6.2000
09-Dec-2019,INE028A08174 ,100.0392,100.00,170.00,8.6774,100.0572,8.6737
09-Dec-2019,INE601U08093 ,100.4000,10.00,10.00,11.4103,100.4000,11.4103
09-Dec-2019,INE001A07QQ9 ,100.3265,2500.00,2500.00,6.8000,100.3265,6.8000
09-Dec-2019,INE053F07BV1 ,97.9381,500.00,500.00,7.7176,97.9381,7.7176
09-Dec-2019,INE540P07228 ,96.0346,20.00,20.00,11.6000,96.0346,11.6000
09-Dec-2019,INE598T07012 ,110.8919,500.00,500.00,15.7500,110.8919,15.7500
09-Dec-2019,INE540P07335 ,95.8488,20.00,40.00,11.6000,95.8524,11.6000
09-Dec-2019,INE906B07EI0 ,112.5407,30.00,30.00,5.7800,112.5407,5.7800
09-Dec-2019,INE787H07156 ,114.3493,40.00,40.00,5.8000,114.3493,5.8000
09-Dec-2019,INE001A07RV7 ,102.1302,2500.00,2500.00,7.4000,102.1302,7.4000
09-Dec-2019,INE557F07132 ,128.8080,30.00,30.00,5.7200,128.8080,5.7200
09-Dec-2019,INE031A07AB2 ,128.8080,10.00,10.00,5.7200,128.8080,5.7200
09-Dec-2019,INE134E07463 ,127.7591,2.50,2.50,5.7200,127.7591,5.7200
09-Dec-2019,INE053F09HI1 ,101.4066,6000.00,6000.00,5.8500,101.4066,5.8500
09-Dec-2019,INE261F07032 ,113.2150,20.00,20.00,5.7200,113.2150,5.7200
09-Dec-2019,INE261F08BK1 ,102.2937,2500.00,2500.00,7.0500,102.2937,7.0500
09-Dec-2019,INE721A08DC8 ,99.0000,10.00,10.00,11.0493,99.0000,11.0493
09-Dec-2019,INE093JA7658 ,125.0000,20.00,20.00,0.0000,125.0000,0.0000
09-Dec-2019,INE093JA7815 ,125.0000,1359.00,1359.00,0.0000,125.0000,0.0000
09-Dec-2019,INE093JA7823 ,125.0000,313.00,313.00,0.0000,125.0000,0.0000
09-Dec-2019,INE053F07900 ,113.2450,20.00,20.00,5.7200,113.2450,5.7200
09-Dec-2019,INE031A07AO5 ,113.4368,8.00,8.00,5.7200,113.4368,5.7200
09-Dec-2019,INE094A08036 ,99.6110,500.00,500.00,7.0800,99.6110,7.0800
09-Dec-2019,INE557F07181 ,120.8028,10.00,10.00,5.7200,120.8028,5.7200
09-Dec-2019,INE093J07YG2 ,110.0000,9.00,9.00,0.0000,110.0000,0.0000
09-Dec-2019,INE053F07BT5 ,98.6550,500.00,1000.00,7.6950,98.6657,7.6925
09-Dec-2019,INE020B07IG5 ,120.5054,10.00,10.00,5.7200,120.5054,5.7200
09-Dec-2019,INE906B07DF8 ,119.3407,10.00,10.00,5.7200,119.3407,5.7200
09-Dec-2019,INE134E08KH0 ,99.8319,2500.00,17500.00,7.4500,99.8319,7.4500
09-Dec-2019,INE235P07050 ,100.1000,25.00,25.00,8.4800,100.1000,8.4800
09-Dec-2019,INE787H07438 ,126.7089,10.00,10.00,5.7500,126.7089,5.7500
09-Dec-2019,INE202E07153 ,126.6666,10.00,10.00,5.7500,126.6666,5.7500
09-Dec-2019,INE787H07370 ,127.5481,9.25,9.25,5.7500,127.5481,5.7500
09-Dec-2019,INE976I08300 ,100.5281,2500.00,2500.00,9.0000,100.5281,9.0000
09-Dec-2019,INE804I074N0 ,126.6860,200.00,1610.00,9.0000,126.6350,9.0000
09-Dec-2019,INE733E07JE0 ,109.1492,17.60,47.60,5.7900,109.2662,5.7585
09-Dec-2019,INE608A08041 ,100.5830,1000.00,1000.00,8.5950,100.5830,8.5950
09-Dec-2019,INE134E07380 ,117.7818,20.00,20.00,5.7935,117.7818,5.7935
09-Dec-2019,INE08EQ08049 ,101.5318,1000.00,1000.00,9.0100,101.5318,9.0100
09-Dec-2019,INE053F07538 ,113.3151,50.00,50.00,5.7850,113.3151,5.7850
09-Dec-2019,INE906B07HG7 ,99.0100,50.00,50.00,7.6200,99.0100,7.6200
