Option Type,Strike Price,LTP,No. of Contracts,Turnover,Open Interest,Underlying Value
Put,39000,27.75,0,0,75,40979.62
Put,39100,33.55,0,0,250,40979.62
Put,39200,40.3,0,0,475,40979.62
Put,39400,57.3,0,0,25,40979.62
Put,39700,93.45,0,0,125,40979.62
Put,39900,126.3,0,0,300,40979.62
Put,40000,145.75,0,0,325,40979.62
Put,40100,184.75,175,70.49,175,40979.62
Put,40200,202.75,700,282.82,275,40979.62
Put,40300,226.9,275,111.45,250,40979.62
Call,40400,928.3,0,0,450,40979.62
Put,40400,243.75,16750,6810.19,775,40979.62
Call,40500,860.4,0,0,1525,40979.62
Put,40500,291.75,350,142.74,1000,40979.62
Call,40600,795.3,0,0,925,40979.62
Put,40600,334.6,6825,2792.65,725,40979.62
Call,40700,733.1,0,0,100,40979.62
Put,40700,351.25,0,0,250,40979.62
Call,40800,559.7,3000,1239.39,950,40979.62
Put,40800,380.15,300,123.54,25,40979.62
Call,40900,440.6,1125,465.09,525,40979.62
Call,41000,444.2,20400,8444.3,925,40979.62
Put,41000,466.45,500,207.41,250,40979.62
Call,41100,357.2,700,290.25,775,40979.62
Call,41200,337.2,1625,674.61,650,40979.62
Put,41200,591.05,6850,2862.99,350,40979.62
Call,41300,422.6,0,0,75,40979.62
Put,41300,651.5,1850,776.37,400,40979.62
Call,41400,243.5,3400,1415.31,500,40979.62
Put,41400,686.75,650,273.69,600,40979.62
Call,41500,343.05,0,0,25,40979.62
Put,41500,759.2,0,0,25,40979.62
Call,41600,172.05,139400,58223.46,750,40979.62
Call,41700,128.3,2350,983.14,200,40979.62
Call,41800,124.65,136275,57118.93,775,40979.62
Call,41900,91.05,108225,45456.62,150,40979.62
Call,42000,86.1,386200,162514.83,2950,40979.62
Call,42100,62,105675,44555.87,4625,40979.62
Call,42200,50.5,3175,1341.53,2625,40979.62
Call,42300,130.15,0,0,1450,40979.62
