Option Type,Strike Price,Last Price
Put,10200,42.9
Put,10300,50
Put,10350,54.6
Put,10400,59.45
Put,10450,63.95
Put,10500,70.5
Put,10550,79.65
Put,10600,84.7
Put,10650,92
Put,10700,101.65
Put,10750,110
Call,10800,565
Put,10800,120
Put,10850,130.65
Call,10900,485.9
Put,10900,142.75
Put,10950,151.25
Call,11000,410.55
Put,11000,169.95
Call,11050,380.8
Put,11050,183
Call,11100,342.2
Put,11100,200
Call,11150,310.95
Put,11150,217.55
Call,11200,280
Put,11200,234.2
Put,11250,255.7
Call,11250,253
Put,11300,282
Call,11300,225.55
Put,11350,305.15
Call,11350,200.35
Put,11400,326
Call,11400,174
Put,11450,355.5
Call,11450,154.95
Put,11500,388.85
Call,11500,132.5
Call,11550,113
Put,11600,447.4
Call,11600,97
Call,11650,83.95
Put,11700,521.45
Call,11700,70
Call,11750,58
Put,11800,598.3
Call,11800,48
Call,11850,39.7
Put,11900,682
Call,11900,33
Call,11950,30.65
Call,12000,24
Call,12050,20.75
Call,12100,15.95
Call,12150,14.1
Call,12200,11.1
Call,12250,11.2
