CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKSBIN27-FEB-2020,306.8,306.8,313.95,305.5,312.35,312.35,1.8,39561,85890000,28630,26605560150
FUTSTKEXIDEIND26-MAR-2020,189.65,190.65,190.7,179.5,185.55,185.55,-2.16,50,208800,72,38377150
FUTSTKCUMMINSIND26-MAR-2020,569.05,573.2,573.2,568.5,568.5,568.5,-0.09,22,2700,3,1540035
FUTSTKASHOKLEY30-APR-2020,80,82.25,82.35,82.25,82.35,81.35,1.68,10,24000,3,1975200
FUTSTKKOTAKBANK26-MAR-2020,1702.55,1705,1712.75,1683.55,1702,1702,-0.03,331,120400,301,204569280
FUTSTKPEL26-MAR-2020,1416.4,1442.05,1474.95,1414.6,1454.9,1454.9,2.71,241,28428,92,41087683.65
FUTSTKBPCL30-APR-2020,473.5,475.15,501,475.15,493.25,508.05,7.29,10,25200,14,12279960
FUTSTKBOSCHLTD26-MAR-2020,14118.45,14174.15,14174.15,13640.7,13640.7,13895.8,-1.57,20,400,10,5545750
FUTSTKIDEA27-FEB-2020,5.3,5.3,5.4,5,5.3,5.3,0,4381,113190000,1155,590234400
FUTSTKIDEA30-APR-2020,5.3,5.5,5.5,5.5,5.5,5.5,3.77,1,98000,1,539000
FUTSTKCHOLAFIN26-MAR-2020,333.55,338.75,348,338.7,345,345,3.43,15,20000,8,6872250
FUTSTKMOTHERSUMI27-FEB-2020,133.65,134.4,136.8,131.35,135.75,135.75,1.57,3768,14860000,2972,2000463000
FUTSTKBOSCHLTD30-APR-2020,14191.75,0,0,0,,13967.95,-1.57,0,0,0,0
FUTSTKIOC26-MAR-2020,111,111.4,113.1,111.25,112.8,112.8,1.62,643,1004000,251,112873000
FUTSTKBAJAJ-AUTO27-FEB-2020,3162.2,3178.55,3213.8,3136.05,3153.25,3153.25,-0.28,6799,873250,3493,2768563663
FUTSTKBIOCON27-FEB-2020,285.9,287.5,296.55,285.2,293.55,293.55,2.67,5658,8128200,3534,2375921275
FUTSTKICICIBANK27-FEB-2020,533.05,531.9,541.35,528.1,539.9,539.9,1.28,73604,28271375,20561,15173118263
FUTSTKPNB30-APR-2020,57.55,57.55,57.75,57.15,57.5,57.6,0.08,17,58100,7,3342410
FUTSTKSBIN26-MAR-2020,308,307.1,315.15,306.95,313.7,313.7,1.85,990,3222000,1074,1002713700
FUTSTKMGL27-FEB-2020,1195.6,1200.7,1214.95,1182.5,1188.7,1188.7,-0.57,3794,706800,1178,840965730
FUTSTKCANBK26-MAR-2020,187.1,187.2,189,184.45,185.65,185.65,-0.77,145,286000,110,53351220
FUTSTKMRF27-FEB-2020,71896.85,72050,73844.4,71801.05,72693.7,72693.7,1.1,1922,10690,1069,776343831
FUTSTKMARICO30-APR-2020,311.2,305.85,306.9,299.8,306.9,315.55,1.39,15,9100,7,2771405
FUTSTKBAJFINANCE26-MAR-2020,4526.25,4512.75,4550.55,4495.3,4539.45,4539.45,0.29,482,76250,305,345376587.5
FUTSTKDRREDDY26-MAR-2020,3253.7,3240.1,3240.1,3150.05,3159.8,3159.8,-2.88,84,17750,71,56702562.5
FUTSTKHCLTECH26-MAR-2020,588.1,590.65,598.45,589.6,598.45,600,2.02,37,26600,19,15791370
FUTSTKASHOKLEY27-FEB-2020,79.35,79.8,82.75,79.5,80.75,80.75,1.76,7524,34520000,4315,2800244800
FUTSTKSRTRANSFIN26-MAR-2020,1054.3,1072.2,1134.5,1065.05,1127.9,1127.9,6.98,45,22800,38,25213380
FUTSTKKOTAKBANK27-FEB-2020,1696.6,1697.65,1707.95,1677,1696.4,1696.4,-0.01,20072,4184000,10460,7079698900
FUTSTKMARUTI27-FEB-2020,7209.4,7222.8,7247,7051.95,7073.05,7073.05,-1.89,29808,1045000,10450,7441624300
FUTSTKHEROMOTOCO27-FEB-2020,2409.8,2413,2429.8,2299,2328.85,2328.85,-3.35,15058,2790200,13951,6515018380
FUTSTKCONCOR26-MAR-2020,570.65,558.65,588,558.65,588,598.9,4.95,12,20319,13,11720233.65
FUTSTKLICHSGFIN26-MAR-2020,396.65,399.5,411.1,390.1,408.2,408.2,2.91,206,228800,176,91707590
FUTSTKFEDERALBNK30-APR-2020,90.9,91.3,91.3,90.6,90.6,92,1.21,13,28000,4,2548700
FUTSTKINFRATEL26-MAR-2020,235,239,245,237.45,240.5,240.5,2.34,51,60000,30,14453900
FUTSTKMARUTI26-MAR-2020,7238.75,7207.8,7276.35,7085.25,7100.3,7100.3,-1.91,512,20800,208,148644515
FUTSTKTATACHEM27-FEB-2020,739.05,739.05,765.9,733.1,754,754,2.02,4145,3734100,4149,2814605865
FUTSTKTATAGLOBAL27-FEB-2020,381.5,383.05,409.7,381.5,396.5,396.5,3.93,5420,52609500,19485,20959788555
FUTSTKUBL27-FEB-2020,1294.15,1298,1321.2,1293,1315.55,1315.55,1.65,2771,1044400,1492,1367563890
FUTSTKMGL26-MAR-2020,1208.95,1197,1197,1191.85,1191.85,1200.5,-0.69,30,1800,3,2150790
FUTSTKADANIPOWER30-APR-2020,61.2,62.95,62.95,62.95,62.95,62.8,2.61,1,10000,1,629500
FUTSTKPIDILITIND27-FEB-2020,1559.2,1565.25,1565.25,1547.15,1556.4,1556.4,-0.17,4329,490000,980,762174375
FUTSTKSRTRANSFIN27-FEB-2020,1052.35,1061.5,1136,1058.5,1127.1,1127.1,7.1,8169,5824200,9707,6436807530
FUTSTKIOC30-APR-2020,111.7,112.9,113,112.75,113,116.15,3.98,40,36000,9,4063600
FUTSTKSUNTV30-APR-2020,483.2,481.05,481.05,481.05,481.05,487.4,0.86,2,1200,1,577260
FUTSTKM&M30-APR-2020,584.3,584.3,590,584.3,590,591.75,1.27,5,4000,4,2344600
FUTSTKSAIL30-APR-2020,47.1,47.8,49.35,47.8,49.35,49.35,4.77,4,31400,2,1525255
FUTSTKDIVISLAB27-FEB-2020,1967.45,1967.5,1988,1955,1971.45,1971.45,0.2,3901,976400,2441,1927116780
FUTSTKHINDUNILVR27-FEB-2020,2165.35,2174.85,2187.7,2157.95,2166.75,2166.75,0.06,34073,1293900,4313,2809057740
FUTSTKVEDL27-FEB-2020,138.75,139.45,144.5,137.9,143.85,143.85,3.67,24094,36410500,10403,5139126125
FUTSTKGODREJCP26-MAR-2020,658.5,661.4,666.95,658,658.5,666.25,1.17,40,15200,19,10056120
FUTSTKM&MFIN27-FEB-2020,368.5,368.4,393.55,368.4,388.3,388.3,5.37,9516,6620800,4138,2550177840
FUTSTKM&MFIN30-APR-2020,372.65,0,0,0,,392.75,5.39,3,0,0,0
FUTSTKGLENMARK30-APR-2020,318.05,318.05,320.35,318.05,319.2,323.05,1.57,9,4200,3,1340640
FUTSTKUJJIVAN30-APR-2020,387.35,387.55,415.9,387.55,413.55,408.15,5.36,6,6800,4,2757910
FUTSTKNCC26-MAR-2020,51,51.35,53.5,51.35,52.7,52.7,3.33,129,612000,68,32133150
FUTSTKIBULHSGFIN26-MAR-2020,263.85,263.85,270.05,256.95,263.45,263.45,-0.15,1516,832800,694,219742560
