Date,Auto,Capital Goods,Healthcare,Consumer Durables,FMCG,IT,Metal,Oil & Gas,PSU
01-Feb-99,1000,1000,1000,1000,1000,1000,1000,1000,1000
02-Feb-99,997.29,989.26,993.62,972.13,994.33,980.76,984.41,987.35,981.28
03-Feb-99,1009.61,1005.18,1008.57,976.9,1008.06,1003.15,1012.54,980.43,982.67
04-Feb-99,1001.37,995.89,1016.92,953.25,997.23,982.5,1004.54,964.4,965.4
05-Feb-99,994.08,992.92,1020.4,913.84,990.48,1170.29,996.95,931.74,939.07
08-Feb-99,995.17,986.74,1013.89,897.15,994.25,995.66,982.02,898.67,913.55
09-Feb-99,1012.07,991.57,1028.11,924.99,998.72,1015.47,969.31,887.77,904.85
10-Feb-99,1039.56,1021.02,1048.66,973.35,1044.92,1031.59,989.73,878.12,910.71
11-Feb-99,1047.62,1010.57,1066.28,976.31,1047.71,1035.68,998.45,905.45,929.06
12-Feb-99,1046.52,1012.1,1092.22,955.01,1055.31,1045.92,1017.2,902.82,935.81
15-Feb-99,1040.36,1019.35,1107.21,973.43,1044.02,1047.39,1031.18,883.25,925.25
16-Feb-99,1058.65,1034.19,1140.47,1015.12,1047.17,1063.89,1054.07,893.25,935.48
17-Feb-99,1060.86,1038.14,1156.82,1035.15,1038.52,1090.67,1060.26,896.47,937.91
18-Feb-99,1052.79,1035.34,1156.36,1040.81,1026.13,1102.58,1058.18,890.84,943.54
19-Feb-99,1050.76,1017.22,1140.25,1026.83,1022.79,1091.16,1050.66,880.35,936.23
22-Feb-99,1034.87,1016.53,1121.3,1003.62,1018.58,1057.28,1045.7,870.96,924.06
23-Feb-99,1024.92,1006.51,1110.41,1003.8,1010.27,1040,1029.95,858.55,909.17
24-Feb-99,1024,1005.63,1093.68,1009.59,1004.94,1067.14,1043.22,863.26,920.25
25-Feb-99,1018.77,1013.73,1093.54,1011.94,995.24,1082.59,1047.56,896.26,935.07
26-Feb-99,999.43,993.09,1065.02,986.12,970.12,1079.08,1047.47,904.25,931.8
27-Feb-99,1034.06,1030.29,1065.02,1046.24,970.12,1079.08,1026.47,885.22,935.16
01-Mar-99,1037.3,1020.68,1235.75,1066.99,1088.72,1248.92,972.45,853,932.93
03-Mar-99,1071,1036.85,1273.81,1099.75,1122.38,1318.41,979.8,846.15,944.66
04-Mar-99,1051.12,1016.77,1230.44,1077.78,1120.96,1266.98,965.32,835.71,938.28
05-Mar-99,1060.94,1024.28,1253.87,1090.17,1123.38,1277.99,949.79,843.65,954.43
08-Mar-99,1070.48,1052.22,1303.62,1103.04,1139.57,1282.15,934.64,898.65,1000.88
09-Mar-99,1066.58,1085.79,1297.13,1132.39,1149.8,1293.2,943.92,916.89,1024.46
10-Mar-99,1078.84,1068.73,1361.26,1159.98,1154.93,1289.51,948.99,944.1,1020.79
11-Mar-99,1063.28,1043.84,1324.93,1137.04,1150.58,1265.7,924.26,909.89,981.34
12-Mar-99,1065.29,1031.5,1313.73,1153.35,1153.25,1338.88,921.17,895.19,981.31
15-Mar-99,1070.37,1051.78,1348.91,1202.56,1192,1400.93,927.39,873.81,986.79
16-Mar-99,1058.22,1067.9,1330.9,1223.97,1188.05,1407.64,928.31,860.76,966.11
17-Mar-99,1043.38,1051.55,1321.11,1240.79,1166.85,1362.08,918.89,867.15,956.53
19-Mar-99,1045.9,1042.01,1344.18,1344.39,1164.21,1316.43,950.45,850.74,972.49
22-Mar-99,1075.78,1073.08,1397.36,1441.86,1175.9,1329.38,983.79,867.13,992.57
23-Mar-99,1102.27,1077.73,1416.89,1472.46,1190.64,1307.1,988.73,882.38,998.64
24-Mar-99,1111.42,1059.54,1396.43,1406.93,1174.24,1252.79,969.24,878.22,983.57
26-Mar-99,1099.02,1032.48,1358.77,1337.04,1157.99,1221.55,927.04,864.34,955.04
30-Mar-99,1115.7,1040.7,1384.75,1307.52,1180.39,1251.29,925.96,865.85,959.86
31-Mar-99,1126.7,1051.89,1400.53,1373.58,1196.26,1320.31,950.35,888.16,973.39
01-Apr-99,1129.02,1050.11,1388.55,1417.57,1178.34,1313.05,941.04,871.52,951.85
05-Apr-99,1079.1,988.43,1327.76,1334.04,1138.21,1237.42,901.33,850.97,908.24
06-Apr-99,1069.43,968.34,1319.41,1305.65,1163.74,1219,907.67,849.41,899.6
07-Apr-99,1076.25,940.3,1330.32,1282.52,1164.34,1232.25,902.85,846.39,905.85
08-Apr-99,1066.67,914.91,1315.6,1246.61,1152.48,1208.02,891.13,836.53,888.09
09-Apr-99,1033.42,872.64,1287.89,1176.9,1138.97,1137.69,862.11,819.8,852.58
12-Apr-99,1043.55,879.53,1283.04,1195.85,1146.01,1138.84,873.74,808.46,843.87
13-Apr-99,1048.17,875.54,1267.22,1169.86,1142.14,1124.92,865.58,800.32,838.36
15-Apr-99,1020.76,850.99,1193.43,1115.27,1108.1,1066.76,856.21,780.89,822.92
16-Apr-99,1082.77,895.72,1248.78,1189.32,1174.64,1144.39,898.18,815.61,866.2
17-Apr-99,1026.25,838.16,1248.78,1115.17,1174.64,1144.39,851.49,772.91,814
19-Apr-99,1066.85,856.89,1195.92,1166.46,1141.24,1112.48,883.9,782.67,828.93
20-Apr-99,1066.58,848.84,1212.27,1191.45,1130.01,1129,914.54,783.28,828.13
21-Apr-99,1071.57,846.76,1244.27,1229.37,1140.23,1151.5,945.23,788.68,830.08
22-Apr-99,1061.15,841.73,1226.01,1223.07,1126.58,1122.39,954.19,777.86,813.41
23-Apr-99,1059.54,823.46,1211.28,1222.42,1133.54,1099.5,940.94,772.49,807.45
26-Apr-99,1003.35,770.39,1133.55,1142.95,1083.71,1036.99,888.38,753.14,779.61
28-Apr-99,994.27,780.57,1107.7,1137.98,1087.61,1027.12,918.55,771,801.86
29-Apr-99,1018.96,802.45,1154.39,1152.72,1091.33,1058.92,913.43,802.73,823.18
03-May-99,1023.34,815.42,1171.37,1184.31,1090.26,1094.52,946.11,816.89,847.72
04-May-99,1051.46,828.16,1205,1210.25,1115.89,1159.07,979.69,837.7,879.2
05-May-99,1052.13,836.88,1227.41,1236.32,1126.4,1224.1,974.53,844.01,894.47
06-May-99,1072.35,837.92,1233.16,1243.88,1144.05,1267.71,991.16,832.85,909.99
07-May-99,1105.44,860.58,1254.37,1228.44,1138.44,1284.59,1013.38,844.27,934.08
10-May-99,1128.6,895.82,1326.18,1276.93,1165.81,1259.38,1059.91,861.83,970.81
11-May-99,1170.82,921.28,1328.93,1325.11,1180.55,1269.59,1080.27,868.34,994.63
12-May-99,1135.28,886.44,1289.47,1283.43,1188.77,1231.97,1061.16,873.13,983.09
13-May-99,1166.79,902.88,1322.35,1320.46,1219,1250.75,1078.38,892.34,1013.23
14-May-99,1178.15,921.01,1310.47,1299.89,1221.26,1247.05,1092.52,933.11,1047
17-May-99,1166.14,913.58,1274.24,1325.69,1203.1,1210.6,1081.63,982.54,1072.91
18-May-99,1166.19,915.6,1281.96,1343.28,1197.3,1232.97,1094.81,1040.42,1121.6
19-May-99,1172.84,936.87,1283.17,1414.3,1192.99,1220.66,1141.64,1106.17,1192.74
20-May-99,1156.12,924.24,1269.44,1381.51,1191.78,1260.25,1115.18,1073.21,1162.89
21-May-99,1112.4,895.12,1255.72,1350.55,1207.68,1249.41,1074.28,1021.57,1101.84
