DATE,SPOT,FUTURE
12-10-2009,270.1053,126.8045
12-11-2009,273.7968,128.4607
12/14/2009,279.7481,131.1803
12/15/2009,278.2661,130.4855
12/16/2009,282.3329,132.3927
12/17/2009,276.6725,129.7385
12/18/2009,275.9881,129.4177
12/21/2009,273.4621,128.2336
12/22/2009,273.4623,128.234
12/23/2009,275.2489,129.072
12/24/2009,275.9344,129.3937
12/28/2009,281.6966,132.0968
12/29/2009,280.2354,131.412
12/30/2009,280.5796,131.5738
12/31/2009,281.152,131.8426
01-04-2010,286.2587,134.239
01-05-2010,284.8554,133.5812
01-06-2010,287.7718,134.9491
01-07-2010,283.2081,132.8093
01-08-2010,283.5692,132.9789
01-11-2010,281.8437,132.1075
01-12-2010,273.2916,127.9096
01/13/2010,274.6409,128.7421
01/14/2010,271.4171,127.4701
01/15/2010,265.579,124.9885
01/19/2010,264.674,124.5632
01/20/2010,262.4765,123.5291
01/21/2010,264.1934,124.3374
01/22/2010,262.0608,123.3339
01/25/2010,262.2462,123.4218
01/26/2010,261.0111,122.8407
01/27/2010,256.0467,120.5044
01/28/2010,257.4388,121.1598
01/29/2010,254.9192,119.9742
02-01-2010,254.4316,119.7452
02-02-2010,259.2197,121.999
02-03-2010,253.1967,119.1647
02-04-2010,253.1696,119.1522
02-05-2010,249.887,117.6076
02-08-2010,255.4729,119.8465
02-09-2010,257.5917,120.4586
02-10-2010,260.9379,121.6593
02-11-2010,262.9505,122.2386
02-12-2010,262.6507,121.7366
02/16/2010,268.1828,124.3022
02/17/2010,263.8173,122.2792
02/18/2010,263.3587,122.067
02/19/2010,264.2956,122.5015
02/22/2010,265.7268,123.1659
02/23/2010,262.9367,121.873
02/24/2010,266.1649,123.3697
02/25/2010,262.9049,121.859
02/26/2010,266.8278,123.6776
03-01-2010,263.7584,122.256
03-02-2010,264.091,122.4105
03-03-2010,265.641,123.1294
03-04-2010,261.1508,121.0486
03-05-2010,260.0462,120.537
03-08-2010,260.0425,120.5365
03-09-2010,257.2545,119.2447
03-10-2010,256.6826,118.9801
03-11-2010,253.1908,117.362
03-12-2010,253.4076,117.4631
03/15/2010,252.0983,116.8576
03/16/2010,254.2397,117.8508
03/17/2010,257.5022,119.3636
03/18/2010,258.1965,119.686
03/19/2010,256.8158,119.0465
03/22/2010,256.6056,118.9507
03/23/2010,253.5637,117.5412
03/24/2010,253.5728,117.5459
03/25/2010,249.2332,115.5347
03/26/2010,249.7862,115.7916
03/29/2010,252.3269,116.9708
03/30/2010,252.8202,117.2
03/31/2010,245.4954,113.8049
04-01-2010,246.8551,114.4357
04-05-2010,247.0706,114.5374
04-06-2010,248.3219,115.1181
04-07-2010,251.2525,116.4772
04-08-2010,247.6206,114.7941
04-09-2010,248.42,114.713
04-12-2010,250.4244,115.1787
04/13/2010,253.9434,116.3587
04/14/2010,256.0231,116.8969
04/15/2010,259.1529,117.9217
04/16/2010,258.4778,117.615
04/19/2010,253.5938,115.3942
04/20/2010,257.3841,117.1194
04/21/2010,259.1131,117.9066
04/22/2010,260.5954,118.5816
04/23/2010,258.408,117.5867
04/26/2010,256.7626,116.8394
04/27/2010,253.8106,115.4966
04/28/2010,254.7833,115.9397
04/29/2010,256.6398,116.785
04/30/2010,258.4914,117.6281
05-03-2010,257.0996,116.9962
05-04-2010,256.086,116.5355
05-05-2010,256.4181,116.6871
05-06-2010,251.5515,114.473
05-07-2010,252.9248,115.0985
05-10-2010,251.8619,114.6164
05-11-2010,253.1976,115.2247
05-12-2010,254.1137,115.6421
05/13/2010,252.0822,114.7182
05/14/2010,247.7207,112.7338
05/17/2010,244.8301,111.4198
05/18/2010,246.6914,112.2673
05/19/2010,246.9814,112.3998
05/20/2010,247.3886,112.5856
05/21/2010,249.1607,113.3926
05/24/2010,248.8202,113.2391
05/25/2010,246.3178,112.1008
05/26/2010,248.7989,113.2305
05/27/2010,250.3859,113.9533
05/28/2010,244.8001,111.4116
06-01-2010,243.3106,110.7358
06-02-2010,240.9324,109.6539
06-03-2010,242.8625,110.5328
06-04-2010,238.7145,108.6455
06-07-2010,237.2899,107.9986
06-08-2010,238.4327,108.4087
06-09-2010,240.0873,109.088
06-10-2010,241.8652,109.9277
06-11-2010,246.1671,111.8708
06/14/2010,249.7868,113.4804
06/15/2010,251.449,114.2358
06/16/2010,253.5601,115.1951
06/17/2010,253.0504,114.9638
06/18/2010,254.1515,115.4642
06/21/2010,254.2438,115.5068
06/22/2010,253.2758,115.0673
06/23/2010,250.8228,113.9533
06/24/2010,251.4419,114.2349
06/25/2010,250.4828,113.7995
06/28/2010,248.3543,112.8336
06/29/2010,243.6783,110.7097
06/30/2010,250.5521,113.8331
07-01-2010,254.3136,115.5426
07-02-2010,254.0741,115.4343
07-06-2010,251.721,114.3673
07-07-2010,259.5649,117.9316
07-08-2010,262.8455,119.4227
07-09-2010,262.713,119.363
07-12-2010,261.9518,119.0188
07/13/2010,263.516,119.73
07/14/2010,265.6734,120.7107
07/15/2010,272.9614,124.0226
07/16/2010,272.0203,123.5955
07/19/2010,268.1925,121.8578
07/20/2010,265.5982,120.6796
07/21/2010,267.9162,121.7334
07/22/2010,270.3294,122.8304
07/23/2010,270.5121,122.9139
07/26/2010,268.1369,121.8363
07/27/2010,267.6949,121.636
07/28/2010,273.5276,124.2867
07/29/2010,277.7048,126.1853
07/30/2010,285.2612,129.6193
08-02-2010,287.5506,130.6613
08-03-2010,285.6165,129.783
08-04-2010,292.4221,132.876
08-05-2010,297.5634,135.2127
08-06-2010,293.0397,133.1577
08-09-2010,292.982,132.6717
08-10-2010,291.0329,131.3305
08-11-2010,291.7811,131.192
08-12-2010,298.8094,133.8786
08/13/2010,302.6263,135.1148
08/16/2010,297.3352,132.7542
08/17/2010,298.27,133.1721
08/18/2010,297.8167,132.9703
08/19/2010,297.6383,132.8912
08/20/2010,298.8938,133.4523
08/23/2010,299.2752,133.6244
08/24/2010,293.479,131.037
08/25/2010,290.4713,129.6946
08/26/2010,294.9716,131.7045
08/27/2010,299.2022,133.5941
08/30/2010,300.7702,134.2959
08/31/2010,297.0686,132.6437
09-01-2010,301.5008,134.6232
09-02-2010,303.5962,135.5594
09-03-2010,310.9707,138.8527
09-07-2010,314.8319,140.579
09-08-2010,312.1554,139.3844
09-09-2010,315.4836,140.9236
09-10-2010,315.7733,141.1447
09/13/2010,318.3356,142.3808
09/14/2010,321.6767,143.9451
09/15/2010,320.4341,143.4718
09/16/2010,319.9732,143.266
09/17/2010,327.2827,146.5393
09/20/2010,326.4203,146.1549
09/21/2010,324.593,145.3373
09/22/2010,325.2192,145.6184
09/23/2010,323.4025,144.8056
09/24/2010,333.126,149.16
09/27/2010,332.7312,148.9852
09/28/2010,329.3827,147.4865
09/29/2010,327.0204,146.4294
09/30/2010,324.1171,145.13
10-01-2010,311.8946,139.6578
10-04-2010,309.8486,138.7434
10-05-2010,317.4684,142.1559
10-06-2010,315.7864,141.4033
10-07-2010,320.1207,143.3446
