DATE,SPOT,FUTURE
12-10-2009,127.365,66.9102
12-11-2009,128.4296,67.4695
12/14/2009,129.4118,67.9858
12/15/2009,131.4888,69.077
12/16/2009,131.0259,68.8339
12/17/2009,129.7549,68.1663
12/18/2009,129.7344,68.1556
12/21/2009,129.778,68.1787
12/22/2009,129.2909,67.9229
12/23/2009,130.6447,68.6343
12/24/2009,128.6688,67.5964
12/28/2009,129.9317,68.2604
12/29/2009,130.2199,68.412
12/30/2009,130.2936,68.4509
12/31/2009,131.364,69.0135
01-04-2010,130.7726,68.7037
01-05-2010,132.9716,69.8591
01-06-2010,131.8592,69.2748
01-07-2010,132.2189,69.4639
01-08-2010,132.2318,69.4709
01-11-2010,132.5462,68.9257
01-12-2010,134.0621,68.9335
01/13/2010,137.6058,70.0188
01/14/2010,139.5323,70.2706
01/15/2010,141.1892,70.4505
01/18/2010,141.1892,70.4505
01/19/2010,142.3669,71.0385
01/20/2010,141.8425,70.777
01/21/2010,140.7072,70.2106
01/22/2010,140.2611,69.9881
01/25/2010,138.8181,69.2684
01/26/2010,136.6595,68.1915
01/27/2010,136.5226,68.1232
01/28/2010,137.0698,68.3964
01/29/2010,136.6529,68.1885
02-01-2010,134.2058,66.9677
02-02-2010,135.8544,67.7905
02-03-2010,136.2368,67.9815
02-04-2010,136.1027,67.9148
02-05-2010,136.2704,67.9986
02-08-2010,138.1588,68.9414
02-09-2010,138.1337,68.9292
02-10-2010,138.4443,69.0844
02-11-2010,138.0781,68.9018
02-12-2010,137.7134,68.72
02/16/2010,139.1218,69.4237
02/17/2010,139.7752,69.7499
02/18/2010,141.4327,70.5773
02/19/2010,141.2166,70.4696
02/22/2010,141.6202,70.6716
02/23/2010,140.2242,69.9751
02/24/2010,140.4,70.0631
02/25/2010,141.531,70.6277
02/26/2010,142.1947,70.9591
03-01-2010,142.1112,70.918
03-02-2010,142.76,71.242
03-03-2010,143.5767,71.6499
03-04-2010,143.8258,71.7744
03-05-2010,143.4053,71.5648
03-08-2010,145.289,71.9937
03-09-2010,145.8579,71.8334
03-10-2010,146.2096,71.6229
03-11-2010,146.7823,71.5266
03-12-2010,148.9006,72.138
03/15/2010,149.5092,72.4337
03/16/2010,149.9179,72.6321
03/17/2010,150.2013,72.7697
03/18/2010,152.7532,74.0064
03/19/2010,152.4485,73.8591
03/22/2010,151.6348,73.4659
03/23/2010,149.4053,72.3861
03/24/2010,148.9182,72.1503
03/25/2010,147.3873,71.409
03/26/2010,145.6836,70.5838
03/29/2010,149.1621,72.27
03/30/2010,150.9112,73.1178
03/31/2010,151.1639,73.2405
04-01-2010,151.4877,73.3977
04-05-2010,153.3672,74.3095
04-06-2010,152.2136,73.7509
04-07-2010,153.5693,74.4082
04-08-2010,153.2499,74.2538
04-09-2010,153.4044,74.329
04-12-2010,152.4347,73.8602
04/13/2010,152.9776,74.1236
04/14/2010,152.0855,73.6917
04/15/2010,154.2147,74.7237
04/16/2010,154.608,74.9145
04/19/2010,154.6094,74.9162
04/20/2010,154.0835,74.6617
04/21/2010,156.0589,75.6192
04/22/2010,156.1124,75.6454
04/23/2010,154.0629,74.6526
04/26/2010,154.0563,74.6503
04/27/2010,152.8347,74.0587
04/28/2010,152.2883,73.7942
04/29/2010,152.1557,73.7303
04/30/2010,154.3253,74.7819
05-03-2010,156.0215,75.6048
05-04-2010,156.3767,75.7773
05-05-2010,155.3629,75.2863
05-06-2010,154.2664,74.7553
05-07-2010,155.3586,75.2849
05-10-2010,156.0998,75.7697
05-11-2010,155.5751,75.6463
05-12-2010,154.8635,75.4236
05/13/2010,154.0323,75.0826
05/14/2010,150.343,73.3244
05/17/2010,147.9398,72.1533
05/18/2010,148.4554,72.4051
05/19/2010,149.2612,72.7984
05/20/2010,147.4403,71.9106
05/21/2010,147.8783,72.1246
05/24/2010,147.5407,71.9609
05/25/2010,146.1784,71.2968
05/26/2010,147.4397,71.9123
05/27/2010,148.3347,72.3491
05/28/2010,146.7871,71.5947
06-01-2010,147.2595,71.8264
06-02-2010,147.9259,72.1517
06-03-2010,146.9188,71.6608
06-04-2010,144.077,70.275
06-07-2010,141.9616,69.2442
06-08-2010,142.3513,69.379
06-09-2010,142.577,69.4089
06-10-2010,142.8047,69.3917
06-11-2010,142.966,69.3032
06/14/2010,145.0952,70.2066
06/15/2010,145.9939,70.6416
06/16/2010,147.0992,71.1765
06/17/2010,145.8533,70.5738
06/18/2010,145.8087,70.5523
06/21/2010,148.1415,71.6815
06/22/2010,147.7438,71.4893
06/23/2010,147.2524,71.2517
06/24/2010,147.1666,71.2104
06/25/2010,147.8785,71.5552
06/28/2010,146.8867,71.0759
06/29/2010,145.0951,70.2093
06/30/2010,146.8405,71.0542
07-01-2010,146.9145,71.0903
07-02-2010,145.1368,70.2304
07-06-2010,145.6158,70.4635
07-07-2010,146.6954,70.9862
07-08-2010,147.137,71.2002
07-09-2010,145.3298,70.6061
07-12-2010,144.3027,70.345
07/13/2010,144.5661,70.7124
07/14/2010,146.4343,71.8725
07/15/2010,145.6394,71.7847
07/16/2010,145.9624,71.9442
07/19/2010,146.7666,72.3415
07/20/2010,145.9293,71.9291
07/21/2010,147.1642,72.5381
07/22/2010,147.2244,72.5681
07/23/2010,147.9964,72.9489
07/26/2010,145.9426,71.9375
07/27/2010,146.637,72.2801
07/28/2010,147.4339,72.6732
07/29/2010,147.5571,72.7342
07/30/2010,149.3405,73.6136
08-02-2010,149.5926,73.7388
08-03-2010,148.9048,73.4001
08-04-2010,150.4215,74.148
08-05-2010,148.7623,73.3305
08-06-2010,146.5847,72.2574
08-09-2010,145.9929,71.9666
08-10-2010,146.4156,72.1752
08-11-2010,146.1284,72.034
08-12-2010,146.7943,72.3625
08/13/2010,146.5951,72.2646
08/16/2010,147.805,72.8619
08/17/2010,148.0819,72.9988
08/18/2010,151.4241,74.6466
08/19/2010,152.9027,75.3759
08/20/2010,152.4991,75.1772
08/23/2010,153.7333,75.7866
08/24/2010,152.7474,75.3009
08/25/2010,151.87,74.8687
08/26/2010,150.7727,74.3281
08/27/2010,149.6477,73.7738
08/30/2010,149.636,73.769
08/31/2010,149.0882,73.4992
09-01-2010,149.4009,73.6537
09-02-2010,151.158,74.5202
09-03-2010,151.7257,74.8004
09-07-2010,148.5235,73.2229
09-08-2010,149.9064,73.905
09-09-2010,150.5575,74.1405
09-10-2010,150.8508,74.1857
