DATE,SPOT,FUTURE
12-10-2009,334.395,330.8218
12-11-2009,332.5137,328.961
12/14/2009,334.7776,331.2021
12/15/2009,335.2786,331.6981
12/16/2009,339.4102,335.7859
12/17/2009,330.5194,326.9904
12/18/2009,332.0992,328.5538
12/21/2009,327.2157,323.7234
12/22/2009,325.2493,321.7787
12/23/2009,327.699,324.2028
12/24/2009,331.4002,327.8653
12/28/2009,332.7427,329.196
12/29/2009,328.0886,324.5924
12/30/2009,325.1338,321.6701
12/31/2009,326.1542,322.6807
01-04-2010,334.346,330.7892
01-05-2010,336.3859,332.8081
01-06-2010,342.2711,338.6315
01-07-2010,342.6749,339.0317
01-08-2010,344.4839,340.8222
01-11-2010,348.4454,344.6881
01-12-2010,341.388,337.6601
01/13/2010,344.618,340.7845
01/14/2010,346.5339,342.6434
01/15/2010,342.6587,338.7823
01/18/2010,342.6587,338.7823
01/19/2010,346.5934,342.674
01/20/2010,335.9076,332.1096
01/21/2010,331.9878,328.2346
01/22/2010,326.1496,322.4631
01/25/2010,328.537,324.825
01/26/2010,327.726,324.0237
01/27/2010,322.5811,318.9375
01/28/2010,321.2526,317.6244
01/29/2010,320.9215,317.2976
02-01-2010,327.9579,324.2559
02-02-2010,331.2569,327.5185
02-03-2010,327.8151,324.1165
02-04-2010,312.1424,308.6215
02-05-2010,307.3023,303.8368
02-08-2010,311.5653,308.0333
02-09-2010,315.7674,312.1649
02-10-2010,314.9239,311.3076
02-11-2010,320.476,316.7719
02-12-2010,318.7447,315.0363
02/16/2010,328.8451,325.023
02/17/2010,328.6543,324.8354
02/18/2010,328.1552,324.343
02/19/2010,330.6629,326.8224
02/22/2010,327.718,323.9144
02/23/2010,323.8603,320.1024
02/24/2010,322.7748,319.0304
02/25/2010,326.1218,322.3395
02/26/2010,330.3579,326.5273
03-01-2010,329.9672,326.1439
03-02-2010,337.1558,333.2503
03-03-2010,339.7783,335.8436
03-04-2010,336.7549,332.8564
03-05-2010,338.2412,334.3266
03-08-2010,335.2662,331.333
03-09-2010,335.273,331.284
03-10-2010,330.592,326.6038
03-11-2010,331.3749,327.3215
03-12-2010,329.4342,325.3491
03/15/2010,330.531,326.4364
03/16/2010,335.5255,331.3705
03/17/2010,336.7397,332.5712
03/18/2010,336.9729,332.803
03/19/2010,330.6435,326.5535
03/22/2010,328.3639,324.3066
03/23/2010,329.7524,325.6793
03/24/2010,324.5092,320.5023
03/25/2010,325.9373,321.9141
03/26/2010,329.2645,325.2016
03/29/2010,333.0007,328.8959
03/30/2010,331.43,327.3459
03/31/2010,334.3552,330.2364
04-01-2010,338.7341,334.5627
04-05-2010,341.5734,337.3724
04-06-2010,341.1365,336.9425
04-07-2010,346.2399,341.9848
04-08-2010,345.8613,341.6125
04-09-2010,348.9992,344.685
