Date,US,Brazil,Russia,India,China,South Africa,GFC,Covid
06-05-2004,-0.00678182,-0.042642119,-0.005246461,0.012428163,0,-0.034063629,0,-1
07-05-2004,-0.012173868,-0.030153038,-0.051738191,-0.015353526,0,-0.032165547,0,-1
11-05-2004,0.002943625,0.051642586,-0.041610404,-0.042267906,0.005014913,0.027700649,0,-1
12-05-2004,0.002560769,-0.011447918,0.022192645,0.006074417,0.022517303,0.001742362,0,-1
13-05-2004,-0.003432402,0.004138538,0.010310152,0.00764473,-0.003872135,-0.000193503,0,-1
14-05-2004,0.000212737,0.011293449,0.001995724,-0.062985641,-0.022076283,-0.015401333,0,-1
17-05-2004,-0.010638768,-0.026626134,0.031937164,-0.118091758,-0.014651625,-0.000589685,0,-1
18-05-2004,0.006198592,0.023666517,0.005760347,0.07931094,0.010003978,-0.008885607,0,-1
19-05-2004,-0.003094493,0.00708842,0.024558808,0.026122807,0.001827373,0.032585267,0,-1
20-05-2004,-7.08E-06,-0.024264622,-0.006697335,-0.014890328,-0.005938169,0.005551495,0,-1
21-05-2004,0.002924041,0.002464067,-0.006120408,0.005955327,0.005965743,0.011389947,0,-1
24-05-2004,-0.000834176,0.020783343,0.00851069,0.032062908,-0.00513527,-0.009101404,0,-1
25-05-2004,0.015859073,0.010178883,-0.021414095,-0.004109314,-0.021056085,0.027615483,0,-1
26-05-2004,-0.000764352,0.011020703,0.017469441,-0.003980697,0.004201177,0.010689244,0,-1
27-05-2004,0.009383296,0.034279057,-0.026491083,-0.004615242,0.021250666,0.028018137,0,-1
28-05-2004,-0.001642669,-0.003400932,-0.050734124,-0.045118027,-0.005445091,-0.001605834,0,-1
01-06-2004,0.001392784,5.12E-05,-0.041498418,0.015738114,0.015150326,0.019098737,0,-1
02-06-2004,0.005894716,0.008710546,0.019100656,0.018152266,-0.008002612,-0.016068275,0,-1
03-06-2004,-0.00655557,-0.016208142,0.004232495,-0.02170136,-0.015135687,-0.00213812,0,-1
04-06-2004,0.004590328,0.021368007,-0.005482836,0.014630906,-0.000933959,0.007287261,0,-1
07-06-2004,0.01437075,0.031195099,0.015353173,0.010002964,-0.016305792,0.012844086,0,-1
08-06-2004,0.003980052,-0.008003775,0.016879998,0.004945071,-0.015497735,-0.0147943,0,-1
09-06-2004,-0.006161187,-0.020873009,0.006157634,0.000225685,-0.017383233,-0.018805928,0,-1
15-06-2004,0.004412159,0.028280625,-0.043742326,0.014400697,0.017255142,0.009419117,0,-1
16-06-2004,-8.19E-05,0.020392244,-0.017307999,-0.005425095,0.007919928,0.002753936,0,-1
17-06-2004,-0.000198539,-0.006128221,0.096186053,0.010610085,-0.020484036,0.004389602,0,-1
18-06-2004,0.003740579,-9.84E-05,0.023166799,-0.014545645,-0.012670692,0,0,-1
21-06-2004,-0.004323721,-0.001969183,0.02870885,-0.006598279,0.004310748,0.022736948,0,-1
22-06-2004,0.002272944,-0.004642901,-0.014809293,-0.000582671,0.011938454,-0.00178592,0,-1
23-06-2004,0.008095992,0.031049162,-0.010128757,-0.019587244,-0.00688523,0,0,-1
24-06-2004,-0.00341826,-0.006162161,-0.003388088,0.0138039,-0.009046638,0.016133911,0,-1
25-06-2004,-0.006914991,0.002026148,-0.00186502,0.010109042,-0.018835653,0.002458651,0,-1
28-06-2004,-0.001423132,-0.019416196,-0.016926623,0.016929744,-0.011436108,0.013937609,0,-1
29-06-2004,0.005424995,0.021871012,-0.023446144,0.00078103,0.016828621,-0.010434808,0,-1
30-06-2004,0.002115294,0.016591561,0.012229034,-0.009530151,-0.006785983,0.010261843,0,-1
01-07-2004,-0.009756656,0.009412277,0.003132304,0.016255545,0.029511024,-0.002772551,0,-1
02-07-2004,-0.004979406,0.010205835,-0.032479409,-0.000712131,8.46E-05,0.004501428,0,-1
06-07-2004,-0.006193533,-0.022493832,0.008462574,0.017359564,0.004083477,-0.015493521,0,-1
07-07-2004,0.002047955,-0.000802663,0.013155308,0.005540042,-0.008379039,0.017392012,0,-1
08-07-2004,-0.006734395,-0.013505365,0.002721945,-0.022885191,0.00096242,-0.001207547,0,-1
12-07-2004,0.002444817,0.030413245,0.011100525,-0.000190079,-0.02369874,0.013238559,0,-1
13-07-2004,0.000914791,0.00671159,0.027410268,-0.009254836,0.001654225,-0.004965649,0,-1
14-07-2004,-0.003792466,-0.000184544,-0.002731246,-0.010401022,0.003063587,0.007524183,0,-1
15-07-2004,-0.004480642,0.017925397,0.008575758,0.008193992,0.012592774,-0.001875377,0,-1
16-07-2004,-0.002303104,0.017164332,-0.002462017,0.012801817,0.024038668,0.007650953,0,-1
19-07-2004,-0.004519239,-0.015488873,0.019809911,0.004881853,0.000965781,-0.001186375,0,-1
20-07-2004,0.005435017,0.011650268,-0.032006634,-0.003527543,-0.006605441,-0.012627927,0,-1
21-07-2004,-0.010194632,-0.02494979,-0.016196081,0.00721088,6.63E-05,-0.013312026,0,-1
22-07-2004,0.000418004,-0.003674786,-0.038801138,0.012048309,-0.028437815,0.005034495,0,-1
23-07-2004,-0.008805567,-0.006417233,0.021402082,0.003761952,-2.98E-05,-0.021882727,0,-1
26-07-2004,-3.01E-05,-0.012724775,-0.018985315,0.008797591,-0.014115072,-0.001948942,0,-1
27-07-2004,0.012293202,0.019464091,-0.008266379,-0.008297052,-0.002555737,0.005129662,0,-1
28-07-2004,0.003161109,0.01963393,-0.060671166,-0.001101863,0.003376932,0.013145457,0,-1
29-07-2004,0.001202187,0.002702948,0.016252428,0.009844341,0.013247734,-0.001393946,0,-1
30-07-2004,0.00103308,0.004891741,0.025551811,0.009692184,-0.015127389,0.010235139,0,-1
02-08-2004,0.003883114,0.004957027,0.010201915,0.006210456,-0.00941146,-0.003111557,0,-1
03-08-2004,-0.005805106,-0.003346649,-0.000531462,-0.001519627,-0.004995659,0.013072191,0,-1
04-08-2004,0.000619312,-0.008754068,0.002892133,-0.004932623,0.027524398,0.009185136,0,-1
05-08-2004,-0.016275445,-0.038986274,0.002008583,0.016064665,-0.011072833,-0.011238013,0,-1
06-08-2004,-0.014935813,0.01502948,-0.016831853,-0.010677762,0.001023291,0.004101208,0,-1
09-08-2004,-6.83E-05,-0.018269604,0.020945961,0.006945192,0.003866742,0.002214706,0,-1
10-08-2004,0.013159519,0.022141469,-0.010923082,0.00359359,0.00351927,-0.006315915,0,-1
11-08-2004,-0.000638698,-0.007712417,-0.013740011,-0.014748153,-0.011347263,-0.014835497,0,-1
12-08-2004,-0.012527986,0,0.003642924,-0.006861952,-0.012181022,0.004162263,0,-1
13-08-2004,0.001095703,-0.00786581,0.029900435,-0.007195426,0.00018556,0.004662217,0,-1
16-08-2004,0.013063973,0.016819579,0.0058707,-0.000107749,-0.010238183,0.012496674,0,-1
17-08-2004,0.00183469,0.013554115,0.003627239,0.000111672,0.004191218,0.005091157,0,-1
18-08-2004,0.011001349,0.032027715,-0.026312076,-0.012752121,-0.00145968,-0.00560126,0,-1
19-08-2004,-0.004206937,0.006825069,0.002889013,0.016802345,-0.013166689,-0.002215461,0,-1
20-08-2004,0.00688003,0.011315722,0.007276861,-0.011580018,0.000960474,0.014900449,0,-1
23-08-2004,-0.003675325,-0.014941209,-0.005762552,-0.006133737,-0.012241734,0.001847278,0,-1
24-08-2004,0.002536238,0.000787367,0.015951724,0.006672617,0.014391808,-0.02050782,0,-1
25-08-2004,0.008196183,0.008186773,0.002061247,0.004168975,-0.00360744,0.015125006,0,-1
26-08-2004,-0.000818474,-0.020859652,0.008966112,0.009172617,-0.004010213,0.007058615,0,-1
27-08-2004,0.002120893,0.000664025,0.020341113,-0.003597273,-0.010401447,-0.007395991,0,-1
30-08-2004,-0.007135763,0.011965128,0.00031294,0.013479255,-0.000818935,0.005216634,0,-1
31-08-2004,0.005064977,-0.002890175,0.016156499,0.00108491,0.016929391,0.012840716,0,-1
01-09-2004,-0.000536807,-0.012799186,-0.001677623,0.003608606,-0.015468519,-0.008319257,0,-1
02-09-2004,0.011909018,0.00774323,0.005706101,-0.002330526,0.004880354,0.013772751,0,-1
03-09-2004,-0.002927435,-0.012105773,0.003791715,0.003789849,-0.000610939,-0.003301363,0,-1
08-09-2004,-0.002849486,0.001421086,-0.00580507,0.006341169,-0.011361593,-0.002175457,0,-1
09-09-2004,-0.002355132,-0.011066601,0.007338532,1.32E-05,-0.019298575,0.004346523,0,-1
10-09-2004,0.002327009,-0.01437183,0.006788915,0.013464384,0.002157628,0.021616106,0,-1
13-09-2004,0.000163803,-0.00726412,0.001900591,0.005091282,-0.021014391,-0.002942568,0,-1
14-09-2004,0.000329608,0.022667456,0.011230354,0.005784127,0.03127637,0.012527449,0,-1
15-09-2004,-0.008447917,0.001567644,-0.000734976,-0.001600201,0.04132931,-0.012200178,0,-1
16-09-2004,0.001282475,0.023530497,0.005637306,0.010569294,0.01171884,0.018164518,0,-1
17-09-2004,0.003893991,0.008618116,-0.005343251,0.015123218,0.031231892,0.007685244,0,-1
20-09-2004,-0.007767032,0.00017334,0.000587851,-0.002760445,0.033721207,0.005407795,0,-1
21-09-2004,0.003915936,0.001212541,0.014456365,0.010780538,-0.010068786,0.020256747,0,-1
22-09-2004,-0.013339028,-0.015571136,0.004975534,0.001949593,-0.019810293,-0.015351531,0,-1
23-09-2004,-0.006976306,0.008535276,-0.001153403,-0.01387396,0.030943358,0.009114084,0,-1
24-09-2004,0.000830408,0.001219619,0.000849162,-0.002119769,-0.020147315,0.00374701,0,-1
27-09-2004,-0.005859554,-0.00602543,0.00431476,-0.002887788,-0.005703928,-0.004216427,0,-1
28-09-2004,0.008856892,0.01723694,0.003231844,-0.008966401,0.00572204,0.015836307,0,-1
29-09-2004,0.005821812,-0.000990547,0.003870809,0.011819827,-0.010911977,0.00261519,0,-1
30-09-2004,-0.005537142,0.001593008,0.000110827,0.010088997,-0.016550957,-0.001383378,0,-1
01-10-2004,0.011086909,0.022628672,0.025987259,0.016330224,0,0.008883342,0,-1
04-10-2004,0.002341069,0.015565653,0.022844368,0.015864873,0,-0.006885529,0,-1
05-10-2004,-0.003810923,0.002274843,0.016597023,-0.001324061,0,-0.006469613,0,-1
06-10-2004,0.006096743,-0.007381025,0.006871762,-0.007830981,0,0.010147815,0,-1
07-10-2004,-0.011246642,0.003199604,0.01461993,0.010430671,0,-0.003370972,0,-1
08-10-2004,-0.006957224,-0.007370273,0.002305,0.000552346,0.018605115,0.010990804,0,-1
11-10-2004,0.00265872,0.001127796,-0.000115848,-0.010319919,-0.006893269,-0.005480607,0,-1
14-10-2004,-0.01084406,-0.01427113,-0.001931114,0.006386441,-0.03955641,0.009859986,0,-1
15-10-2004,0.003926777,0.017657549,-0.004889689,-0.004626414,-0.001817221,0.022635357,0,-1
18-10-2004,0.002306766,0.001838432,0.014403479,-0.001214071,0.003658113,0.00697932,0,-1
19-10-2004,-0.005913221,-0.02237481,-0.000433888,0.010208548,0.00166404,-0.001513062,0,-1
20-10-2004,-0.001080685,-0.000874011,-0.041306601,-0.011408257,-0.00527252,-0.003640918,0,-1
21-10-2004,-0.002143498,0.008098973,-0.003781373,-0.005649606,-0.015174817,0.011183435,0,-1
25-10-2004,-0.000801663,-0.005822946,0.001649517,-0.010616194,-0.013788469,-0.001945786,0,-1
26-10-2004,0.014104207,0.010824712,0.006173049,0.012392611,0.010343263,0.018406405,0,-1
27-10-2004,0.011417609,0.013994144,0.023316511,0.002082432,0.013507563,0.005427272,0,-1
28-10-2004,0.000250894,-0.010499012,-0.016557718,0.009271947,-0.000791116,-0.002343446,0,-1
29-10-2004,0.002289306,0.005350049,0.009096958,-0.007613405,-0.015927365,0.002782147,0,-1
01-11-2004,0.00268102,0.009541357,0.003069102,0.005595838,-0.011611707,0.004376839,0,-1
03-11-2004,0.010045238,0.016491968,0.005167734,0.015138343,0.019192683,0.012935297,0,-1
04-11-2004,0.017378847,0.00925543,0.007513252,-0.001654786,-0.016700227,0.010057567,0,-1
05-11-2004,0.007031158,-0.014255229,0.012283711,0.009975993,0.000269781,0.009815727,0,-1
09-11-2004,-0.000475458,0.00017231,0.005248263,-0.000146731,0.002450514,0.008404915,0,-1
10-11-2004,-8.57E-05,0.010241996,-0.014187389,0.007418097,0.035285626,0.000141899,0,-1
11-11-2004,0.008090006,0.002809947,-0.006064648,-0.003259534,-0.005416381,0.010722728,0,-1
12-11-2004,0.00658486,0.021617462,0.005854058,0.001627697,0.003813674,0.002242742,0,-1
16-11-2004,-0.005950219,-0.011002684,0.003492822,0.005466316,0.000250338,-0.000137991,0,-1
17-11-2004,0.005886719,0.016603777,0.011476173,0.003309654,-0.010453759,0.013855838,0,-1
18-11-2004,0.002175871,-0.001117712,0.013004545,0.001476516,0.008583173,-0.005738584,0,-1
19-11-2004,-0.010997982,-0.004524989,-0.039532258,-0.010638174,0.008830402,0.000274005,0,-1
22-11-2004,0.003104104,0.016956202,0.01041186,0.000350483,0.002215043,0.001232504,0,-1
23-11-2004,0.000303087,-0.004304608,-0.012657147,0.007693602,-0.008551157,-0.003289331,0,-1
24-11-2004,0.002637424,0.001149709,-0.008785054,0.004331859,-0.00887726,0.012549659,0,-1
