Date,Open,Max,Min,Close,"Trading Volume, USD","Market Capitalization, USD"
2004-05-05,643.43,646.66,636.38,636.38,17070685.0,162658000000.0
2004-05-06,638.77,640.03,632.77,633.05,12407763.0,161804000000.0
2004-05-07,621.01,621.01,601.13,601.13,20753378.0,153647000000.0
2004-05-11,581.01,581.33,573.65,576.63,29490603.0,147384000000.0
2004-05-12,589.77,592.63,587.28,589.57,23738481.0,150691000000.0
2004-05-13,597.27,606.09,595.68,595.68,17977253.0,152253000000.0
2004-05-14,596.82,596.87,589.45,596.87,19525928.0,152558000000.0
2004-05-17,593.08,616.24,593.08,616.24,32497215.0,157509000000.0
2004-05-18,621.89,622.39,616.85,619.8,27567254.0,158418000000.0
2004-05-19,616.22,635.21,616.22,635.21,26867571.0,162357000000.0
2004-05-20,633.24,634.58,628.96,630.97,20450847.0,161274000000.0
2004-05-21,625.35,629.67,624.89,627.12,28923021.0,160290000000.0
2004-05-24,625.09,632.48,625.09,632.48,15341195.0,161659000000.0
2004-05-25,633.23,633.23,619.08,619.08,22179547.0,158236000000.0
2004-05-26,618.97,629.99,617.38,629.99,25600522.0,161024000000.0
2004-05-27,629.07,629.07,613.52,613.52,24450469.0,156814000000.0
2004-05-28,604.68,604.68,583.17,583.17,36241451.0,149056000000.0
2004-05-31,581.47,581.47,578.91,581.07,18280134.0,148520000000.0
2004-06-01,582.6,582.6,555.45,557.45,26916426.0,142481000000.0
2004-06-02,552.01,568.2,552.01,568.2,20813790.0,145235000000.0
2004-06-03,575.88,575.88,563.88,570.61,18707984.0,145852000000.0
2004-06-04,575.13,578.91,567.49,567.49,32700120.0,145055000000.0
2004-06-07,573.44,576.27,572.58,576.27,24444480.0,147298000000.0
2004-06-08,578.73,590.25,578.3,586.08,25331242.0,149806000000.0
2004-06-09,596.39,596.39,588.13,589.7,16761556.0,150732000000.0
2004-06-10,580.01,580.01,566.4,571.67,18494626.0,146123000000.0
2004-06-11,570.48,570.48,564.7,566.83,15855136.0,144885000000.0
2004-06-15,559.86,559.86,538.4,542.57,26463801.0,138684000000.0
2004-06-16,530.61,534.4,528.73,533.26,17766019.0,136305000000.0
2004-06-17,546.29,587.1,543.29,587.1,43163172.0,150066000000.0
2004-06-18,597.27,601.74,595.02,600.86,43367697.0,153583000000.0
2004-06-21,614.07,620.28,614.07,618.36,21163177.0,158057000000.0
2004-06-22,613.06,613.06,609.18,609.27,11255133.0,155734000000.0
2004-06-23,606.31,606.31,601.68,603.13,12718122.0,150098000000.0
2004-06-24,598.92,603.85,598.92,601.09,26478036.0,149592000000.0
2004-06-25,600.58,600.58,597.58,599.97,26322951.0,149313000000.0
2004-06-28,598.21,598.21,587.8,589.9,15698311.0,146806000000.0
2004-06-29,585.21,585.21,574.16,576.23,19670718.0,143404000000.0
2004-06-30,577.82,584.63,577.82,583.32,17972900.0,145168000000.0
2004-07-01,590.17,596.55,585.15,585.15,12410677.0,47116739209.0
2004-07-02,564.97,566.71,563.15,566.45,16280221.0,45610714499.0
2004-07-05,558.36,562.76,558.36,560.1,20907485.0,45099791148.0
2004-07-06,569.68,577.01,562.86,564.86,17622237.0,45483202520.0
2004-07-07,572.5,575.93,567.98,572.34,25537834.0,46085675699.0
2004-07-08,574.33,579.17,573.9,573.9,21257411.0,46211072552.0
2004-07-09,571.38,572.03,567.98,567.98,11497005.0,45734579242.0
2004-07-12,568.68,574.32,568.32,574.32,5729587.0,46244802257.0
2004-07-13,581.9,590.28,581.9,590.28,10640925.0,47530239401.0
